Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Argentina;2020-03-03;    1;  1;  0; 0;   0;  0;    1;  1;2020;marzec; 3;wtorek;0,0000;0,0000;1,0000; 1; 0
Argentina;2020-03-04;    1;  0;  0; 0;   0;  0;    1;  0;2020;marzec; 4;środa;0,0000;0,0000;1,0000; 2; 0
Argentina;2020-03-05;    1;  0;  0; 0;   0;  0;    1;  0;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000; 3; 0
Argentina;2020-03-06;    2;  1;  0; 0;   0;  0;    2;  1;2020;marzec; 6;piątek;0,0000;0,0000;1,0000; 4; 0
Argentina;2020-03-07;    8;  6;  0; 0;   0;  0;    8;  6;2020;marzec; 7;sobota;0,0000;0,0000;1,0000; 5; 0
Argentina;2020-03-08;   12;  4;  1; 1;   0;  0;   11;  3;2020;marzec; 8;niedziela;0,0833;0,0000;0,9167; 6; 0
Argentina;2020-03-09;   12;  0;  1; 0;   0;  0;   11;  0;2020;marzec; 9;poniedziałek;0,0833;0,0000;0,9167; 7; 0
Argentina;2020-03-10;   17;  5;  1; 0;   0;  0;   16;  5;2020;marzec;10;wtorek;0,0588;0,0000;0,9412; 8; 0
Argentina;2020-03-11;   19;  2;  1; 0;   0;  0;   18;  2;2020;marzec;11;środa;0,0526;0,0000;0,9474; 9; 0
Argentina;2020-03-12;   19;  0;  1; 0;   0;  0;   18;  0;2020;marzec;12;czwartek;0,0526;0,0000;0,9474;10; 0
Argentina;2020-03-13;   31; 12;  2; 1;   0;  0;   29; 11;2020;marzec;13;piątek;0,0645;0,0000;0,9355;11; 0
Argentina;2020-03-14;   34;  3;  2; 0;   1;  1;   31;  2;2020;marzec;14;sobota;0,0588;0,0294;0,9118;12; 0
Argentina;2020-03-15;   45; 11;  2; 0;   1;  0;   42; 11;2020;marzec;15;niedziela;0,0444;0,0222;0,9333;13; 0
Argentina;2020-03-16;   56; 11;  2; 0;   1;  0;   53; 11;2020;marzec;16;poniedziałek;0,0357;0,0179;0,9464;14; 0
Argentina;2020-03-17;   68; 12;  2; 0;   3;  2;   63; 10;2020;marzec;17;wtorek;0,0294;0,0441;0,9265;15; 0
Argentina;2020-03-18;   79; 11;  2; 0;   3;  0;   74; 11;2020;marzec;18;środa;0,0253;0,0380;0,9367;16; 0
Argentina;2020-03-19;   97; 18;  3; 1;   3;  0;   91; 17;2020;marzec;19;czwartek;0,0309;0,0309;0,9381;17; 0
Argentina;2020-03-20;  128; 31;  3; 0;   3;  0;  122; 31;2020;marzec;20;piątek;0,0234;0,0234;0,9531;18; 1
Argentina;2020-03-21;  158; 30;  4; 1;   3;  0;  151; 29;2020;marzec;21;sobota;0,0253;0,0190;0,9557;19; 2
Argentina;2020-03-22;  266;108;  4; 0;   3;  0;  259;108;2020;marzec;22;niedziela;0,0150;0,0113;0,9737;20; 3
Argentina;2020-03-23;  301; 35;  4; 0;   3;  0;  294; 35;2020;marzec;23;poniedziałek;0,0133;0,0100;0,9767;21; 4
Argentina;2020-03-24;  387; 86;  6; 2;  52; 49;  329; 35;2020;marzec;24;wtorek;0,0155;0,1344;0,8501;22; 5
Argentina;2020-03-25;  387;  0;  8; 2;  52;  0;  327; -2;2020;marzec;25;środa;0,0207;0,1344;0,8450;23; 6
Argentina;2020-03-26;  502;115;  9; 1;  63; 11;  430;103;2020;marzec;26;czwartek;0,0179;0,1255;0,8566;24; 7
Argentina;2020-03-27;  589; 87; 13; 4;  72;  9;  504; 74;2020;marzec;27;piątek;0,0221;0,1222;0,8557;25; 8
Argentina;2020-03-28;  690;101; 18; 5;  72;  0;  600; 96;2020;marzec;28;sobota;0,0261;0,1043;0,8696;26; 9
Argentina;2020-03-29;  745; 55; 19; 1;  72;  0;  654; 54;2020;marzec;29;niedziela;0,0255;0,0966;0,8779;27;10
Argentina;2020-03-30;  820; 75; 23; 4; 228;156;  569;-85;2020;marzec;30;poniedziałek;0,0280;0,2780;0,6939;28;11
Argentina;2020-03-31; 1054;234; 27; 4; 240; 12;  787;218;2020;marzec;31;wtorek;0,0256;0,2277;0,7467;29;12
Argentina;2020-04-01; 1054;  0; 28; 1; 248;  8;  778; -9;2020;kwiecień; 1;środa;0,0266;0,2353;0,7381;30;13
Argentina;2020-04-02; 1133; 79; 36; 8; 256;  8;  841; 63;2020;kwiecień; 2;czwartek;0,0318;0,2259;0,7423;31;14
Argentina;2020-04-03; 1265;132; 39; 3; 266; 10;  960;119;2020;kwiecień; 3;piątek;0,0308;0,2103;0,7589;32;15
Argentina;2020-04-04; 1451;186; 43; 4; 279; 13; 1129;169;2020;kwiecień; 4;sobota;0,0296;0,1923;0,7781;33;16
Argentina;2020-04-05; 1451;  0; 44; 1; 280;  1; 1127; -2;2020;kwiecień; 5;niedziela;0,0303;0,1930;0,7767;34;17
Argentina;2020-04-06; 1554;103; 48; 4; 325; 45; 1181; 54;2020;kwiecień; 6;poniedziałek;0,0309;0,2091;0,7600;35;18
Argentina;2020-04-07; 1628; 74; 56; 8; 338; 13; 1234; 53;2020;kwiecień; 7;wtorek;0,0344;0,2076;0,7580;36;19
Argentina;2020-04-08; 1715; 87; 63; 7; 358; 20; 1294; 60;2020;kwiecień; 8;środa;0,0367;0,2087;0,7545;37;20
Argentina;2020-04-09; 1795; 80; 72; 9; 365;  7; 1358; 64;2020;kwiecień; 9;czwartek;0,0401;0,2033;0,7565;38;21
Argentina;2020-04-10; 1975;180; 82;10; 375; 10; 1518;160;2020;kwiecień;10;piątek;0,0415;0,1899;0,7686;39;22
Argentina;2020-04-11; 1975;  0; 83; 1; 440; 65; 1452;-66;2020;kwiecień;11;sobota;0,0420;0,2228;0,7352;40;23
Argentina;2020-04-12; 2142;167; 90; 7; 468; 28; 1584;132;2020;kwiecień;12;niedziela;0,0420;0,2185;0,7395;41;24
Argentina;2020-04-13; 2208; 66; 97; 7; 515; 47; 1596; 12;2020;kwiecień;13;poniedziałek;0,0439;0,2332;0,7228;42;25
Argentina;2020-04-14; 2277; 69;102; 5; 559; 44; 1616; 20;2020;kwiecień;14;wtorek;0,0448;0,2455;0,7097;43;26
Argentina;2020-04-15; 2443;166;111; 9; 596; 37; 1736;120;2020;kwiecień;15;środa;0,0454;0,2440;0,7106;44;27
Argentina;2020-04-16; 2571;128;115; 4; 631; 35; 1825; 89;2020;kwiecień;16;czwartek;0,0447;0,2454;0,7098;45;28
Argentina;2020-04-17; 2669; 98;123; 8; 666; 35; 1880; 55;2020;kwiecień;17;piątek;0,0461;0,2495;0,7044;46;29
Argentina;2020-04-18; 2758; 89;129; 6; 685; 19; 1944; 64;2020;kwiecień;18;sobota;0,0468;0,2484;0,7049;47;30
Argentina;2020-04-19; 2839; 81;132; 3; 709; 24; 1998; 54;2020;kwiecień;19;niedziela;0,0465;0,2497;0,7038;48;31
Argentina;2020-04-20; 2941;102;136; 4; 737; 28; 2068; 70;2020;kwiecień;20;poniedziałek;0,0462;0,2506;0,7032;49;32
Argentina;2020-04-21; 3031; 90;147;11; 840;103; 2044;-24;2020;kwiecień;21;wtorek;0,0485;0,2771;0,6744;50;33
Argentina;2020-04-22; 3144;113;152; 5; 872; 32; 2120; 76;2020;kwiecień;22;środa;0,0483;0,2774;0,6743;51;34
Argentina;2020-04-23; 3435;291;165;13; 919; 47; 2351;231;2020;kwiecień;23;czwartek;0,0480;0,2675;0,6844;52;35
Argentina;2020-04-24; 3607;172;176;11; 976; 57; 2455;104;2020;kwiecień;24;piątek;0,0488;0,2706;0,6806;53;36
Argentina;2020-04-25; 3780;173;185; 9;1030; 54; 2565;110;2020;kwiecień;25;sobota;0,0489;0,2725;0,6786;54;37
Argentina;2020-04-26; 3892;112;192; 7;1107; 77; 2593; 28;2020;kwiecień;26;niedziela;0,0493;0,2844;0,6662;55;38
Argentina;2020-04-27; 4003;111;197; 5;1140; 33; 2666; 73;2020;kwiecień;27;poniedziałek;0,0492;0,2848;0,6660;56;39
Argentina;2020-04-28; 4127;124;207;10;1162; 22; 2758; 92;2020;kwiecień;28;wtorek;0,0502;0,2816;0,6683;57;40
Argentina;2020-04-29; 4285;158;214; 7;1192; 30; 2879;121;2020;kwiecień;29;środa;0,0499;0,2782;0,6719;58;41
Argentina;2020-04-30; 4428;143;218; 4;1256; 64; 2954; 75;2020;kwiecień;30;czwartek;0,0492;0,2836;0,6671;59;42
Argentina;2020-05-01; 4532;104;225; 7;1292; 36; 3015; 61;2020;maj; 1;piątek;0,0496;0,2851;0,6653;60;43
Argentina;2020-05-02; 4681;149;237;12;1320; 28; 3124;109;2020;maj; 2;sobota;0,0506;0,2820;0,6674;61;44
Argentina;2020-05-03; 4783;102;246; 9;1354; 34; 3183; 59;2020;maj; 3;niedziela;0,0514;0,2831;0,6655;62;45
Argentina;2020-05-04; 4887;104;260;14;1442; 88; 3185;  2;2020;maj; 4;poniedziałek;0,0532;0,2951;0,6517;63;46
Argentina;2020-05-05; 5020;133;264; 4;1472; 30; 3284; 99;2020;maj; 5;wtorek;0,0526;0,2932;0,6542;64;47
Argentina;2020-05-06; 5208;188;273; 9;1524; 52; 3411;127;2020;maj; 6;środa;0,0524;0,2926;0,6550;65;48
Argentina;2020-05-07; 5371;163;282; 9;1601; 77; 3488; 77;2020;maj; 7;czwartek;0,0525;0,2981;0,6494;66;49
Argentina;2020-05-08; 5611;240;293;11;1659; 58; 3659;171;2020;maj; 8;piątek;0,0522;0,2957;0,6521;67;50
Argentina;2020-05-09; 5776;165;300; 7;1728; 69; 3748; 89;2020;maj; 9;sobota;0,0519;0,2992;0,6489;68;51
Argentina;2020-05-10; 6034;258;305; 5;1757; 29; 3972;224;2020;maj;10;niedziela;0,0505;0,2912;0,6583;69;52
Argentina;2020-05-11; 6278;244;314; 9;1837; 80; 4127;155;2020;maj;11;poniedziałek;0,0500;0,2926;0,6574;70;53
Argentina;2020-05-12; 6563;285;319; 5;1862; 25; 4382;255;2020;maj;12;wtorek;0,0486;0,2837;0,6677;71;54
Argentina;2020-05-13; 6879;316;329;10;2266;404; 4284;-98;2020;maj;13;środa;0,0478;0,3294;0,6228;72;55
Argentina;2020-05-14; 7134;255;353;24;2385;119; 4396;112;2020;maj;14;czwartek;0,0495;0,3343;0,6162;73;56
Argentina;2020-05-15; 7479;345;356; 3;2497;112; 4626;230;2020;maj;15;piątek;0,0476;0,3339;0,6185;74;57
Argentina;2020-05-16; 7805;326;363; 7;2534; 37; 4908;282;2020;maj;16;sobota;0,0465;0,3247;0,6288;75;58
Argentina;2020-05-17; 8068;263;373;10;2569; 35; 5126;218;2020;maj;17;niedziela;0,0462;0,3184;0,6353;76;59
Argentina;2020-05-18; 8371;303;382; 9;2625; 56; 5364;238;2020;maj;18;poniedziałek;0,0456;0,3136;0,6408;77;60
Argentina;2020-05-19; 8809;438;393;11;2872;247; 5544;180;2020;maj;19;wtorek;0,0446;0,3260;0,6294;78;61
Argentina;2020-05-20; 9283;474;403;10;2933; 61; 5947;403;2020;maj;20;środa;0,0434;0,3160;0,6406;79;62
Argentina;2020-05-21; 9931;648;416;13;3032; 99; 6483;536;2020;maj;21;czwartek;0,0419;0,3053;0,6528;80;63
Argentina;2020-05-22;10649;718;433;17;3062; 30; 7154;671;2020;maj;22;piątek;0,0407;0,2875;0,6718;81;64
Argentina;2020-05-23;11353;704;445;12;3530;468; 7378;224;2020;maj;23;sobota;0,0392;0,3109;0,6499;82;65
Argentina;2020-05-24;12076;723;452; 7;3732;202; 7892;514;2020;maj;24;niedziela;0,0374;0,3090;0,6535;83;66
Argentina;2020-05-25;12628;552;467;15;3999;267; 8162;270;2020;maj;25;poniedziałek;0,0370;0,3167;0,6463;84;67
Argentina;2020-05-26;13228;600;484;17;4167;168; 8577;415;2020;maj;26;wtorek;0,0366;0,3150;0,6484;85;68
Argentina;2020-05-27;13933;705;500;16;4349;182; 9084;507;2020;maj;27;środa;0,0359;0,3121;0,6520;86;69
Argentina;2020-05-28;14702;769;508; 8;4617;268; 9577;493;2020;maj;28;czwartek;0,0346;0,3140;0,6514;87;70
Argentina;2020-05-29;15419;717;520;12;4788;171;10111;534;2020;maj;29;piątek;0,0337;0,3105;0,6557;88;71
Argentina;2020-05-30;16214;795;528; 8;4788;  0;10898;787;2020;maj;30;sobota;0,0326;0,2953;0,6721;89;72
Argentina;2020-05-31;16851;637;539;11;5336;548;10976; 78;2020;maj;31;niedziela;0,0320;0,3167;0,6514;90;73
Argentina;2020-06-01;17415;564;556;17;5521;185;11338;362;2020;czerwiec; 1;poniedziałek;0,0319;0,3170;0,6510;91;74
Argentina;2020-06-02;18319;904;569;13;5709;188;12041;703;2020;czerwiec; 2;wtorek;0,0311;0,3116;0,6573;92;75
Argentina;2020-06-03;19268;949;583;14;5896;187;12789;748;2020;czerwiec; 3;środa;0,0303;0,3060;0,6637;93;76
Argentina;2020-06-04;20197;929;608;25;5993; 97;13596;807;2020;czerwiec; 4;czwartek;0,0301;0,2967;0,6732;94;77
Argentina;2020-06-05;21037;840;632;24;6088; 95;14317;721;2020;czerwiec; 5;piątek;0,0300;0,2894;0,6806;95;78
