Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Austria;2020-02-25;    2;   2;  0; 0;    0;  0;   2;   2;2020;luty;25;wtorek;0,0000;0,0000;1,0000;  1;  0;223,5
Austria;2020-02-26;    2;   0;  0; 0;    0;  0;   2;   0;2020;luty;26;środa;0,0000;0,0000;1,0000;  2;  0;226,5
Austria;2020-02-27;    3;   1;  0; 0;    0;  0;   3;   1;2020;luty;27;czwartek;0,0000;0,0000;1,0000;  3;  0;225,0
Austria;2020-02-28;    3;   0;  0; 0;    0;  0;   3;   0;2020;luty;28;piątek;0,0000;0,0000;1,0000;  4;  0;226,5
Austria;2020-02-29;    9;   6;  0; 0;    0;  0;   9;   6;2020;luty;29;sobota;0,0000;0,0000;1,0000;  5;  0;218,0
Austria;2020-03-01;   14;   5;  0; 0;    0;  0;  14;   5;2020;marzec; 1;niedziela;0,0000;0,0000;1,0000;  6;  0;219,0
Austria;2020-03-02;   18;   4;  0; 0;    0;  0;  18;   4;2020;marzec; 2;poniedziałek;0,0000;0,0000;1,0000;  7;  0;220,5
Austria;2020-03-03;   21;   3;  0; 0;    0;  0;  21;   3;2020;marzec; 3;wtorek;0,0000;0,0000;1,0000;  8;  0;222,0
Austria;2020-03-04;   29;   8;  0; 0;    0;  0;  29;   8;2020;marzec; 4;środa;0,0000;0,0000;1,0000;  9;  0;217,0
Austria;2020-03-05;   41;  12;  0; 0;    0;  0;  41;  12;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000; 10;  0;213,5
Austria;2020-03-06;   55;  14;  0; 0;    0;  0;  55;  14;2020;marzec; 6;piątek;0,0000;0,0000;1,0000; 11;  0;211,0
Austria;2020-03-07;   79;  24;  0; 0;    0;  0;  79;  24;2020;marzec; 7;sobota;0,0000;0,0000;1,0000; 12;  0;203,5
Austria;2020-03-08;  104;  25;  0; 0;    0;  0; 104;  25;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000; 13;  1;202,0
Austria;2020-03-09;  131;  27;  0; 0;    2;  2; 129;  25;2020;marzec; 9;poniedziałek;0,0000;0,0153;0,9847; 14;  2;196,5
Austria;2020-03-10;  182;  51;  0; 0;    4;  2; 178;  49;2020;marzec;10;wtorek;0,0000;0,0220;0,9780; 15;  3;162,5
Austria;2020-03-11;  246;  64;  0; 0;    4;  0; 242;  64;2020;marzec;11;środa;0,0000;0,0163;0,9837; 16;  4;150,0
Austria;2020-03-12;  302;  56;  1; 1;    4;  0; 297;  55;2020;marzec;12;czwartek;0,0033;0,0132;0,9834; 17;  5;154,5
Austria;2020-03-13;  504; 202;  1; 0;    6;  2; 497; 200;2020;marzec;13;piątek;0,0020;0,0119;0,9861; 18;  6; 79,0
Austria;2020-03-14;  655; 151;  1; 0;    6;  0; 648; 151;2020;marzec;14;sobota;0,0015;0,0092;0,9893; 19;  7; 93,0
