Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Barbados;2020-03-17;   2;  2; 0;0;   0;  0;  2;   2;2020;marzec;17;wtorek;0,0000;0,0000; 1,0000;  1;  0;200,5;251,5;352,0; 97,5
Barbados;2020-03-18;   2;  0; 0;0;   0;  0;  2;   0;2020;marzec;18;środa;0,0000;0,0000; 1,0000;  2;  0;379,5;251,5;352,0;238,0
Barbados;2020-03-19;   5;  3; 0;0;   0;  0;  5;   3;2020;marzec;19;czwartek;0,0000;0,0000; 1,0000;  3;  0;167,5;251,5;352,0; 76,0
Barbados;2020-03-20;   5;  0; 0;0;   0;  0;  5;   0;2020;marzec;20;piątek;0,0000;0,0000; 1,0000;  4;  0;379,5;251,5;352,0;238,0
Barbados;2020-03-21;   6;  1; 0;0;   0;  0;  6;   1;2020;marzec;21;sobota;0,0000;0,0000; 1,0000;  5;  0;257,0;251,5;352,0;133,0
Barbados;2020-03-22;  14;  8; 0;0;   0;  0; 14;   8;2020;marzec;22;niedziela;0,0000;0,0000; 1,0000;  6;  0;101,0;251,5;352,0; 37,5
Barbados;2020-03-23;  17;  3; 0;0;   0;  0; 17;   3;2020;marzec;23;poniedziałek;0,0000;0,0000; 1,0000;  7;  0;167,5;251,5;352,0; 76,0
Barbados;2020-03-24;  18;  1; 0;0;   0;  0; 18;   1;2020;marzec;24;wtorek;0,0000;0,0000; 1,0000;  8;  0;257,0;251,5;352,0;133,0
Barbados;2020-03-25;  18;  0; 0;0;   0;  0; 18;   0;2020;marzec;25;środa;0,0000;0,0000; 1,0000;  9;  0;379,5;251,5;352,0;238,0
Barbados;2020-03-26;  18;  0; 0;0;   0;  0; 18;   0;2020;marzec;26;czwartek;0,0000;0,0000; 1,0000; 10;  0;379,5;251,5;352,0;238,0
Barbados;2020-03-27;  24;  6; 0;0;   0;  0; 24;   6;2020;marzec;27;piątek;0,0000;0,0000; 1,0000; 11;  0;115,0;251,5;352,0; 42,5
Barbados;2020-03-28;  26;  2; 0;0;   0;  0; 26;   2;2020;marzec;28;sobota;0,0000;0,0000; 1,0000; 12;  0;200,5;251,5;352,0; 97,5
Barbados;2020-03-29;  33;  7; 0;0;   0;  0; 33;   7;2020;marzec;29;niedziela;0,0000;0,0000; 1,0000; 13;  0;107,0;251,5;352,0; 40,0
Barbados;2020-03-30;  33;  0; 0;0;   0;  0; 33;   0;2020;marzec;30;poniedziałek;0,0000;0,0000; 1,0000; 14;  0;379,5;251,5;352,0;238,0
Barbados;2020-03-31;  34;  1; 0;0;   0;  0; 34;   1;2020;marzec;31;wtorek;0,0000;0,0000; 1,0000; 15;  0;257,0;251,5;352,0;133,0
Barbados;2020-04-01;  34;  0; 0;0;   0;  0; 34;   0;2020;kwiecień; 1;środa;0,0000;0,0000; 1,0000; 16;  0;379,5;251,5;352,0;238,0
Barbados;2020-04-02;  46; 12; 0;0;   0;  0; 46;  12;2020;kwiecień; 2;czwartek;0,0000;0,0000; 1,0000; 17;  0; 81,0;251,5;352,0; 27,0
Barbados;2020-04-03;  51;  5; 0;0;   0;  0; 51;   5;2020;kwiecień; 3;piątek;0,0000;0,0000; 1,0000; 18;  0;125,0;251,5;352,0; 48,5
Barbados;2020-04-04;  52;  1; 0;0;   0;  0; 52;   1;2020;kwiecień; 4;sobota;0,0000;0,0000; 1,0000; 19;  0;257,0;251,5;352,0;133,0
Barbados;2020-04-05;  56;  4; 1;1;   6;  6; 49;  -3;2020;kwiecień; 5;niedziela;0,0179;0,1071; 0,8750; 20;  0;141,5; 23,0;112,5;377,5
Barbados;2020-04-06;  60;  4; 2;1;   6;  0; 52;   3;2020;kwiecień; 6;poniedziałek;0,0333;0,1000; 0,8667; 21;  0;141,5; 23,0;352,0; 76,0
Barbados;2020-04-07;  63;  3; 3;1;   6;  0; 54;   2;2020;kwiecień; 7;wtorek;0,0476;0,0952; 0,8571; 22;  0;167,5; 23,0;352,0; 97,5
Barbados;2020-04-08;  63;  0; 3;0;   8;  2; 52;  -2;2020;kwiecień; 8;środa;0,0476;0,1270; 0,8254; 23;  0;379,5;251,5;185,0;359,5
Barbados;2020-04-09;  66;  3; 3;0;  11;  3; 52;   0;2020;kwiecień; 9;czwartek;0,0455;0,1667; 0,7879; 24;  0;167,5;251,5;159,0;238,0
Barbados;2020-04-10;  67;  1; 4;1;  11;  0; 52;   0;2020;kwiecień;10;piątek;0,0597;0,1642; 0,7761; 25;  0;257,0; 23,0;352,0;238,0
Barbados;2020-04-11;  68;  1; 4;0;  11;  0; 53;   1;2020;kwiecień;11;sobota;0,0588;0,1618; 0,7794; 26;  0;257,0;251,5;352,0;133,0
Barbados;2020-04-12;  71;  3; 4;0;  11;  0; 56;   3;2020;kwiecień;12;niedziela;0,0563;0,1549; 0,7887; 27;  0;167,5;251,5;352,0; 76,0
Barbados;2020-04-13;  72;  1; 4;0;  13;  2; 55;  -1;2020;kwiecień;13;poniedziałek;0,0556;0,1806; 0,7639; 28;  0;257,0;251,5;185,0;334,0
Barbados;2020-04-14;  72;  0; 4;0;  13;  0; 55;   0;2020;kwiecień;14;wtorek;0,0556;0,1806; 0,7639; 29;  0;379,5;251,5;352,0;238,0
Barbados;2020-04-15;  73;  1; 5;1;  15;  2; 53;  -2;2020;kwiecień;15;środa;0,0685;0,2055; 0,7260; 30;  0;257,0; 23,0;185,0;359,5
Barbados;2020-04-16;  75;  2; 5;0;  15;  0; 55;   2;2020;kwiecień;16;czwartek;0,0667;0,2000; 0,7333; 31;  0;200,5;251,5;352,0; 97,5
Barbados;2020-04-17;  75;  0; 5;0;  15;  0; 55;   0;2020;kwiecień;17;piątek;0,0667;0,2000; 0,7333; 32;  0;379,5;251,5;352,0;238,0
Barbados;2020-04-18;  75;  0; 5;0;  17;  2; 53;  -2;2020;kwiecień;18;sobota;0,0667;0,2267; 0,7067; 33;  0;379,5;251,5;185,0;359,5
Barbados;2020-04-19;  75;  0; 5;0;  17;  0; 53;   0;2020;kwiecień;19;niedziela;0,0667;0,2267; 0,7067; 34;  0;379,5;251,5;352,0;238,0
Barbados;2020-04-20;  75;  0; 5;0;  19;  2; 51;  -2;2020;kwiecień;20;poniedziałek;0,0667;0,2533; 0,6800; 35;  0;379,5;251,5;185,0;359,5
Barbados;2020-04-21;  75;  0; 5;0;  25;  6; 45;  -6;2020;kwiecień;21;wtorek;0,0667;0,3333; 0,6000; 36;  0;379,5;251,5;112,5;406,0
Barbados;2020-04-22;  75;  0; 5;0;  25;  0; 45;   0;2020;kwiecień;22;środa;0,0667;0,3333; 0,6000; 37;  0;379,5;251,5;352,0;238,0
Barbados;2020-04-23;  76;  1; 6;1;  30;  5; 40;  -5;2020;kwiecień;23;czwartek;0,0789;0,3947; 0,5263; 38;  0;257,0; 23,0;124,0;398,0
Barbados;2020-04-24;  77;  1; 6;0;  31;  1; 40;   0;2020;kwiecień;24;piątek;0,0779;0,4026; 0,5195; 39;  0;257,0;251,5;219,5;238,0
Barbados;2020-04-25;  79;  2; 6;0;  31;  0; 42;   2;2020;kwiecień;25;sobota;0,0759;0,3924; 0,5316; 40;  0;200,5;251,5;352,0; 97,5
Barbados;2020-04-26;  79;  0; 6;0;  39;  8; 34;  -8;2020;kwiecień;26;niedziela;0,0759;0,4937; 0,4304; 41;  0;379,5;251,5;100,0;419,5
Barbados;2020-04-27;  80;  1; 6;0;  39;  0; 35;   1;2020;kwiecień;27;poniedziałek;0,0750;0,4875; 0,4375; 42;  0;257,0;251,5;352,0;133,0
Barbados;2020-04-28;  80;  0; 6;0;  39;  0; 35;   0;2020;kwiecień;28;wtorek;0,0750;0,4875; 0,4375; 43;  0;379,5;251,5;352,0;238,0
Barbados;2020-04-29;  80;  0; 7;1;  39;  0; 34;  -1;2020;kwiecień;29;środa;0,0875;0,4875; 0,4250; 44;  0;379,5; 23,0;352,0;334,0
