Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Benin;2020-03-16;   1;   1;  0;0;   0;  0;   1;   1;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  1;  0;124,5;256,5;278,5; 93,5
Benin;2020-03-17;   1;   0;  0;0;   0;  0;   1;   0;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  2;  0;295,5;256,5;278,5;259,0
Benin;2020-03-18;   2;   1;  0;0;   0;  0;   2;   1;2020;marzec;18;środa;0,0000;0,0000;1,0000;  3;  0;124,5;256,5;278,5; 93,5
Benin;2020-03-19;   2;   0;  0;0;   0;  0;   2;   0;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  4;  0;295,5;256,5;278,5;259,0
Benin;2020-03-20;   2;   0;  0;0;   0;  0;   2;   0;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  5;  0;295,5;256,5;278,5;259,0
Benin;2020-03-21;   2;   0;  0;0;   0;  0;   2;   0;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  6;  0;295,5;256,5;278,5;259,0
Benin;2020-03-22;   2;   0;  0;0;   0;  0;   2;   0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  7;  0;295,5;256,5;278,5;259,0
Benin;2020-03-23;   5;   3;  0;0;   0;  0;   5;   3;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000;  8;  0;120,0;256,5;278,5; 86,5
Benin;2020-03-24;   6;   1;  0;0;   0;  0;   6;   1;2020;marzec;24;wtorek;0,0000;0,0000;1,0000;  9;  0;124,5;256,5;278,5; 93,5
Benin;2020-03-25;   6;   0;  0;0;   0;  0;   6;   0;2020;marzec;25;środa;0,0000;0,0000;1,0000; 10;  0;295,5;256,5;278,5;259,0
Benin;2020-03-26;   6;   0;  0;0;   0;  0;   6;   0;2020;marzec;26;czwartek;0,0000;0,0000;1,0000; 11;  0;295,5;256,5;278,5;259,0
Benin;2020-03-27;   6;   0;  0;0;   0;  0;   6;   0;2020;marzec;27;piątek;0,0000;0,0000;1,0000; 12;  0;295,5;256,5;278,5;259,0
Benin;2020-03-28;   6;   0;  0;0;   0;  0;   6;   0;2020;marzec;28;sobota;0,0000;0,0000;1,0000; 13;  0;295,5;256,5;278,5;259,0
Benin;2020-03-29;   6;   0;  0;0;   0;  0;   6;   0;2020;marzec;29;niedziela;0,0000;0,0000;1,0000; 14;  0;295,5;256,5;278,5;259,0
Benin;2020-03-30;   6;   0;  0;0;   0;  0;   6;   0;2020;marzec;30;poniedziałek;0,0000;0,0000;1,0000; 15;  0;295,5;256,5;278,5;259,0
Benin;2020-03-31;   9;   3;  0;0;   1;  1;   8;   2;2020;marzec;31;wtorek;0,0000;0,1111;0,8889; 16;  0;120,0;256,5; 90,0; 90,5
Benin;2020-04-01;  13;   4;  0;0;   1;  0;  12;   4;2020;kwiecień; 1;środa;0,0000;0,0769;0,9231; 17;  0;117,0;256,5;278,5; 82,5
Benin;2020-04-02;  13;   0;  0;0;   1;  0;  12;   0;2020;kwiecień; 2;czwartek;0,0000;0,0769;0,9231; 18;  0;295,5;256,5;278,5;259,0
Benin;2020-04-03;  16;   3;  0;0;   2;  1;  14;   2;2020;kwiecień; 3;piątek;0,0000;0,1250;0,8750; 19;  0;120,0;256,5; 90,0; 90,5
Benin;2020-04-04;  16;   0;  0;0;   2;  0;  14;   0;2020;kwiecień; 4;sobota;0,0000;0,1250;0,8750; 20;  0;295,5;256,5;278,5;259,0
Benin;2020-04-05;  22;   6;  0;0;   5;  3;  17;   3;2020;kwiecień; 5;niedziela;0,0000;0,2273;0,7727; 21;  0;113,5;256,5; 82,5; 86,5
Benin;2020-04-06;  26;   4;  1;1;   5;  0;  20;   3;2020;kwiecień; 6;poniedziałek;0,0385;0,1923;0,7692; 22;  0;117,0; 37,5;278,5; 86,5
Benin;2020-04-07;  26;   0;  1;0;   5;  0;  20;   0;2020;kwiecień; 7;wtorek;0,0385;0,1923;0,7692; 23;  0;295,5;256,5;278,5;259,0
Benin;2020-04-08;  26;   0;  1;0;   5;  0;  20;   0;2020;kwiecień; 8;środa;0,0385;0,1923;0,7692; 24;  0;295,5;256,5;278,5;259,0
