Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Burma;2020-03-27;    8;   8;   0; 0;    0;   0;    8;    8;2020;marzec;27;piątek;0,0000;0,0000;1,0000;  1;  0;118,0;172,5;224,0; 94,5
Burma;2020-03-28;    8;   0;   0; 0;    0;   0;    8;    0;2020;marzec;28;sobota;0,0000;0,0000;1,0000;  2;  0;227,0;172,5;224,0;150,0
Burma;2020-03-29;   10;   2;   0; 0;    0;   0;   10;    2;2020;marzec;29;niedziela;0,0000;0,0000;1,0000;  3;  0;160,0;172,5;224,0;117,5
Burma;2020-03-30;   14;   4;   0; 0;    0;   0;   14;    4;2020;marzec;30;poniedziałek;0,0000;0,0000;1,0000;  4;  0;135,5;172,5;224,0;106,0
Burma;2020-03-31;   15;   1;   1; 1;    0;   0;   14;    0;2020;marzec;31;wtorek;0,0667;0,0000;0,9333;  5;  0;186,0; 89,5;224,0;150,0
Burma;2020-04-01;   15;   0;   1; 0;    0;   0;   14;    0;2020;kwiecień; 1;środa;0,0667;0,0000;0,9333;  6;  0;227,0;172,5;224,0;150,0
Burma;2020-04-02;   20;   5;   1; 0;    0;   0;   19;    5;2020;kwiecień; 2;czwartek;0,0500;0,0000;0,9500;  7;  0;127,5;172,5;224,0; 99,5
Burma;2020-04-03;   20;   0;   1; 0;    0;   0;   19;    0;2020;kwiecień; 3;piątek;0,0500;0,0000;0,9500;  8;  0;227,0;172,5;224,0;150,0
Burma;2020-04-04;   21;   1;   1; 0;    0;   0;   20;    1;2020;kwiecień; 4;sobota;0,0476;0,0000;0,9524;  9;  0;186,0;172,5;224,0;129,5
Burma;2020-04-05;   21;   0;   1; 0;    0;   0;   20;    0;2020;kwiecień; 5;niedziela;0,0476;0,0000;0,9524; 10;  0;227,0;172,5;224,0;150,0
Burma;2020-04-06;   22;   1;   1; 0;    0;   0;   21;    1;2020;kwiecień; 6;poniedziałek;0,0455;0,0000;0,9545; 11;  0;186,0;172,5;224,0;129,5
Burma;2020-04-07;   22;   0;   1; 0;    0;   0;   21;    0;2020;kwiecień; 7;wtorek;0,0455;0,0000;0,9545; 12;  0;227,0;172,5;224,0;150,0
