Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Cabo Verde;2020-03-20;  1; 1;0;0;  0; 0;  1;  1;2020;marzec;20;piątek;0,0000;0,0000;1,0000; 1; 0
Cabo Verde;2020-03-21;  3; 2;0;0;  0; 0;  3;  2;2020;marzec;21;sobota;0,0000;0,0000;1,0000; 2; 0
Cabo Verde;2020-03-22;  3; 0;0;0;  0; 0;  3;  0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000; 3; 0
Cabo Verde;2020-03-23;  3; 0;0;0;  0; 0;  3;  0;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 4; 0
Cabo Verde;2020-03-24;  3; 0;1;1;  0; 0;  2; -1;2020;marzec;24;wtorek;0,3333;0,0000;0,6667; 5; 0
Cabo Verde;2020-03-25;  4; 1;1;0;  0; 0;  3;  1;2020;marzec;25;środa;0,2500;0,0000;0,7500; 6; 0
Cabo Verde;2020-03-26;  4; 0;1;0;  0; 0;  3;  0;2020;marzec;26;czwartek;0,2500;0,0000;0,7500; 7; 0
Cabo Verde;2020-03-27;  5; 1;1;0;  0; 0;  4;  1;2020;marzec;27;piątek;0,2000;0,0000;0,8000; 8; 0
Cabo Verde;2020-03-28;  5; 0;1;0;  0; 0;  4;  0;2020;marzec;28;sobota;0,2000;0,0000;0,8000; 9; 0
Cabo Verde;2020-03-29;  6; 1;1;0;  0; 0;  5;  1;2020;marzec;29;niedziela;0,1667;0,0000;0,8333;10; 0
Cabo Verde;2020-03-30;  6; 0;1;0;  0; 0;  5;  0;2020;marzec;30;poniedziałek;0,1667;0,0000;0,8333;11; 0
Cabo Verde;2020-03-31;  6; 0;1;0;  0; 0;  5;  0;2020;marzec;31;wtorek;0,1667;0,0000;0,8333;12; 0
Cabo Verde;2020-04-01;  6; 0;1;0;  0; 0;  5;  0;2020;kwiecień; 1;środa;0,1667;0,0000;0,8333;13; 0
Cabo Verde;2020-04-02;  6; 0;1;0;  0; 0;  5;  0;2020;kwiecień; 2;czwartek;0,1667;0,0000;0,8333;14; 0
Cabo Verde;2020-04-03;  6; 0;1;0;  0; 0;  5;  0;2020;kwiecień; 3;piątek;0,1667;0,0000;0,8333;15; 0
Cabo Verde;2020-04-04;  7; 1;1;0;  0; 0;  6;  1;2020;kwiecień; 4;sobota;0,1429;0,0000;0,8571;16; 0
Cabo Verde;2020-04-05;  7; 0;1;0;  0; 0;  6;  0;2020;kwiecień; 5;niedziela;0,1429;0,0000;0,8571;17; 0
Cabo Verde;2020-04-06;  7; 0;1;0;  1; 1;  5; -1;2020;kwiecień; 6;poniedziałek;0,1429;0,1429;0,7143;18; 0
Cabo Verde;2020-04-07;  7; 0;1;0;  1; 0;  5;  0;2020;kwiecień; 7;wtorek;0,1429;0,1429;0,7143;19; 0
Cabo Verde;2020-04-08;  7; 0;1;0;  1; 0;  5;  0;2020;kwiecień; 8;środa;0,1429;0,1429;0,7143;20; 0
Cabo Verde;2020-04-09;  7; 0;1;0;  1; 0;  5;  0;2020;kwiecień; 9;czwartek;0,1429;0,1429;0,7143;21; 0
Cabo Verde;2020-04-10;  7; 0;1;0;  1; 0;  5;  0;2020;kwiecień;10;piątek;0,1429;0,1429;0,7143;22; 0
Cabo Verde;2020-04-11;  8; 1;1;0;  1; 0;  6;  1;2020;kwiecień;11;sobota;0,1250;0,1250;0,7500;23; 0
Cabo Verde;2020-04-12;  8; 0;1;0;  1; 0;  6;  0;2020;kwiecień;12;niedziela;0,1250;0,1250;0,7500;24; 0
Cabo Verde;2020-04-13; 10; 2;1;0;  1; 0;  8;  2;2020;kwiecień;13;poniedziałek;0,1000;0,1000;0,8000;25; 0
Cabo Verde;2020-04-14; 11; 1;1;0;  1; 0;  9;  1;2020;kwiecień;14;wtorek;0,0909;0,0909;0,8182;26; 0
Cabo Verde;2020-04-15; 56;45;1;0;  1; 0; 54; 45;2020;kwiecień;15;środa;0,0179;0,0179;0,9643;27; 0
Cabo Verde;2020-04-16; 56; 0;1;0;  1; 0; 54;  0;2020;kwiecień;16;czwartek;0,0179;0,0179;0,9643;28; 0
Cabo Verde;2020-04-17; 56; 0;1;0;  1; 0; 54;  0;2020;kwiecień;17;piątek;0,0179;0,0179;0,9643;29; 0
Cabo Verde;2020-04-18; 58; 2;1;0;  1; 0; 56;  2;2020;kwiecień;18;sobota;0,0172;0,0172;0,9655;30; 0
Cabo Verde;2020-04-19; 61; 3;1;0;  1; 0; 59;  3;2020;kwiecień;19;niedziela;0,0164;0,0164;0,9672;31; 0
Cabo Verde;2020-04-20; 67; 6;1;0;  1; 0; 65;  6;2020;kwiecień;20;poniedziałek;0,0149;0,0149;0,9701;32; 0
Cabo Verde;2020-04-21; 68; 1;1;0;  1; 0; 66;  1;2020;kwiecień;21;wtorek;0,0147;0,0147;0,9706;33; 0
Cabo Verde;2020-04-22; 73; 5;1;0;  1; 0; 71;  5;2020;kwiecień;22;środa;0,0137;0,0137;0,9726;34; 0
Cabo Verde;2020-04-23; 82; 9;1;0;  1; 0; 80;  9;2020;kwiecień;23;czwartek;0,0122;0,0122;0,9756;35; 0
Cabo Verde;2020-04-24; 88; 6;1;0;  1; 0; 86;  6;2020;kwiecień;24;piątek;0,0114;0,0114;0,9773;36; 0
Cabo Verde;2020-04-25; 90; 2;1;0;  1; 0; 88;  2;2020;kwiecień;25;sobota;0,0111;0,0111;0,9778;37; 0
Cabo Verde;2020-04-26;106;16;1;0;  1; 0;104; 16;2020;kwiecień;26;niedziela;0,0094;0,0094;0,9811;38; 1
Cabo Verde;2020-04-27;109; 3;1;0;  1; 0;107;  3;2020;kwiecień;27;poniedziałek;0,0092;0,0092;0,9817;39; 2
Cabo Verde;2020-04-28;114; 5;1;0;  2; 1;111;  4;2020;kwiecień;28;wtorek;0,0088;0,0175;0,9737;40; 3
Cabo Verde;2020-04-29;114; 0;1;0;  2; 0;111;  0;2020;kwiecień;29;środa;0,0088;0,0175;0,9737;41; 4
Cabo Verde;2020-04-30;121; 7;1;0;  4; 2;116;  5;2020;kwiecień;30;czwartek;0,0083;0,0331;0,9587;42; 5
Cabo Verde;2020-05-01;122; 1;1;0; 18;14;103;-13;2020;maj; 1;piątek;0,0082;0,1475;0,8443;43; 6
Cabo Verde;2020-05-02;152;30;2;1; 18; 0;132; 29;2020;maj; 2;sobota;0,0132;0,1184;0,8684;44; 7
Cabo Verde;2020-05-03;165;13;2;0; 33;15;130; -2;2020;maj; 3;niedziela;0,0121;0,2000;0,7879;45; 8
Cabo Verde;2020-05-04;175;10;2;0; 37; 4;136;  6;2020;maj; 4;poniedziałek;0,0114;0,2114;0,7771;46; 9
Cabo Verde;2020-05-05;186;11;2;0; 37; 0;147; 11;2020;maj; 5;wtorek;0,0108;0,1989;0,7903;47;10
Cabo Verde;2020-05-06;191; 5;2;0; 38; 1;151;  4;2020;maj; 6;środa;0,0105;0,1990;0,7906;48;11
Cabo Verde;2020-05-07;218;27;2;0; 38; 0;178; 27;2020;maj; 7;czwartek;0,0092;0,1743;0,8165;49;12
Cabo Verde;2020-05-08;230;12;2;0; 44; 6;184;  6;2020;maj; 8;piątek;0,0087;0,1913;0,8000;50;13
Cabo Verde;2020-05-09;236; 6;2;0; 56;12;178; -6;2020;maj; 9;sobota;0,0085;0,2373;0,7542;51;14
Cabo Verde;2020-05-10;246;10;2;0; 56; 0;188; 10;2020;maj;10;niedziela;0,0081;0,2276;0,7642;52;15
Cabo Verde;2020-05-11;260;14;2;0; 58; 2;200; 12;2020;maj;11;poniedziałek;0,0077;0,2231;0,7692;53;16
Cabo Verde;2020-05-12;267; 7;2;0; 58; 0;207;  7;2020;maj;12;wtorek;0,0075;0,2172;0,7753;54;17
Cabo Verde;2020-05-13;289;22;2;0; 61; 3;226; 19;2020;maj;13;środa;0,0069;0,2111;0,7820;55;18
Cabo Verde;2020-05-14;315;26;2;0; 67; 6;246; 20;2020;maj;14;czwartek;0,0063;0,2127;0,7810;56;19
Cabo Verde;2020-05-15;326;11;2;0; 67; 0;257; 11;2020;maj;15;piątek;0,0061;0,2055;0,7883;57;20
Cabo Verde;2020-05-16;328; 2;3;1; 84;17;241;-16;2020;maj;16;sobota;0,0091;0,2561;0,7348;58;21
Cabo Verde;2020-05-17;328; 0;3;0; 84; 0;241;  0;2020;maj;17;niedziela;0,0091;0,2561;0,7348;59;22
Cabo Verde;2020-05-18;328; 0;3;0; 85; 1;240; -1;2020;maj;18;poniedziałek;0,0091;0,2591;0,7317;60;23
Cabo Verde;2020-05-19;335; 7;3;0; 85; 0;247;  7;2020;maj;19;wtorek;0,0090;0,2537;0,7373;61;24
Cabo Verde;2020-05-20;349;14;3;0; 85; 0;261; 14;2020;maj;20;środa;0,0086;0,2436;0,7479;62;25
Cabo Verde;2020-05-21;356; 7;3;0; 95;10;258; -3;2020;maj;21;czwartek;0,0084;0,2669;0,7247;63;26
Cabo Verde;2020-05-22;362; 6;3;0; 95; 0;264;  6;2020;maj;22;piątek;0,0083;0,2624;0,7293;64;27
Cabo Verde;2020-05-23;371; 9;3;0;142;47;226;-38;2020;maj;23;sobota;0,0081;0,3827;0,6092;65;28
Cabo Verde;2020-05-24;380; 9;3;0;155;13;222; -4;2020;maj;24;niedziela;0,0079;0,4079;0,5842;66;29
Cabo Verde;2020-05-25;390;10;3;0;155; 0;232; 10;2020;maj;25;poniedziałek;0,0077;0,3974;0,5949;67;30
Cabo Verde;2020-05-26;390; 0;4;1;155; 0;231; -1;2020;maj;26;wtorek;0,0103;0,3974;0,5923;68;31
Cabo Verde;2020-05-27;390; 0;4;0;155; 0;231;  0;2020;maj;27;środa;0,0103;0,3974;0,5923;69;32
Cabo Verde;2020-05-28;390; 0;4;0;155; 0;231;  0;2020;maj;28;czwartek;0,0103;0,3974;0,5923;70;33
Cabo Verde;2020-05-29;405;15;4;0;155; 0;246; 15;2020;maj;29;piątek;0,0099;0,3827;0,6074;71;34
Cabo Verde;2020-05-30;421;16;4;0;167;12;250;  4;2020;maj;30;sobota;0,0095;0,3967;0,5938;72;35
Cabo Verde;2020-05-31;435;14;4;0;193;26;238;-12;2020;maj;31;niedziela;0,0092;0,4437;0,5471;73;36
