Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Chad;2020-03-19;  1; 1; 0; 0;  0; 0;  1;  1;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  1; 0
Chad;2020-03-20;  1; 0; 0; 0;  0; 0;  1;  0;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  2; 0
Chad;2020-03-21;  1; 0; 0; 0;  0; 0;  1;  0;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  3; 0
Chad;2020-03-22;  1; 0; 0; 0;  0; 0;  1;  0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  4; 0
Chad;2020-03-23;  1; 0; 0; 0;  0; 0;  1;  0;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000;  5; 0
Chad;2020-03-24;  3; 2; 0; 0;  0; 0;  3;  2;2020;marzec;24;wtorek;0,0000;0,0000;1,0000;  6; 0
Chad;2020-03-25;  3; 0; 0; 0;  0; 0;  3;  0;2020;marzec;25;środa;0,0000;0,0000;1,0000;  7; 0
Chad;2020-03-26;  3; 0; 0; 0;  0; 0;  3;  0;2020;marzec;26;czwartek;0,0000;0,0000;1,0000;  8; 0
Chad;2020-03-27;  3; 0; 0; 0;  0; 0;  3;  0;2020;marzec;27;piątek;0,0000;0,0000;1,0000;  9; 0
Chad;2020-03-28;  3; 0; 0; 0;  0; 0;  3;  0;2020;marzec;28;sobota;0,0000;0,0000;1,0000; 10; 0
Chad;2020-03-29;  3; 0; 0; 0;  0; 0;  3;  0;2020;marzec;29;niedziela;0,0000;0,0000;1,0000; 11; 0
Chad;2020-03-30;  5; 2; 0; 0;  0; 0;  5;  2;2020;marzec;30;poniedziałek;0,0000;0,0000;1,0000; 12; 0
Chad;2020-03-31;  7; 2; 0; 0;  0; 0;  7;  2;2020;marzec;31;wtorek;0,0000;0,0000;1,0000; 13; 0
Chad;2020-04-01;  7; 0; 0; 0;  0; 0;  7;  0;2020;kwiecień; 1;środa;0,0000;0,0000;1,0000; 14; 0
Chad;2020-04-02;  8; 1; 0; 0;  0; 0;  8;  1;2020;kwiecień; 2;czwartek;0,0000;0,0000;1,0000; 15; 0
Chad;2020-04-03;  8; 0; 0; 0;  0; 0;  8;  0;2020;kwiecień; 3;piątek;0,0000;0,0000;1,0000; 16; 0
Chad;2020-04-04;  9; 1; 0; 0;  0; 0;  9;  1;2020;kwiecień; 4;sobota;0,0000;0,0000;1,0000; 17; 0
Chad;2020-04-05;  9; 0; 0; 0;  0; 0;  9;  0;2020;kwiecień; 5;niedziela;0,0000;0,0000;1,0000; 18; 0
Chad;2020-04-06;  9; 0; 0; 0;  0; 0;  9;  0;2020;kwiecień; 6;poniedziałek;0,0000;0,0000;1,0000; 19; 0
Chad;2020-04-07; 10; 1; 0; 0;  2; 2;  8; -1;2020;kwiecień; 7;wtorek;0,0000;0,2000;0,8000; 20; 0
Chad;2020-04-08; 10; 0; 0; 0;  2; 0;  8;  0;2020;kwiecień; 8;środa;0,0000;0,2000;0,8000; 21; 0
Chad;2020-04-09; 11; 1; 0; 0;  2; 0;  9;  1;2020;kwiecień; 9;czwartek;0,0000;0,1818;0,8182; 22; 0
Chad;2020-04-10; 11; 0; 0; 0;  2; 0;  9;  0;2020;kwiecień;10;piątek;0,0000;0,1818;0,8182; 23; 0
Chad;2020-04-11; 11; 0; 0; 0;  2; 0;  9;  0;2020;kwiecień;11;sobota;0,0000;0,1818;0,8182; 24; 0
Chad;2020-04-12; 18; 7; 0; 0;  2; 0; 16;  7;2020;kwiecień;12;niedziela;0,0000;0,1111;0,8889; 25; 0
Chad;2020-04-13; 23; 5; 0; 0;  2; 0; 21;  5;2020;kwiecień;13;poniedziałek;0,0000;0,0870;0,9130; 26; 0
Chad;2020-04-14; 23; 0; 0; 0;  2; 0; 21;  0;2020;kwiecień;14;wtorek;0,0000;0,0870;0,9130; 27; 0
Chad;2020-04-15; 23; 0; 0; 0;  2; 0; 21;  0;2020;kwiecień;15;środa;0,0000;0,0870;0,9130; 28; 0
