Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
China;2020-01-22;  548;    0;  17;   0;   28;   0;  503;    0;2020;styczeń;22;środa;0,0310;0,0511;0,9179;  1;  1;312,0;229,5;312,5;131,5
China;2020-01-23;  643;   95;  18;   1;   30;   2;  595;   92;2020;styczeń;23;czwartek;0,0280;0,0467;0,9253;  2;  2; 79,0;121,5;306,5; 35,0
China;2020-01-24;  920;  277;  26;   8;   36;   6;  858;  263;2020;styczeń;24;piątek;0,0283;0,0391;0,9326;  3;  3; 37,0; 53,0;291,5; 23,0
China;2020-01-25; 1406;  486;  42;  16;   39;   3; 1325;  467;2020;styczeń;25;sobota;0,0299;0,0277;0,9424;  4;  4; 27,0; 42,5;303,5; 22,0
China;2020-01-26; 2075;  669;  56;  14;   49;  10; 1970;  645;2020;styczeń;26;niedziela;0,0270;0,0236;0,9494;  5;  5; 23,0; 45,5;272,5; 18,0
China;2020-01-27; 2877;  802;  82;  26;   58;   9; 2737;  767;2020;styczeń;27;poniedziałek;0,0285;0,0202;0,9513;  6;  6; 22,0; 39,0;277,5; 17,0
China;2020-01-28; 5509; 2632; 131;  49;  101;  43; 5277; 2540;2020;styczeń;28;wtorek;0,0238;0,0183;0,9579;  7;  7; 11,0; 24,0;150,0;  9,0
China;2020-01-29; 6087;  578; 133;   2;  120;  19; 5834;  557;2020;styczeń;29;środa;0,0218;0,0197;0,9584;  8;  8; 24,0; 93,0;232,0; 20,0
China;2020-01-30; 8141; 2054; 171;  38;  135;  15; 7835; 2001;2020;styczeń;30;czwartek;0,0210;0,0166;0,9624;  9;  9; 16,0; 30,0;252,5; 12,0
China;2020-01-31; 9802; 1661; 213;  42;  214;  79; 9375; 1540;2020;styczeń;31;piątek;0,0217;0,0218;0,9564; 10; 10; 20,0; 28,5;110,5; 15,0
China;2020-02-01;11891; 2089; 259;  46;  275;  61;11357; 1982;2020;luty; 1;sobota;0,0218;0,0231;0,9551; 11; 11; 14,0; 26,0;124,0; 13,0
China;2020-02-02;16630; 4739; 361; 102;  463; 188;15806; 4449;2020;luty; 2;niedziela;0,0217;0,0278;0,9505; 12; 12;  3,0; 12,0; 64,0;  3,0
China;2020-02-03;19716; 3086; 425;  64;  614; 151;18677; 2871;2020;luty; 3;poniedziałek;0,0216;0,0311;0,9473; 13; 13;  8,0; 22,0; 77,0;  7,0
China;2020-02-04;23707; 3991; 491;  66;  843; 229;22373; 3696;2020;luty; 4;wtorek;0,0207;0,0356;0,9437; 14; 14;  4,0; 21,0; 58,0;  4,0
China;2020-02-05;27440; 3733; 563;  72; 1115; 272;25762; 3389;2020;luty; 5;środa;0,0205;0,0406;0,9388; 15; 15;  5,0; 18,0; 56,0;  5,0
China;2020-02-06;30587; 3147; 633;  70; 1477; 362;28477; 2715;2020;luty; 6;czwartek;0,0207;0,0483;0,9310; 16; 16;  7,0; 19,5; 53,0;  8,0
China;2020-02-07;34110; 3523; 718;  85; 1999; 522;31393; 2916;2020;luty; 7;piątek;0,0210;0,0586;0,9203; 17; 17;  6,0; 17,0; 43,0;  6,0
