Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Colombia;2020-03-06;     1;    1;    0;  0;     0;    0;     1;     1;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  1;  0;212,0
Colombia;2020-03-07;     1;    0;    0;  0;     0;    0;     1;     0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  2;  0;214,5
Colombia;2020-03-08;     1;    0;    0;  0;     0;    0;     1;     0;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  3;  0;214,5
Colombia;2020-03-09;     1;    0;    0;  0;     0;    0;     1;     0;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000;  4;  0;214,5
Colombia;2020-03-10;     3;    2;    0;  0;     0;    0;     3;     2;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  5;  0;211,0
Colombia;2020-03-11;     9;    6;    0;  0;     0;    0;     9;     6;2020;marzec;11;środa;0,0000;0,0000;1,0000;  6;  0;208,5
Colombia;2020-03-12;     9;    0;    0;  0;     0;    0;     9;     0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  7;  0;214,5
Colombia;2020-03-13;    13;    4;    0;  0;     0;    0;    13;     4;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  8;  0;210,0
Colombia;2020-03-14;    22;    9;    0;  0;     0;    0;    22;     9;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  9;  0;207,0
Colombia;2020-03-15;    34;   12;    0;  0;     0;    0;    34;    12;2020;marzec;15;niedziela;0,0000;0,0000;1,0000; 10;  0;206,0
Colombia;2020-03-16;    57;   23;    0;  0;     0;    0;    57;    23;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000; 11;  0;203,0
Colombia;2020-03-17;    75;   18;    0;  0;     1;    1;    74;    17;2020;marzec;17;wtorek;0,0000;0,0133;0,9867; 12;  0;205,0
Colombia;2020-03-18;   102;   27;    0;  0;     1;    0;   101;    27;2020;marzec;18;środa;0,0000;0,0098;0,9902; 13;  1;202,0
Colombia;2020-03-19;   108;    6;    0;  0;     1;    0;   107;     6;2020;marzec;19;czwartek;0,0000;0,0093;0,9907; 14;  2;208,5
Colombia;2020-03-20;   158;   50;    0;  0;     1;    0;   157;    50;2020;marzec;20;piątek;0,0000;0,0063;0,9937; 15;  3;197,0
