Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Congo (Kinshasa);2020-03-11;    1;  1;  0; 0;    0;  0;   1;   1;2020;marzec;11;środa;0,0000;0,0000;1,0000;  1;  0;239,5;194,5;231,5;166,5
Congo (Kinshasa);2020-03-12;    1;  0;  0; 0;    0;  0;   1;   0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  2;  0;255,5;194,5;231,5;183,0
Congo (Kinshasa);2020-03-13;    2;  1;  0; 0;    0;  0;   2;   1;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  3;  0;239,5;194,5;231,5;166,5
Congo (Kinshasa);2020-03-14;    2;  0;  0; 0;    0;  0;   2;   0;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  4;  0;255,5;194,5;231,5;183,0
Congo (Kinshasa);2020-03-15;    2;  0;  0; 0;    0;  0;   2;   0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  5;  0;255,5;194,5;231,5;183,0
Congo (Kinshasa);2020-03-16;    2;  0;  0; 0;    0;  0;   2;   0;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  6;  0;255,5;194,5;231,5;183,0
Congo (Kinshasa);2020-03-17;    3;  1;  0; 0;    0;  0;   3;   1;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  7;  0;239,5;194,5;231,5;166,5
Congo (Kinshasa);2020-03-18;    4;  1;  0; 0;    0;  0;   4;   1;2020;marzec;18;środa;0,0000;0,0000;1,0000;  8;  0;239,5;194,5;231,5;166,5
Congo (Kinshasa);2020-03-19;   14; 10;  0; 0;    0;  0;  14;  10;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  9;  0;210,5;194,5;231,5;128,0
Congo (Kinshasa);2020-03-20;   18;  4;  0; 0;    0;  0;  18;   4;2020;marzec;20;piątek;0,0000;0,0000;1,0000; 10;  0;231,5;194,5;231,5;152,0
Congo (Kinshasa);2020-03-21;   23;  5;  1; 1;    0;  0;  22;   4;2020;marzec;21;sobota;0,0435;0,0000;0,9565; 11;  0;228,0; 98,5;231,5;152,0
Congo (Kinshasa);2020-03-22;   30;  7;  1; 0;    0;  0;  29;   7;2020;marzec;22;niedziela;0,0333;0,0000;0,9667; 12;  0;220,5;194,5;231,5;140,0
Congo (Kinshasa);2020-03-23;   36;  6;  1; 0;    0;  0;  35;   6;2020;marzec;23;poniedziałek;0,0278;0,0000;0,9722; 13;  0;224,5;194,5;231,5;143,0
Congo (Kinshasa);2020-03-24;   45;  9;  2; 1;    0;  0;  43;   8;2020;marzec;24;wtorek;0,0444;0,0000;0,9556; 14;  0;214,0; 98,5;231,5;137,0
Congo (Kinshasa);2020-03-25;   48;  3;  2; 0;    0;  0;  46;   3;2020;marzec;25;środa;0,0417;0,0000;0,9583; 15;  0;235,0;194,5;231,5;159,0
Congo (Kinshasa);2020-03-26;   51;  3;  3; 1;    0;  0;  48;   2;2020;marzec;26;czwartek;0,0588;0,0000;0,9412; 16;  0;235,0; 98,5;231,5;162,5
Congo (Kinshasa);2020-03-27;   51;  0;  3; 0;    2;  2;  46;  -2;2020;marzec;27;piątek;0,0588;0,0392;0,9020; 17;  0;255,5;194,5;178,0;199,5
Congo (Kinshasa);2020-03-28;   65; 14;  6; 3;    2;  0;  57;  11;2020;marzec;28;sobota;0,0923;0,0308;0,8769; 18;  0;191,5; 40,5;231,5;121,0
Congo (Kinshasa);2020-03-29;   65;  0;  6; 0;    2;  0;  57;   0;2020;marzec;29;niedziela;0,0923;0,0308;0,8769; 19;  0;255,5;194,5;231,5;183,0
Congo (Kinshasa);2020-03-30;   81; 16;  8; 2;    2;  0;  71;  14;2020;marzec;30;poniedziałek;0,0988;0,0247;0,8765; 20;  0;184,0; 65,0;231,5;111,5
Congo (Kinshasa);2020-03-31;   98; 17;  8; 0;    2;  0;  88;  17;2020;marzec;31;wtorek;0,0816;0,0204;0,8980; 21;  0;179,5;194,5;231,5; 99,5
Congo (Kinshasa);2020-04-01;  109; 11;  9; 1;    3;  1;  97;   9;2020;kwiecień; 1;środa;0,0826;0,0275;0,8899; 22;  1;206,0; 98,5;189,0;134,0
Congo (Kinshasa);2020-04-02;  134; 25; 13; 4;    3;  0; 118;  21;2020;kwiecień; 2;czwartek;0,0970;0,0224;0,8806; 23;  2;144,5; 24,0;231,5; 88,0
Congo (Kinshasa);2020-04-03;  134;  0; 13; 0;    3;  0; 118;   0;2020;kwiecień; 3;piątek;0,0970;0,0224;0,8806; 24;  3;255,5;194,5;231,5;183,0
Congo (Kinshasa);2020-04-04;  154; 20; 18; 5;    3;  0; 133;  15;2020;kwiecień; 4;sobota;0,1169;0,0195;0,8636; 25;  4;161,0; 16,0;231,5;107,5
Congo (Kinshasa);2020-04-05;  154;  0; 18; 0;    3;  0; 133;   0;2020;kwiecień; 5;niedziela;0,1169;0,0195;0,8636; 26;  5;255,5;194,5;231,5;183,0
Congo (Kinshasa);2020-04-06;  161;  7; 18; 0;    5;  2; 138;   5;2020;kwiecień; 6;poniedziałek;0,1118;0,0311;0,8571; 27;  6;220,5;194,5;178,0;146,0
Congo (Kinshasa);2020-04-07;  180; 19; 18; 0;    9;  4; 153;  15;2020;kwiecień; 7;wtorek;0,1000;0,0500;0,8500; 28;  7;166,5;194,5;164,0;107,5
Congo (Kinshasa);2020-04-08;  180;  0; 18; 0;    9;  0; 153;   0;2020;kwiecień; 8;środa;0,1000;0,0500;0,8500; 29;  8;255,5;194,5;231,5;183,0
Congo (Kinshasa);2020-04-09;  180;  0; 18; 0;    9;  0; 153;   0;2020;kwiecień; 9;czwartek;0,1000;0,0500;0,8500; 30;  9;255,5;194,5;231,5;183,0
Congo (Kinshasa);2020-04-10;  215; 35; 20; 2;   13;  4; 182;  29;2020;kwiecień;10;piątek;0,0930;0,0605;0,8465; 31; 10;116,5; 65,0;164,0; 78,5
Congo (Kinshasa);2020-04-11;  223;  8; 20; 0;   16;  3; 187;   5;2020;kwiecień;11;sobota;0,0897;0,0717;0,8386; 32; 11;217,0;194,5;169,0;146,0
Congo (Kinshasa);2020-04-12;  234; 11; 20; 0;   16;  0; 198;  11;2020;kwiecień;12;niedziela;0,0855;0,0684;0,8462; 33; 12;206,0;194,5;231,5;121,0
Congo (Kinshasa);2020-04-13;  235;  1; 20; 0;   17;  1; 198;   0;2020;kwiecień;13;poniedziałek;0,0851;0,0723;0,8426; 34; 13;239,5;194,5;189,0;183,0
Congo (Kinshasa);2020-04-14;  241;  6; 20; 0;   20;  3; 201;   3;2020;kwiecień;14;wtorek;0,0830;0,0830;0,8340; 35; 14;224,5;194,5;169,0;159,0
Congo (Kinshasa);2020-04-15;  254; 13; 21; 1;   21;  1; 212;  11;2020;kwiecień;15;środa;0,0827;0,0827;0,8346; 36; 15;197,5; 98,5;189,0;121,0
Congo (Kinshasa);2020-04-16;  267; 13; 22; 1;   23;  2; 222;  10;2020;kwiecień;16;czwartek;0,0824;0,0861;0,8315; 37; 16;197,5; 98,5;178,0;128,0
Congo (Kinshasa);2020-04-17;  287; 20; 23; 1;   25;  2; 239;  17;2020;kwiecień;17;piątek;0,0801;0,0871;0,8328; 38; 17;161,0; 98,5;178,0; 99,5
Congo (Kinshasa);2020-04-18;  307; 20; 25; 2;   26;  1; 256;  17;2020;kwiecień;18;sobota;0,0814;0,0847;0,8339; 39; 18;161,0; 65,0;189,0; 99,5
Congo (Kinshasa);2020-04-19;  327; 20; 25; 0;   26;  0; 276;  20;2020;kwiecień;19;niedziela;0,0765;0,0795;0,8440; 40; 19;161,0;194,5;231,5; 90,0
Congo (Kinshasa);2020-04-20;  332;  5; 25; 0;   27;  1; 280;   4;2020;kwiecień;20;poniedziałek;0,0753;0,0813;0,8434; 41; 20;228,0;194,5;189,0;152,0
