Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Costa Rica;2020-03-06;   1;  1; 0;0;   0;  0;   1;  1;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  1;  0
Costa Rica;2020-03-07;   1;  0; 0;0;   0;  0;   1;  0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  2;  0
Costa Rica;2020-03-08;   5;  4; 0;0;   0;  0;   5;  4;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  3;  0
Costa Rica;2020-03-09;   9;  4; 0;0;   0;  0;   9;  4;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000;  4;  0
Costa Rica;2020-03-10;   9;  0; 0;0;   0;  0;   9;  0;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  5;  0
Costa Rica;2020-03-11;  13;  4; 0;0;   0;  0;  13;  4;2020;marzec;11;środa;0,0000;0,0000;1,0000;  6;  0
Costa Rica;2020-03-12;  22;  9; 0;0;   0;  0;  22;  9;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  7;  0
Costa Rica;2020-03-13;  23;  1; 0;0;   0;  0;  23;  1;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  8;  0
Costa Rica;2020-03-14;  26;  3; 0;0;   0;  0;  26;  3;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  9;  0
Costa Rica;2020-03-15;  27;  1; 0;0;   0;  0;  27;  1;2020;marzec;15;niedziela;0,0000;0,0000;1,0000; 10;  0
Costa Rica;2020-03-16;  35;  8; 0;0;   0;  0;  35;  8;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000; 11;  0
Costa Rica;2020-03-17;  41;  6; 0;0;   0;  0;  41;  6;2020;marzec;17;wtorek;0,0000;0,0000;1,0000; 12;  0
Costa Rica;2020-03-18;  50;  9; 0;0;   0;  0;  50;  9;2020;marzec;18;środa;0,0000;0,0000;1,0000; 13;  0
Costa Rica;2020-03-19;  69; 19; 1;1;   0;  0;  68; 18;2020;marzec;19;czwartek;0,0145;0,0000;0,9855; 14;  0
Costa Rica;2020-03-20;  89; 20; 1;0;   0;  0;  88; 20;2020;marzec;20;piątek;0,0112;0,0000;0,9888; 15;  0
Costa Rica;2020-03-21; 117; 28; 2;1;   2;  2; 113; 25;2020;marzec;21;sobota;0,0171;0,0171;0,9658; 16;  1
Costa Rica;2020-03-22; 134; 17; 2;0;   2;  0; 130; 17;2020;marzec;22;niedziela;0,0149;0,0149;0,9701; 17;  2
Costa Rica;2020-03-23; 158; 24; 2;0;   2;  0; 154; 24;2020;marzec;23;poniedziałek;0,0127;0,0127;0,9747; 18;  3
Costa Rica;2020-03-24; 177; 19; 2;0;   2;  0; 173; 19;2020;marzec;24;wtorek;0,0113;0,0113;0,9774; 19;  4
Costa Rica;2020-03-25; 201; 24; 2;0;   2;  0; 197; 24;2020;marzec;25;środa;0,0100;0,0100;0,9801; 20;  5
Costa Rica;2020-03-26; 231; 30; 2;0;   2;  0; 227; 30;2020;marzec;26;czwartek;0,0087;0,0087;0,9827; 21;  6
Costa Rica;2020-03-27; 263; 32; 2;0;   3;  1; 258; 31;2020;marzec;27;piątek;0,0076;0,0114;0,9810; 22;  7
Costa Rica;2020-03-28; 295; 32; 2;0;   3;  0; 290; 32;2020;marzec;28;sobota;0,0068;0,0102;0,9831; 23;  8
Costa Rica;2020-03-29; 314; 19; 2;0;   3;  0; 309; 19;2020;marzec;29;niedziela;0,0064;0,0096;0,9841; 24;  9
Costa Rica;2020-03-30; 330; 16; 2;0;   4;  1; 324; 15;2020;marzec;30;poniedziałek;0,0061;0,0121;0,9818; 25; 10
Costa Rica;2020-03-31; 347; 17; 2;0;   4;  0; 341; 17;2020;marzec;31;wtorek;0,0058;0,0115;0,9827; 26; 11
Costa Rica;2020-04-01; 375; 28; 2;0;   4;  0; 369; 28;2020;kwiecień; 1;środa;0,0053;0,0107;0,9840; 27; 12
Costa Rica;2020-04-02; 396; 21; 2;0;   6;  2; 388; 19;2020;kwiecień; 2;czwartek;0,0051;0,0152;0,9798; 28; 13
Costa Rica;2020-04-03; 416; 20; 2;0;  11;  5; 403; 15;2020;kwiecień; 3;piątek;0,0048;0,0264;0,9688; 29; 14
Costa Rica;2020-04-04; 435; 19; 2;0;  13;  2; 420; 17;2020;kwiecień; 4;sobota;0,0046;0,0299;0,9655; 30; 15
Costa Rica;2020-04-05; 454; 19; 2;0;  16;  3; 436; 16;2020;kwiecień; 5;niedziela;0,0044;0,0352;0,9604; 31; 16
Costa Rica;2020-04-06; 467; 13; 2;0;  18;  2; 447; 11;2020;kwiecień; 6;poniedziałek;0,0043;0,0385;0,9572; 32; 17
Costa Rica;2020-04-07; 483; 16; 2;0;  24;  6; 457; 10;2020;kwiecień; 7;wtorek;0,0041;0,0497;0,9462; 33; 18
Costa Rica;2020-04-08; 502; 19; 3;1;  29;  5; 470; 13;2020;kwiecień; 8;środa;0,0060;0,0578;0,9363; 34; 19
Costa Rica;2020-04-09; 539; 37; 3;0;  30;  1; 506; 36;2020;kwiecień; 9;czwartek;0,0056;0,0557;0,9388; 35; 20
Costa Rica;2020-04-10; 558; 19; 3;0;  42; 12; 513;  7;2020;kwiecień;10;piątek;0,0054;0,0753;0,9194; 36; 21
Costa Rica;2020-04-11; 577; 19; 3;0;  49;  7; 525; 12;2020;kwiecień;11;sobota;0,0052;0,0849;0,9099; 37; 22
Costa Rica;2020-04-12; 595; 18; 3;0;  56;  7; 536; 11;2020;kwiecień;12;niedziela;0,0050;0,0941;0,9008; 38; 23
Costa Rica;2020-04-13; 612; 17; 3;0;  62;  6; 547; 11;2020;kwiecień;13;poniedziałek;0,0049;0,1013;0,8938; 39; 24
Costa Rica;2020-04-14; 618;  6; 3;0;  66;  4; 549;  2;2020;kwiecień;14;wtorek;0,0049;0,1068;0,8883; 40; 25
Costa Rica;2020-04-15; 626;  8; 4;1;  67;  1; 555;  6;2020;kwiecień;15;środa;0,0064;0,1070;0,8866; 41; 26
Costa Rica;2020-04-16; 642; 16; 4;0;  74;  7; 564;  9;2020;kwiecień;16;czwartek;0,0062;0,1153;0,8785; 42; 27
Costa Rica;2020-04-17; 649;  7; 4;0;  88; 14; 557; -7;2020;kwiecień;17;piątek;0,0062;0,1356;0,8582; 43; 28
Costa Rica;2020-04-18; 655;  6; 4;0;  97;  9; 554; -3;2020;kwiecień;18;sobota;0,0061;0,1481;0,8458; 44; 29
Costa Rica;2020-04-19; 660;  5; 5;1; 112; 15; 543;-11;2020;kwiecień;19;niedziela;0,0076;0,1697;0,8227; 45; 30
Costa Rica;2020-04-20; 662;  2; 6;1; 124; 12; 532;-11;2020;kwiecień;20;poniedziałek;0,0091;0,1873;0,8036; 46; 31
Costa Rica;2020-04-21; 669;  7; 6;0; 150; 26; 513;-19;2020;kwiecień;21;wtorek;0,0090;0,2242;0,7668; 47; 32
Costa Rica;2020-04-22; 681; 12; 6;0; 180; 30; 495;-18;2020;kwiecień;22;środa;0,0088;0,2643;0,7269; 48; 33
Costa Rica;2020-04-23; 686;  5; 6;0; 196; 16; 484;-11;2020;kwiecień;23;czwartek;0,0087;0,2857;0,7055; 49; 34
Costa Rica;2020-04-24; 687;  1; 6;0; 216; 20; 465;-19;2020;kwiecień;24;piątek;0,0087;0,3144;0,6769; 50; 35
Costa Rica;2020-04-25; 693;  6; 6;0; 242; 26; 445;-20;2020;kwiecień;25;sobota;0,0087;0,3492;0,6421; 51; 36
Costa Rica;2020-04-26; 695;  2; 6;0; 264; 22; 425;-20;2020;kwiecień;26;niedziela;0,0086;0,3799;0,6115; 52; 37
Costa Rica;2020-04-27; 697;  2; 6;0; 287; 23; 404;-21;2020;kwiecień;27;poniedziałek;0,0086;0,4118;0,5796; 53; 38
Costa Rica;2020-04-28; 705;  8; 6;0; 306; 19; 393;-11;2020;kwiecień;28;wtorek;0,0085;0,4340;0,5574; 54; 39
Costa Rica;2020-04-29; 713;  8; 6;0; 323; 17; 384; -9;2020;kwiecień;29;środa;0,0084;0,4530;0,5386; 55; 40
Costa Rica;2020-04-30; 719;  6; 6;0; 338; 15; 375; -9;2020;kwiecień;30;czwartek;0,0083;0,4701;0,5216; 56; 41
Costa Rica;2020-05-01; 725;  6; 6;0; 355; 17; 364;-11;2020;maj; 1;piątek;0,0083;0,4897;0,5021; 57; 42
Costa Rica;2020-05-02; 733;  8; 6;0; 372; 17; 355; -9;2020;maj; 2;sobota;0,0082;0,5075;0,4843; 58; 43
Costa Rica;2020-05-03; 739;  6; 6;0; 386; 14; 347; -8;2020;maj; 3;niedziela;0,0081;0,5223;0,4696; 59; 44
Costa Rica;2020-05-04; 742;  3; 6;0; 399; 13; 337;-10;2020;maj; 4;poniedziałek;0,0081;0,5377;0,4542; 60; 45
Costa Rica;2020-05-05; 755; 13; 6;0; 413; 14; 336; -1;2020;maj; 5;wtorek;0,0079;0,5470;0,4450; 61; 46
Costa Rica;2020-05-06; 761;  6; 6;0; 428; 15; 327; -9;2020;maj; 6;środa;0,0079;0,5624;0,4297; 62; 47
Costa Rica;2020-05-07; 765;  4; 6;0; 445; 17; 314;-13;2020;maj; 7;czwartek;0,0078;0,5817;0,4105; 63; 48
Costa Rica;2020-05-08; 773;  8; 6;0; 461; 16; 306; -8;2020;maj; 8;piątek;0,0078;0,5964;0,3959; 64; 49
Costa Rica;2020-05-09; 780;  7; 6;0; 480; 19; 294;-12;2020;maj; 9;sobota;0,0077;0,6154;0,3769; 65; 50
Costa Rica;2020-05-10; 792; 12; 7;1; 501; 21; 284;-10;2020;maj;10;niedziela;0,0088;0,6326;0,3586; 66; 51
Costa Rica;2020-05-11; 801;  9; 7;0; 517; 16; 277; -7;2020;maj;11;poniedziałek;0,0087;0,6454;0,3458; 67; 52
Costa Rica;2020-05-12; 804;  3; 7;0; 520;  3; 277;  0;2020;maj;12;wtorek;0,0087;0,6468;0,3445; 68; 53
Costa Rica;2020-05-13; 815; 11; 8;1; 527;  7; 280;  3;2020;maj;13;środa;0,0098;0,6466;0,3436; 69; 54
Costa Rica;2020-05-14; 830; 15; 8;0; 535;  8; 287;  7;2020;maj;14;czwartek;0,0096;0,6446;0,3458; 70; 55
Costa Rica;2020-05-15; 843; 13; 9;1; 542;  7; 292;  5;2020;maj;15;piątek;0,0107;0,6429;0,3464; 71; 56
Costa Rica;2020-05-16; 853; 10;10;1; 551;  9; 292;  0;2020;maj;16;sobota;0,0117;0,6460;0,3423; 72; 57
Costa Rica;2020-05-17; 863; 10;10;0; 565; 14; 288; -4;2020;maj;17;niedziela;0,0116;0,6547;0,3337; 73; 58
Costa Rica;2020-05-18; 866;  3;10;0; 575; 10; 281; -7;2020;maj;18;poniedziałek;0,0115;0,6640;0,3245; 74; 59
Costa Rica;2020-05-19; 882; 16;10;0; 577;  2; 295; 14;2020;maj;19;wtorek;0,0113;0,6542;0,3345; 75; 60
