Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Cuba;2020-03-12;   3; 3;  0; 0;   0;  0;  3;   3;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  1;  0;193,0
Cuba;2020-03-13;   4; 1;  0; 0;   0;  0;  4;   1;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  2;  0;204,5
Cuba;2020-03-14;   4; 0;  0; 0;   0;  0;  4;   0;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  3;  0;209,5
Cuba;2020-03-15;   4; 0;  0; 0;   0;  0;  4;   0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  4;  0;209,5
Cuba;2020-03-16;   4; 0;  0; 0;   0;  0;  4;   0;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  5;  0;209,5
Cuba;2020-03-17;   5; 1;  0; 0;   0;  0;  5;   1;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  6;  0;204,5
Cuba;2020-03-18;   7; 2;  1; 1;   0;  0;  6;   1;2020;marzec;18;środa;0,1429;0,0000;0,8571;  7;  0;199,0
Cuba;2020-03-19;  11; 4;  1; 0;   0;  0; 10;   4;2020;marzec;19;czwartek;0,0909;0,0000;0,9091;  8;  0;185,5
Cuba;2020-03-20;  16; 5;  1; 0;   0;  0; 15;   5;2020;marzec;20;piątek;0,0625;0,0000;0,9375;  9;  0;178,0
Cuba;2020-03-21;  21; 5;  1; 0;   0;  0; 20;   5;2020;marzec;21;sobota;0,0476;0,0000;0,9524; 10;  0;178,0
Cuba;2020-03-22;  35;14;  1; 0;   0;  0; 34;  14;2020;marzec;22;niedziela;0,0286;0,0000;0,9714; 11;  0;129,5
Cuba;2020-03-23;  40; 5;  1; 0;   0;  0; 39;   5;2020;marzec;23;poniedziałek;0,0250;0,0000;0,9750; 12;  0;178,0
Cuba;2020-03-24;  48; 8;  1; 0;   1;  1; 46;   7;2020;marzec;24;wtorek;0,0208;0,0208;0,9583; 13;  0;161,5
Cuba;2020-03-25;  57; 9;  1; 0;   1;  0; 55;   9;2020;marzec;25;środa;0,0175;0,0175;0,9649; 14;  0;154,0
Cuba;2020-03-26;  67;10;  2; 1;   1;  0; 64;   9;2020;marzec;26;czwartek;0,0299;0,0149;0,9552; 15;  0;147,0
Cuba;2020-03-27;  80;13;  2; 0;   4;  3; 74;  10;2020;marzec;27;piątek;0,0250;0,0500;0,9250; 16;  0;134,0
Cuba;2020-03-28; 119;39;  3; 1;   4;  0;112;  38;2020;marzec;28;sobota;0,0252;0,0336;0,9412; 17;  1; 68,0
Cuba;2020-03-29; 139;20;  3; 0;   4;  0;132;  20;2020;marzec;29;niedziela;0,0216;0,0288;0,9496; 18;  2;108,0
Cuba;2020-03-30; 170;31;  4; 1;   4;  0;162;  30;2020;marzec;30;poniedziałek;0,0235;0,0235;0,9529; 19;  3; 87,0
Cuba;2020-03-31; 186;16;  6; 2;   8;  4;172;  10;2020;marzec;31;wtorek;0,0323;0,0430;0,9247; 20;  4;120,5
Cuba;2020-04-01; 212;26;  6; 0;  12;  4;194;  22;2020;kwiecień; 1;środa;0,0283;0,0566;0,9151; 21;  5; 94,0
Cuba;2020-04-02; 233;21;  6; 0;  13;  1;214;  20;2020;kwiecień; 2;czwartek;0,0258;0,0558;0,9185; 22;  6;104,5
Cuba;2020-04-03; 269;36;  6; 0;  15;  2;248;  34;2020;kwiecień; 3;piątek;0,0223;0,0558;0,9219; 23;  7; 74,5
Cuba;2020-04-04; 288;19;  6; 0;  15;  0;267;  19;2020;kwiecień; 4;sobota;0,0208;0,0521;0,9271; 24;  8;112,0
Cuba;2020-04-05; 320;32;  8; 2;  15;  0;297;  30;2020;kwiecień; 5;niedziela;0,0250;0,0469;0,9281; 25;  9; 84,0
Cuba;2020-04-06; 350;30;  9; 1;  18;  3;323;  26;2020;kwiecień; 6;poniedziałek;0,0257;0,0514;0,9229; 26; 10; 89,5
Cuba;2020-04-07; 396;46; 11; 2;  27;  9;358;  35;2020;kwiecień; 7;wtorek;0,0278;0,0682;0,9040; 27; 11; 57,0
Cuba;2020-04-08; 457;61; 12; 1;  27;  0;418;  60;2020;kwiecień; 8;środa;0,0263;0,0591;0,9147; 28; 12; 21,0
Cuba;2020-04-09; 515;58; 15; 3;  28;  1;472;  54;2020;kwiecień; 9;czwartek;0,0291;0,0544;0,9165; 29; 13; 28,0
Cuba;2020-04-10; 564;49; 15; 0;  51; 23;498;  26;2020;kwiecień;10;piątek;0,0266;0,0904;0,8830; 30; 14; 43,5
Cuba;2020-04-11; 620;56; 16; 1;  77; 26;527;  29;2020;kwiecień;11;sobota;0,0258;0,1242;0,8500; 31; 15; 31,0
Cuba;2020-04-12; 669;49; 18; 2;  92; 15;559;  32;2020;kwiecień;12;niedziela;0,0269;0,1375;0,8356; 32; 16; 43,5
Cuba;2020-04-13; 726;57; 21; 3; 121; 29;584;  25;2020;kwiecień;13;poniedziałek;0,0289;0,1667;0,8044; 33; 17; 29,5
Cuba;2020-04-14; 766;40; 21; 0; 132; 11;613;  29;2020;kwiecień;14;wtorek;0,0274;0,1723;0,8003; 34; 18; 65,5
Cuba;2020-04-15; 814;48; 24; 3; 151; 19;639;  26;2020;kwiecień;15;środa;0,0295;0,1855;0,7850; 35; 19; 49,5
