Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Cyprus;2020-03-09;   2;  2; 0; 0;   0;  0;  2;   2;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000;  1;  0;158,5
Cyprus;2020-03-10;   3;  1; 0; 0;   0;  0;  3;   1;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  2;  0;183,0
Cyprus;2020-03-11;   6;  3; 0; 0;   0;  0;  6;   3;2020;marzec;11;środa;0,0000;0,0000;1,0000;  3;  0;136,0
Cyprus;2020-03-12;   6;  0; 0; 0;   0;  0;  6;   0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  4;  0;203,5
Cyprus;2020-03-13;  14;  8; 0; 0;   0;  0; 14;   8;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  5;  0; 83,0
Cyprus;2020-03-14;  26; 12; 0; 0;   0;  0; 26;  12;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  6;  0; 61,0
Cyprus;2020-03-15;  26;  0; 0; 0;   0;  0; 26;   0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  7;  0;203,5
Cyprus;2020-03-16;  33;  7; 0; 0;   0;  0; 33;   7;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  8;  0; 92,0
Cyprus;2020-03-17;  46; 13; 0; 0;   0;  0; 46;  13;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  9;  0; 55,5
Cyprus;2020-03-18;  49;  3; 0; 0;   0;  0; 49;   3;2020;marzec;18;środa;0,0000;0,0000;1,0000; 10;  0;136,0
Cyprus;2020-03-19;  67; 18; 0; 0;   0;  0; 67;  18;2020;marzec;19;czwartek;0,0000;0,0000;1,0000; 11;  0; 34,0
Cyprus;2020-03-20;  67;  0; 0; 0;   0;  0; 67;   0;2020;marzec;20;piątek;0,0000;0,0000;1,0000; 12;  0;203,5
Cyprus;2020-03-21;  84; 17; 0; 0;   0;  0; 84;  17;2020;marzec;21;sobota;0,0000;0,0000;1,0000; 13;  0; 37,5
