Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Eswatini;2020-03-14;   1;  1;  0;0;   0;  0;   1;   1;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  1;  0;231,0;167,5;232,0;135,0
Eswatini;2020-03-15;   1;  0;  0;0;   0;  0;   1;   0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  2;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-16;   1;  0;  0;0;   0;  0;   1;   0;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  3;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-17;   1;  0;  0;0;   0;  0;   1;   0;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  4;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-18;   1;  0;  0;0;   0;  0;   1;   0;2020;marzec;18;środa;0,0000;0,0000;1,0000;  5;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-19;   1;  0;  0;0;   0;  0;   1;   0;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  6;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-20;   1;  0;  0;0;   0;  0;   1;   0;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  7;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-21;   1;  0;  0;0;   0;  0;   1;   0;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  8;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-22;   4;  3;  0;0;   0;  0;   4;   3;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  9;  0;215,0;167,5;232,0;111,0
Eswatini;2020-03-23;   4;  0;  0;0;   0;  0;   4;   0;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 10;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-24;   4;  0;  0;0;   0;  0;   4;   0;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 11;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-25;   4;  0;  0;0;   0;  0;   4;   0;2020;marzec;25;środa;0,0000;0,0000;1,0000; 12;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-26;   6;  2;  0;0;   0;  0;   6;   2;2020;marzec;26;czwartek;0,0000;0,0000;1,0000; 13;  0;223,5;167,5;232,0;124,0
Eswatini;2020-03-27;   9;  3;  0;0;   0;  0;   9;   3;2020;marzec;27;piątek;0,0000;0,0000;1,0000; 14;  0;215,0;167,5;232,0;111,0
Eswatini;2020-03-28;   9;  0;  0;0;   0;  0;   9;   0;2020;marzec;28;sobota;0,0000;0,0000;1,0000; 15;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-29;   9;  0;  0;0;   0;  0;   9;   0;2020;marzec;29;niedziela;0,0000;0,0000;1,0000; 16;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-30;   9;  0;  0;0;   0;  0;   9;   0;2020;marzec;30;poniedziałek;0,0000;0,0000;1,0000; 17;  0;250,0;167,5;232,0;155,0
Eswatini;2020-03-31;   9;  0;  0;0;   0;  0;   9;   0;2020;marzec;31;wtorek;0,0000;0,0000;1,0000; 18;  0;250,0;167,5;232,0;155,0
Eswatini;2020-04-01;   9;  0;  0;0;   0;  0;   9;   0;2020;kwiecień; 1;środa;0,0000;0,0000;1,0000; 19;  0;250,0;167,5;232,0;155,0
Eswatini;2020-04-02;   9;  0;  0;0;   0;  0;   9;   0;2020;kwiecień; 2;czwartek;0,0000;0,0000;1,0000; 20;  0;250,0;167,5;232,0;155,0
Eswatini;2020-04-03;   9;  0;  0;0;   0;  0;   9;   0;2020;kwiecień; 3;piątek;0,0000;0,0000;1,0000; 21;  0;250,0;167,5;232,0;155,0
Eswatini;2020-04-04;   9;  0;  0;0;   0;  0;   9;   0;2020;kwiecień; 4;sobota;0,0000;0,0000;1,0000; 22;  0;250,0;167,5;232,0;155,0
Eswatini;2020-04-05;   9;  0;  0;0;   0;  0;   9;   0;2020;kwiecień; 5;niedziela;0,0000;0,0000;1,0000; 23;  0;250,0;167,5;232,0;155,0
Eswatini;2020-04-06;  10;  1;  0;0;   4;  4;   6;  -3;2020;kwiecień; 6;poniedziałek;0,0000;0,4000;0,6000; 24;  0;231,0;167,5;176,0;193,0
Eswatini;2020-04-07;  10;  0;  0;0;   4;  0;   6;   0;2020;kwiecień; 7;wtorek;0,0000;0,4000;0,6000; 25;  0;250,0;167,5;232,0;155,0
Eswatini;2020-04-08;  12;  2;  0;0;   7;  3;   5;  -1;2020;kwiecień; 8;środa;0,0000;0,5833;0,4167; 26;  0;223,5;167,5;182,0;177,0
Eswatini;2020-04-09;  12;  0;  0;0;   7;  0;   5;   0;2020;kwiecień; 9;czwartek;0,0000;0,5833;0,4167; 27;  0;250,0;167,5;232,0;155,0
Eswatini;2020-04-10;  12;  0;  0;0;   7;  0;   5;   0;2020;kwiecień;10;piątek;0,0000;0,5833;0,4167; 28;  0;250,0;167,5;232,0;155,0
Eswatini;2020-04-11;  12;  0;  0;0;   7;  0;   5;   0;2020;kwiecień;11;sobota;0,0000;0,5833;0,4167; 29;  0;250,0;167,5;232,0;155,0
Eswatini;2020-04-12;  14;  2;  0;0;   7;  0;   7;   2;2020;kwiecień;12;niedziela;0,0000;0,5000;0,5000; 30;  0;223,5;167,5;232,0;124,0
