Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Ethiopia;2020-03-13;     1;   1;   0; 0;    0;   0;    1;    1;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  1;  0;242,0;224,0;236,5;188,5
Ethiopia;2020-03-14;     1;   0;   0; 0;    0;   0;    1;    0;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  2;  0;256,5;224,0;236,5;201,0
Ethiopia;2020-03-15;     1;   0;   0; 0;    0;   0;    1;    0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  3;  0;256,5;224,0;236,5;201,0
Ethiopia;2020-03-16;     5;   4;   0; 0;    0;   0;    5;    4;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  4;  0;216,0;224,0;236,5;173,0
Ethiopia;2020-03-17;     5;   0;   0; 0;    0;   0;    5;    0;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  5;  0;256,5;224,0;236,5;201,0
Ethiopia;2020-03-18;     6;   1;   0; 0;    0;   0;    6;    1;2020;marzec;18;środa;0,0000;0,0000;1,0000;  6;  0;242,0;224,0;236,5;188,5
Ethiopia;2020-03-19;     6;   0;   0; 0;    0;   0;    6;    0;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  7;  0;256,5;224,0;236,5;201,0
Ethiopia;2020-03-20;     9;   3;   0; 0;    0;   0;    9;    3;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  8;  0;224,0;224,0;236,5;178,0
Ethiopia;2020-03-21;     9;   0;   0; 0;    0;   0;    9;    0;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  9;  0;256,5;224,0;236,5;201,0
Ethiopia;2020-03-22;    11;   2;   0; 0;    4;   4;    7;   -2;2020;marzec;22;niedziela;0,0000;0,3636;0,6364; 10;  0;233,5;224,0;185,0;216,0
Ethiopia;2020-03-23;    11;   0;   0; 0;    4;   0;    7;    0;2020;marzec;23;poniedziałek;0,0000;0,3636;0,6364; 11;  0;256,5;224,0;236,5;201,0
Ethiopia;2020-03-24;    12;   1;   0; 0;    0;  -4;   12;    5;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 12;  0;242,0;224,0;266,0;169,0
Ethiopia;2020-03-25;    12;   0;   0; 0;    0;   0;   12;    0;2020;marzec;25;środa;0,0000;0,0000;1,0000; 13;  0;256,5;224,0;236,5;201,0
Ethiopia;2020-03-26;    12;   0;   0; 0;    0;   0;   12;    0;2020;marzec;26;czwartek;0,0000;0,0000;1,0000; 14;  0;256,5;224,0;236,5;201,0
