Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Fiji;2020-03-19; 1;1;0;0; 0;0; 1; 1;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  1;0; 13,5
Fiji;2020-03-20; 1;0;0;0; 0;0; 1; 0;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  2;0;112,5
Fiji;2020-03-21; 1;0;0;0; 0;0; 1; 0;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  3;0;112,5
Fiji;2020-03-22; 2;1;0;0; 0;0; 2; 1;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  4;0; 13,5
Fiji;2020-03-23; 3;1;0;0; 0;0; 3; 1;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000;  5;0; 13,5
Fiji;2020-03-24; 4;1;0;0; 0;0; 4; 1;2020;marzec;24;wtorek;0,0000;0,0000;1,0000;  6;0; 13,5
Fiji;2020-03-25; 5;1;0;0; 0;0; 5; 1;2020;marzec;25;środa;0,0000;0,0000;1,0000;  7;0; 13,5
Fiji;2020-03-26; 5;0;0;0; 0;0; 5; 0;2020;marzec;26;czwartek;0,0000;0,0000;1,0000;  8;0;112,5
Fiji;2020-03-27; 5;0;0;0; 0;0; 5; 0;2020;marzec;27;piątek;0,0000;0,0000;1,0000;  9;0;112,5
Fiji;2020-03-28; 5;0;0;0; 0;0; 5; 0;2020;marzec;28;sobota;0,0000;0,0000;1,0000; 10;0;112,5
Fiji;2020-03-29; 5;0;0;0; 0;0; 5; 0;2020;marzec;29;niedziela;0,0000;0,0000;1,0000; 11;0;112,5
Fiji;2020-03-30; 5;0;0;0; 0;0; 5; 0;2020;marzec;30;poniedziałek;0,0000;0,0000;1,0000; 12;0;112,5
Fiji;2020-03-31; 5;0;0;0; 0;0; 5; 0;2020;marzec;31;wtorek;0,0000;0,0000;1,0000; 13;0;112,5
Fiji;2020-04-01; 5;0;0;0; 0;0; 5; 0;2020;kwiecień; 1;środa;0,0000;0,0000;1,0000; 14;0;112,5
Fiji;2020-04-02; 7;2;0;0; 0;0; 7; 2;2020;kwiecień; 2;czwartek;0,0000;0,0000;1,0000; 15;0;  4,5
Fiji;2020-04-03; 7;0;0;0; 0;0; 7; 0;2020;kwiecień; 3;piątek;0,0000;0,0000;1,0000; 16;0;112,5
Fiji;2020-04-04;12;5;0;0; 0;0;12; 5;2020;kwiecień; 4;sobota;0,0000;0,0000;1,0000; 17;0;  1,5
Fiji;2020-04-05;12;0;0;0; 0;0;12; 0;2020;kwiecień; 5;niedziela;0,0000;0,0000;1,0000; 18;0;112,5
Fiji;2020-04-06;14;2;0;0; 0;0;14; 2;2020;kwiecień; 6;poniedziałek;0,0000;0,0000;1,0000; 19;0;  4,5
Fiji;2020-04-07;15;1;0;0; 0;0;15; 1;2020;kwiecień; 7;wtorek;0,0000;0,0000;1,0000; 20;0; 13,5
Fiji;2020-04-08;15;0;0;0; 0;0;15; 0;2020;kwiecień; 8;środa;0,0000;0,0000;1,0000; 21;0;112,5
Fiji;2020-04-09;15;0;0;0; 0;0;15; 0;2020;kwiecień; 9;czwartek;0,0000;0,0000;1,0000; 22;0;112,5
Fiji;2020-04-10;16;1;0;0; 0;0;16; 1;2020;kwiecień;10;piątek;0,0000;0,0000;1,0000; 23;0; 13,5
Fiji;2020-04-11;16;0;0;0; 0;0;16; 0;2020;kwiecień;11;sobota;0,0000;0,0000;1,0000; 24;0;112,5
Fiji;2020-04-12;16;0;0;0; 0;0;16; 0;2020;kwiecień;12;niedziela;0,0000;0,0000;1,0000; 25;0;112,5
Fiji;2020-04-13;16;0;0;0; 0;0;16; 0;2020;kwiecień;13;poniedziałek;0,0000;0,0000;1,0000; 26;0;112,5
Fiji;2020-04-14;16;0;0;0; 0;0;16; 0;2020;kwiecień;14;wtorek;0,0000;0,0000;1,0000; 27;0;112,5
Fiji;2020-04-15;16;0;0;0; 0;0;16; 0;2020;kwiecień;15;środa;0,0000;0,0000;1,0000; 28;0;112,5
