Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Gabon;2020-03-14;   1;  1; 0;0;  0;  0;   1;  1;2020;marzec;14;sobota;0,0000;0,0000;1,0000; 1; 0
Gabon;2020-03-15;   1;  0; 0;0;  0;  0;   1;  0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000; 2; 0
Gabon;2020-03-16;   1;  0; 0;0;  0;  0;   1;  0;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000; 3; 0
Gabon;2020-03-17;   1;  0; 0;0;  0;  0;   1;  0;2020;marzec;17;wtorek;0,0000;0,0000;1,0000; 4; 0
Gabon;2020-03-18;   1;  0; 0;0;  0;  0;   1;  0;2020;marzec;18;środa;0,0000;0,0000;1,0000; 5; 0
Gabon;2020-03-19;   1;  0; 0;0;  0;  0;   1;  0;2020;marzec;19;czwartek;0,0000;0,0000;1,0000; 6; 0
Gabon;2020-03-20;   3;  2; 1;1;  0;  0;   2;  1;2020;marzec;20;piątek;0,3333;0,0000;0,6667; 7; 0
Gabon;2020-03-21;   4;  1; 1;0;  0;  0;   3;  1;2020;marzec;21;sobota;0,2500;0,0000;0,7500; 8; 0
Gabon;2020-03-22;   5;  1; 1;0;  0;  0;   4;  1;2020;marzec;22;niedziela;0,2000;0,0000;0,8000; 9; 0
Gabon;2020-03-23;   5;  0; 1;0;  0;  0;   4;  0;2020;marzec;23;poniedziałek;0,2000;0,0000;0,8000;10; 0
Gabon;2020-03-24;   6;  1; 1;0;  0;  0;   5;  1;2020;marzec;24;wtorek;0,1667;0,0000;0,8333;11; 0
Gabon;2020-03-25;   6;  0; 1;0;  0;  0;   5;  0;2020;marzec;25;środa;0,1667;0,0000;0,8333;12; 0
Gabon;2020-03-26;   7;  1; 1;0;  0;  0;   6;  1;2020;marzec;26;czwartek;0,1429;0,0000;0,8571;13; 0
Gabon;2020-03-27;   7;  0; 1;0;  0;  0;   6;  0;2020;marzec;27;piątek;0,1429;0,0000;0,8571;14; 0
Gabon;2020-03-28;   7;  0; 1;0;  0;  0;   6;  0;2020;marzec;28;sobota;0,1429;0,0000;0,8571;15; 0
Gabon;2020-03-29;   7;  0; 1;0;  0;  0;   6;  0;2020;marzec;29;niedziela;0,1429;0,0000;0,8571;16; 0
