Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Greece;2020-02-26;   1;  1;  0; 0;   0;  0;   1;   1;2020;luty;26;środa;0,0000;0,0000;1,0000;  1;  0
Greece;2020-02-27;   3;  2;  0; 0;   0;  0;   3;   2;2020;luty;27;czwartek;0,0000;0,0000;1,0000;  2;  0
Greece;2020-02-28;   4;  1;  0; 0;   0;  0;   4;   1;2020;luty;28;piątek;0,0000;0,0000;1,0000;  3;  0
Greece;2020-02-29;   4;  0;  0; 0;   0;  0;   4;   0;2020;luty;29;sobota;0,0000;0,0000;1,0000;  4;  0
Greece;2020-03-01;   7;  3;  0; 0;   0;  0;   7;   3;2020;marzec; 1;niedziela;0,0000;0,0000;1,0000;  5;  0
Greece;2020-03-02;   7;  0;  0; 0;   0;  0;   7;   0;2020;marzec; 2;poniedziałek;0,0000;0,0000;1,0000;  6;  0
Greece;2020-03-03;   7;  0;  0; 0;   0;  0;   7;   0;2020;marzec; 3;wtorek;0,0000;0,0000;1,0000;  7;  0
Greece;2020-03-04;   9;  2;  0; 0;   0;  0;   9;   2;2020;marzec; 4;środa;0,0000;0,0000;1,0000;  8;  0
Greece;2020-03-05;  31; 22;  0; 0;   0;  0;  31;  22;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000;  9;  0
Greece;2020-03-06;  45; 14;  0; 0;   0;  0;  45;  14;2020;marzec; 6;piątek;0,0000;0,0000;1,0000; 10;  0
Greece;2020-03-07;  46;  1;  0; 0;   0;  0;  46;   1;2020;marzec; 7;sobota;0,0000;0,0000;1,0000; 11;  0
Greece;2020-03-08;  73; 27;  0; 0;   0;  0;  73;  27;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000; 12;  0
Greece;2020-03-09;  73;  0;  0; 0;   0;  0;  73;   0;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000; 13;  0
Greece;2020-03-10;  89; 16;  0; 0;   0;  0;  89;  16;2020;marzec;10;wtorek;0,0000;0,0000;1,0000; 14;  0
Greece;2020-03-11;  99; 10;  1; 1;   0;  0;  98;   9;2020;marzec;11;środa;0,0101;0,0000;0,9899; 15;  0
Greece;2020-03-12;  99;  0;  1; 0;   0;  0;  98;   0;2020;marzec;12;czwartek;0,0101;0,0000;0,9899; 16;  0
Greece;2020-03-13; 190; 91;  1; 0;   0;  0; 189;  91;2020;marzec;13;piątek;0,0053;0,0000;0,9947; 17;  1
Greece;2020-03-14; 228; 38;  3; 2;   8;  8; 217;  28;2020;marzec;14;sobota;0,0132;0,0351;0,9518; 18;  2
Greece;2020-03-15; 331;103;  4; 1;   8;  0; 319; 102;2020;marzec;15;niedziela;0,0121;0,0242;0,9637; 19;  3
Greece;2020-03-16; 331;  0;  4; 0;   8;  0; 319;   0;2020;marzec;16;poniedziałek;0,0121;0,0242;0,9637; 20;  4
Greece;2020-03-17; 387; 56;  5; 1;   8;  0; 374;  55;2020;marzec;17;wtorek;0,0129;0,0207;0,9664; 21;  5
Greece;2020-03-18; 418; 31;  5; 0;   8;  0; 405;  31;2020;marzec;18;środa;0,0120;0,0191;0,9689; 22;  6
Greece;2020-03-19; 418;  0;  6; 1;   8;  0; 404;  -1;2020;marzec;19;czwartek;0,0144;0,0191;0,9665; 23;  7
Greece;2020-03-20; 495; 77;  6; 0;  19; 11; 470;  66;2020;marzec;20;piątek;0,0121;0,0384;0,9495; 24;  8
Greece;2020-03-21; 530; 35; 13; 7;  19;  0; 498;  28;2020;marzec;21;sobota;0,0245;0,0358;0,9396; 25;  9
Greece;2020-03-22; 624; 94; 15; 2;  19;  0; 590;  92;2020;marzec;22;niedziela;0,0240;0,0304;0,9455; 26; 10
Greece;2020-03-23; 695; 71; 17; 2;  19;  0; 659;  69;2020;marzec;23;poniedziałek;0,0245;0,0273;0,9482; 27; 11
Greece;2020-03-24; 743; 48; 20; 3;  29; 10; 694;  35;2020;marzec;24;wtorek;0,0269;0,0390;0,9341; 28; 12
Greece;2020-03-25; 821; 78; 22; 2;  36;  7; 763;  69;2020;marzec;25;środa;0,0268;0,0438;0,9294; 29; 13
Greece;2020-03-26; 892; 71; 26; 4;  36;  0; 830;  67;2020;marzec;26;czwartek;0,0291;0,0404;0,9305; 30; 14
Greece;2020-03-27; 966; 74; 28; 2;  52; 16; 886;  56;2020;marzec;27;piątek;0,0290;0,0538;0,9172; 31; 15
Greece;2020-03-28;1061; 95; 32; 4;  52;  0; 977;  91;2020;marzec;28;sobota;0,0302;0,0490;0,9208; 32; 16
Greece;2020-03-29;1156; 95; 38; 6;  52;  0;1066;  89;2020;marzec;29;niedziela;0,0329;0,0450;0,9221; 33; 17
Greece;2020-03-30;1212; 56; 43; 5;  52;  0;1117;  51;2020;marzec;30;poniedziałek;0,0355;0,0429;0,9216; 34; 18
Greece;2020-03-31;1314;102; 49; 6;  52;  0;1213;  96;2020;marzec;31;wtorek;0,0373;0,0396;0,9231; 35; 19
Greece;2020-04-01;1415;101; 50; 1;  52;  0;1313; 100;2020;kwiecień; 1;środa;0,0353;0,0367;0,9279; 36; 20
Greece;2020-04-02;1544;129; 53; 3;  61;  9;1430; 117;2020;kwiecień; 2;czwartek;0,0343;0,0395;0,9262; 37; 21
Greece;2020-04-03;1613; 69; 63;10;  78; 17;1472;  42;2020;kwiecień; 3;piątek;0,0391;0,0484;0,9126; 38; 22
Greece;2020-04-04;1673; 60; 68; 5;  78;  0;1527;  55;2020;kwiecień; 4;sobota;0,0406;0,0466;0,9127; 39; 23
Greece;2020-04-05;1735; 62; 73; 5;  78;  0;1584;  57;2020;kwiecień; 5;niedziela;0,0421;0,0450;0,9130; 40; 24
Greece;2020-04-06;1755; 20; 79; 6; 269;191;1407;-177;2020;kwiecień; 6;poniedziałek;0,0450;0,1533;0,8017; 41; 25
Greece;2020-04-07;1832; 77; 81; 2; 269;  0;1482;  75;2020;kwiecień; 7;wtorek;0,0442;0,1468;0,8090; 42; 26
Greece;2020-04-08;1884; 52; 83; 2; 269;  0;1532;  50;2020;kwiecień; 8;środa;0,0441;0,1428;0,8132; 43; 27
Greece;2020-04-09;1955; 71; 87; 4; 269;  0;1599;  67;2020;kwiecień; 9;czwartek;0,0445;0,1376;0,8179; 44; 28
Greece;2020-04-10;2011; 56; 92; 5; 269;  0;1650;  51;2020;kwiecień;10;piątek;0,0457;0,1338;0,8205; 45; 29
Greece;2020-04-11;2081; 70; 93; 1; 269;  0;1719;  69;2020;kwiecień;11;sobota;0,0447;0,1293;0,8260; 46; 30
Greece;2020-04-12;2114; 33; 98; 5; 269;  0;1747;  28;2020;kwiecień;12;niedziela;0,0464;0,1272;0,8264; 47; 31
Greece;2020-04-13;2145; 31; 99; 1; 269;  0;1777;  30;2020;kwiecień;13;poniedziałek;0,0462;0,1254;0,8284; 48; 32
Greece;2020-04-14;2170; 25;101; 2; 269;  0;1800;  23;2020;kwiecień;14;wtorek;0,0465;0,1240;0,8295; 49; 33
Greece;2020-04-15;2192; 22;102; 1; 269;  0;1821;  21;2020;kwiecień;15;środa;0,0465;0,1227;0,8307; 50; 34
Greece;2020-04-16;2207; 15;105; 3; 269;  0;1833;  12;2020;kwiecień;16;czwartek;0,0476;0,1219;0,8305; 51; 35
Greece;2020-04-17;2224; 17;108; 3; 269;  0;1847;  14;2020;kwiecień;17;piątek;0,0486;0,1210;0,8305; 52; 36
Greece;2020-04-18;2235; 11;110; 2; 269;  0;1856;   9;2020;kwiecień;18;sobota;0,0492;0,1204;0,8304; 53; 37
Greece;2020-04-19;2235;  0;113; 3; 269;  0;1853;  -3;2020;kwiecień;19;niedziela;0,0506;0,1204;0,8291; 54; 38
Greece;2020-04-20;2245; 10;116; 3; 269;  0;1860;   7;2020;kwiecień;20;poniedziałek;0,0517;0,1198;0,8285; 55; 39
Greece;2020-04-21;2401;156;121; 5; 577;308;1703;-157;2020;kwiecień;21;wtorek;0,0504;0,2403;0,7093; 56; 40
Greece;2020-04-22;2408;  7;121; 0; 577;  0;1710;   7;2020;kwiecień;22;środa;0,0502;0,2396;0,7101; 57; 41
Greece;2020-04-23;2463; 55;125; 4; 577;  0;1761;  51;2020;kwiecień;23;czwartek;0,0508;0,2343;0,7150; 58; 42
Greece;2020-04-24;2490; 27;130; 5; 577;  0;1783;  22;2020;kwiecień;24;piątek;0,0522;0,2317;0,7161; 59; 43
Greece;2020-04-25;2506; 16;130; 0; 577;  0;1799;  16;2020;kwiecień;25;sobota;0,0519;0,2302;0,7179; 60; 44
Greece;2020-04-26;2517; 11;134; 4; 577;  0;1806;   7;2020;kwiecień;26;niedziela;0,0532;0,2292;0,7175; 61; 45
