Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Guatemala;2020-03-14;    1;   1;   0; 0;    0;    0;    1;     1;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  1;  0;178,0
Guatemala;2020-03-15;    1;   0;   0; 0;    0;    0;    1;     0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  2;  0;184,5
Guatemala;2020-03-16;    2;   1;   1; 1;    0;    0;    1;     0;2020;marzec;16;poniedziałek;0,5000;0,0000;0,5000;  3;  0;178,0
Guatemala;2020-03-17;    6;   4;   1; 0;    0;    0;    5;     4;2020;marzec;17;wtorek;0,1667;0,0000;0,8333;  4;  0;166,0
Guatemala;2020-03-18;    6;   0;   1; 0;    0;    0;    5;     0;2020;marzec;18;środa;0,1667;0,0000;0,8333;  5;  0;184,5
Guatemala;2020-03-19;    9;   3;   1; 0;    0;    0;    8;     3;2020;marzec;19;czwartek;0,1111;0,0000;0,8889;  6;  0;169,0
Guatemala;2020-03-20;   12;   3;   1; 0;    0;    0;   11;     3;2020;marzec;20;piątek;0,0833;0,0000;0,9167;  7;  0;169,0
Guatemala;2020-03-21;   17;   5;   1; 0;    0;    0;   16;     5;2020;marzec;21;sobota;0,0588;0,0000;0,9412;  8;  0;164,5
Guatemala;2020-03-22;   19;   2;   1; 0;    0;    0;   18;     2;2020;marzec;22;niedziela;0,0526;0,0000;0,9474;  9;  0;173,0
Guatemala;2020-03-23;   20;   1;   1; 0;    0;    0;   19;     1;2020;marzec;23;poniedziałek;0,0500;0,0000;0,9500; 10;  0;178,0
Guatemala;2020-03-24;   21;   1;   1; 0;    0;    0;   20;     1;2020;marzec;24;wtorek;0,0476;0,0000;0,9524; 11;  0;178,0
Guatemala;2020-03-25;   24;   3;   1; 0;    4;    4;   19;    -1;2020;marzec;25;środa;0,0417;0,1667;0,7917; 12;  0;169,0
