Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Guinea;2020-03-13;    1;  1; 0;0;    0;  0;   1;   1;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  1;  0;209,5;164,5;231,5;131,0
Guinea;2020-03-14;    1;  0; 0;0;    0;  0;   1;   0;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  2;  0;238,5;164,5;231,5;161,5
Guinea;2020-03-15;    1;  0; 0;0;    0;  0;   1;   0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  3;  0;238,5;164,5;231,5;161,5
Guinea;2020-03-16;    1;  0; 0;0;    0;  0;   1;   0;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  4;  0;238,5;164,5;231,5;161,5
Guinea;2020-03-17;    1;  0; 0;0;    0;  0;   1;   0;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  5;  0;238,5;164,5;231,5;161,5
Guinea;2020-03-18;    1;  0; 0;0;    0;  0;   1;   0;2020;marzec;18;środa;0,0000;0,0000;1,0000;  6;  0;238,5;164,5;231,5;161,5
Guinea;2020-03-19;    1;  0; 0;0;    0;  0;   1;   0;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  7;  0;238,5;164,5;231,5;161,5
Guinea;2020-03-20;    1;  0; 0;0;    0;  0;   1;   0;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  8;  0;238,5;164,5;231,5;161,5
Guinea;2020-03-21;    2;  1; 0;0;    0;  0;   2;   1;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  9;  0;209,5;164,5;231,5;131,0
Guinea;2020-03-22;    2;  0; 0;0;    0;  0;   2;   0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000; 10;  0;238,5;164,5;231,5;161,5
Guinea;2020-03-23;    4;  2; 0;0;    0;  0;   4;   2;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 11;  0;208,0;164,5;231,5;128,5
Guinea;2020-03-24;    4;  0; 0;0;    0;  0;   4;   0;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 12;  0;238,5;164,5;231,5;161,5
Guinea;2020-03-25;    4;  0; 0;0;    0;  0;   4;   0;2020;marzec;25;środa;0,0000;0,0000;1,0000; 13;  0;238,5;164,5;231,5;161,5
Guinea;2020-03-26;    4;  0; 0;0;    0;  0;   4;   0;2020;marzec;26;czwartek;0,0000;0,0000;1,0000; 14;  0;238,5;164,5;231,5;161,5
Guinea;2020-03-27;    8;  4; 0;0;    0;  0;   8;   4;2020;marzec;27;piątek;0,0000;0,0000;1,0000; 15;  0;207,0;164,5;231,5;127,0
Guinea;2020-03-28;    8;  0; 0;0;    0;  0;   8;   0;2020;marzec;28;sobota;0,0000;0,0000;1,0000; 16;  0;238,5;164,5;231,5;161,5
Guinea;2020-03-29;   16;  8; 0;0;    0;  0;  16;   8;2020;marzec;29;niedziela;0,0000;0,0000;1,0000; 17;  0;203,5;164,5;231,5;115,5
Guinea;2020-03-30;   22;  6; 0;0;    0;  0;  22;   6;2020;marzec;30;poniedziałek;0,0000;0,0000;1,0000; 18;  0;206,0;164,5;231,5;123,0
Guinea;2020-03-31;   22;  0; 0;0;    0;  0;  22;   0;2020;marzec;31;wtorek;0,0000;0,0000;1,0000; 19;  0;238,5;164,5;231,5;161,5
Guinea;2020-04-01;   30;  8; 0;0;    0;  0;  30;   8;2020;kwiecień; 1;środa;0,0000;0,0000;1,0000; 20;  0;203,5;164,5;231,5;115,5
Guinea;2020-04-02;   52; 22; 0;0;    0;  0;  52;  22;2020;kwiecień; 2;czwartek;0,0000;0,0000;1,0000; 21;  0;180,5;164,5;231,5; 84,5
Guinea;2020-04-03;   73; 21; 0;0;    2;  2;  71;  19;2020;kwiecień; 3;piątek;0,0000;0,0274;0,9726; 22;  0;182,5;164,5;195,0; 91,5
Guinea;2020-04-04;  111; 38; 0;0;    5;  3; 106;  35;2020;kwiecień; 4;sobota;0,0000;0,0450;0,9550; 23;  1;151,0;164,5;193,0; 54,0
Guinea;2020-04-05;  121; 10; 0;0;    5;  0; 116;  10;2020;kwiecień; 5;niedziela;0,0000;0,0413;0,9587; 24;  2;200,0;164,5;231,5;111,5
Guinea;2020-04-06;  128;  7; 0;0;    5;  0; 123;   7;2020;kwiecień; 6;poniedziałek;0,0000;0,0391;0,9609; 25;  3;205,0;164,5;231,5;120,0
Guinea;2020-04-07;  144; 16; 0;0;    5;  0; 139;  16;2020;kwiecień; 7;wtorek;0,0000;0,0347;0,9653; 26;  4;194,5;164,5;231,5; 97,0
Guinea;2020-04-08;  164; 20; 0;0;    5;  0; 159;  20;2020;kwiecień; 8;środa;0,0000;0,0305;0,9695; 27;  5;185,0;164,5;231,5; 88,5
Guinea;2020-04-09;  194; 30; 0;0;   11;  6; 183;  24;2020;kwiecień; 9;czwartek;0,0000;0,0567;0,9433; 28;  6;168,0;164,5;187,0; 79,5
Guinea;2020-04-10;  212; 18; 0;0;   15;  4; 197;  14;2020;kwiecień;10;piątek;0,0000;0,0708;0,9292; 29;  7;191,0;164,5;192,0;105,5
