Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Guyana;2020-03-12;    1;  1;  1; 1;    0;  0;   0;   0;2020;marzec;12;czwartek;1,0000;0,0000;0,0000;  1;  0;388,0;178,0;412,5;278,5
Guyana;2020-03-13;    1;  0;  1; 0;    0;  0;   0;   0;2020;marzec;13;piątek;1,0000;0,0000;0,0000;  2;  0;433,5;343,5;412,5;278,5
Guyana;2020-03-14;    1;  0;  1; 0;    0;  0;   0;   0;2020;marzec;14;sobota;1,0000;0,0000;0,0000;  3;  0;433,5;343,5;412,5;278,5
Guyana;2020-03-15;    4;  3;  1; 0;    0;  0;   3;   3;2020;marzec;15;niedziela;0,2500;0,0000;0,7500;  4;  0;356,5;343,5;412,5;208,5
Guyana;2020-03-16;    4;  0;  1; 0;    0;  0;   3;   0;2020;marzec;16;poniedziałek;0,2500;0,0000;0,7500;  5;  0;433,5;343,5;412,5;278,5
Guyana;2020-03-17;    7;  3;  1; 0;    0;  0;   6;   3;2020;marzec;17;wtorek;0,1429;0,0000;0,8571;  6;  0;356,5;343,5;412,5;208,5
Guyana;2020-03-18;    7;  0;  1; 0;    0;  0;   6;   0;2020;marzec;18;środa;0,1429;0,0000;0,8571;  7;  0;433,5;343,5;412,5;278,5
Guyana;2020-03-19;    7;  0;  1; 0;    0;  0;   6;   0;2020;marzec;19;czwartek;0,1429;0,0000;0,8571;  8;  0;433,5;343,5;412,5;278,5
Guyana;2020-03-20;    7;  0;  1; 0;    0;  0;   6;   0;2020;marzec;20;piątek;0,1429;0,0000;0,8571;  9;  0;433,5;343,5;412,5;278,5
Guyana;2020-03-21;    7;  0;  1; 0;    0;  0;   6;   0;2020;marzec;21;sobota;0,1429;0,0000;0,8571; 10;  0;433,5;343,5;412,5;278,5
Guyana;2020-03-22;   19; 12;  1; 0;    0;  0;  18;  12;2020;marzec;22;niedziela;0,0526;0,0000;0,9474; 11;  0;298,0;343,5;412,5;146,0
Guyana;2020-03-23;   20;  1;  1; 0;    0;  0;  19;   1;2020;marzec;23;poniedziałek;0,0500;0,0000;0,9500; 12;  0;388,0;343,5;412,5;234,0
Guyana;2020-03-24;    5;-15;  1; 0;    0;  0;   4; -15;2020;marzec;24;wtorek;0,2000;0,0000;0,8000; 13;  0;469,0;343,5;412,5;372,5
Guyana;2020-03-25;    5;  0;  1; 0;    0;  0;   4;   0;2020;marzec;25;środa;0,2000;0,0000;0,8000; 14;  0;433,5;343,5;412,5;278,5
Guyana;2020-03-26;    5;  0;  1; 0;    0;  0;   4;   0;2020;marzec;26;czwartek;0,2000;0,0000;0,8000; 15;  0;433,5;343,5;412,5;278,5
Guyana;2020-03-27;    5;  0;  1; 0;    0;  0;   4;   0;2020;marzec;27;piątek;0,2000;0,0000;0,8000; 16;  0;433,5;343,5;412,5;278,5
Guyana;2020-03-28;    8;  3;  1; 0;    0;  0;   7;   3;2020;marzec;28;sobota;0,1250;0,0000;0,8750; 17;  0;356,5;343,5;412,5;208,5
Guyana;2020-03-29;    8;  0;  1; 0;    0;  0;   7;   0;2020;marzec;29;niedziela;0,1250;0,0000;0,8750; 18;  0;433,5;343,5;412,5;278,5
Guyana;2020-03-30;    8;  0;  1; 0;    0;  0;   7;   0;2020;marzec;30;poniedziałek;0,1250;0,0000;0,8750; 19;  0;433,5;343,5;412,5;278,5
Guyana;2020-03-31;   12;  4;  2; 1;    0;  0;  10;   3;2020;marzec;31;wtorek;0,1667;0,0000;0,8333; 20;  0;345,0;178,0;412,5;208,5
Guyana;2020-04-01;   19;  7;  2; 0;    0;  0;  17;   7;2020;kwiecień; 1;środa;0,1053;0,0000;0,8947; 21;  0;326,0;343,5;412,5;178,5
Guyana;2020-04-02;   19;  0;  4; 2;    0;  0;  15;  -2;2020;kwiecień; 2;czwartek;0,2105;0,0000;0,7895; 22;  0;433,5; 95,5;412,5;328,0
Guyana;2020-04-03;   23;  4;  4; 0;    0;  0;  19;   4;2020;kwiecień; 3;piątek;0,1739;0,0000;0,8261; 23;  0;345,0;343,5;412,5;197,0
Guyana;2020-04-04;   23;  0;  4; 0;    0;  0;  19;   0;2020;kwiecień; 4;sobota;0,1739;0,0000;0,8261; 24;  0;433,5;343,5;412,5;278,5
Guyana;2020-04-05;   24;  1;  4; 0;    0;  0;  20;   1;2020;kwiecień; 5;niedziela;0,1667;0,0000;0,8333; 25;  0;388,0;343,5;412,5;234,0
Guyana;2020-04-06;   31;  7;  4; 0;    8;  8;  19;  -1;2020;kwiecień; 6;poniedziałek;0,1290;0,2581;0,6129; 26;  0;326,0;343,5;286,5;319,5
Guyana;2020-04-07;   33;  2;  5; 1;    8;  0;  20;   1;2020;kwiecień; 7;wtorek;0,1515;0,2424;0,6061; 27;  0;370,5;178,0;412,5;234,0
Guyana;2020-04-08;   37;  4;  6; 1;    8;  0;  23;   3;2020;kwiecień; 8;środa;0,1622;0,2162;0,6216; 28;  0;345,0;178,0;412,5;208,5
Guyana;2020-04-09;   37;  0;  6; 0;    8;  0;  23;   0;2020;kwiecień; 9;czwartek;0,1622;0,2162;0,6216; 29;  0;433,5;343,5;412,5;278,5
Guyana;2020-04-10;   37;  0;  6; 0;    8;  0;  23;   0;2020;kwiecień;10;piątek;0,1622;0,2162;0,6216; 30;  0;433,5;343,5;412,5;278,5
Guyana;2020-04-11;   45;  8;  6; 0;    8;  0;  31;   8;2020;kwiecień;11;sobota;0,1333;0,1778;0,6889; 31;  0;317,5;343,5;412,5;173,5
Guyana;2020-04-12;   45;  0;  6; 0;    8;  0;  31;   0;2020;kwiecień;12;niedziela;0,1333;0,1778;0,6889; 32;  0;433,5;343,5;412,5;278,5
Guyana;2020-04-13;   45;  0;  6; 0;    8;  0;  31;   0;2020;kwiecień;13;poniedziałek;0,1333;0,1778;0,6889; 33;  0;433,5;343,5;412,5;278,5
Guyana;2020-04-14;   47;  2;  6; 0;    8;  0;  33;   2;2020;kwiecień;14;wtorek;0,1277;0,1702;0,7021; 34;  0;370,5;343,5;412,5;221,0
Guyana;2020-04-15;   55;  8;  6; 0;    8;  0;  41;   8;2020;kwiecień;15;środa;0,1091;0,1455;0,7455; 35;  0;317,5;343,5;412,5;173,5
Guyana;2020-04-16;   55;  0;  6; 0;    8;  0;  41;   0;2020;kwiecień;16;czwartek;0,1091;0,1455;0,7455; 36;  0;433,5;343,5;412,5;278,5
Guyana;2020-04-17;   63;  8;  6; 0;    9;  1;  48;   7;2020;kwiecień;17;piątek;0,0952;0,1429;0,7619; 37;  0;317,5;343,5;346,5;178,5
Guyana;2020-04-18;   63;  0;  6; 0;    9;  0;  48;   0;2020;kwiecień;18;sobota;0,0952;0,1429;0,7619; 38;  0;433,5;343,5;412,5;278,5
Guyana;2020-04-19;   65;  2;  7; 1;    9;  0;  49;   1;2020;kwiecień;19;niedziela;0,1077;0,1385;0,7538; 39;  0;370,5;178,0;412,5;234,0
Guyana;2020-04-20;   65;  0;  7; 0;    9;  0;  49;   0;2020;kwiecień;20;poniedziałek;0,1077;0,1385;0,7538; 40;  0;433,5;343,5;412,5;278,5
Guyana;2020-04-21;   66;  1;  7; 0;    9;  0;  50;   1;2020;kwiecień;21;wtorek;0,1061;0,1364;0,7576; 41;  0;388,0;343,5;412,5;234,0
Guyana;2020-04-22;   67;  1;  7; 0;    9;  0;  51;   1;2020;kwiecień;22;środa;0,1045;0,1343;0,7612; 42;  0;388,0;343,5;412,5;234,0
Guyana;2020-04-23;   70;  3;  7; 0;    9;  0;  54;   3;2020;kwiecień;23;czwartek;0,1000;0,1286;0,7714; 43;  0;356,5;343,5;412,5;208,5
Guyana;2020-04-24;   73;  3;  7; 0;   12;  3;  54;   0;2020;kwiecień;24;piątek;0,0959;0,1644;0,7397; 44;  0;356,5;343,5;324,0;278,5
Guyana;2020-04-25;   73;  0;  7; 0;   12;  0;  54;   0;2020;kwiecień;25;sobota;0,0959;0,1644;0,7397; 45;  0;433,5;343,5;412,5;278,5
Guyana;2020-04-26;   74;  1;  8; 1;   12;  0;  54;   0;2020;kwiecień;26;niedziela;0,1081;0,1622;0,7297; 46;  0;388,0;178,0;412,5;278,5
Guyana;2020-04-27;   74;  0;  8; 0;   15;  3;  51;  -3;2020;kwiecień;27;poniedziałek;0,1081;0,2027;0,6892; 47;  0;433,5;343,5;324,0;334,5
Guyana;2020-04-28;   74;  0;  8; 0;   15;  0;  51;   0;2020;kwiecień;28;wtorek;0,1081;0,2027;0,6892; 48;  0;433,5;343,5;412,5;278,5
Guyana;2020-04-29;   78;  4;  8; 0;   18;  3;  52;   1;2020;kwiecień;29;środa;0,1026;0,2308;0,6667; 49;  0;345,0;343,5;324,0;234,0
Guyana;2020-04-30;   82;  4;  9; 1;   22;  4;  51;  -1;2020;kwiecień;30;czwartek;0,1098;0,2683;0,6220; 50;  0;345,0;178,0;312,0;319,5
Guyana;2020-05-01;   82;  0;  9; 0;   22;  0;  51;   0;2020;maj; 1;piątek;0,1098;0,2683;0,6220; 51;  0;433,5;343,5;412,5;278,5
Guyana;2020-05-02;   82;  0;  9; 0;   22;  0;  51;   0;2020;maj; 2;sobota;0,1098;0,2683;0,6220; 52;  0;433,5;343,5;412,5;278,5
Guyana;2020-05-03;   82;  0;  9; 0;   22;  0;  51;   0;2020;maj; 3;niedziela;0,1098;0,2683;0,6220; 53;  0;433,5;343,5;412,5;278,5
Guyana;2020-05-04;   92; 10;  9; 0;   27;  5;  56;   5;2020;maj; 4;poniedziałek;0,0978;0,2935;0,6087; 54;  0;307,0;343,5;301,5;189,5
Guyana;2020-05-05;   93;  1; 10; 1;   27;  0;  56;   0;2020;maj; 5;wtorek;0,1075;0,2903;0,6022; 55;  0;388,0;178,0;412,5;278,5
Guyana;2020-05-06;   93;  0; 10; 0;   27;  0;  56;   0;2020;maj; 6;środa;0,1075;0,2903;0,6022; 56;  0;433,5;343,5;412,5;278,5
Guyana;2020-05-07;   93;  0; 10; 0;   27;  0;  56;   0;2020;maj; 7;czwartek;0,1075;0,2903;0,6022; 57;  0;433,5;343,5;412,5;278,5
Guyana;2020-05-08;   94;  1; 10; 0;   35;  8;  49;  -7;2020;maj; 8;piątek;0,1064;0,3723;0,5213; 58;  0;388,0;343,5;286,5;351,0
Guyana;2020-05-09;   94;  0; 10; 0;   35;  0;  49;   0;2020;maj; 9;sobota;0,1064;0,3723;0,5213; 59;  0;433,5;343,5;412,5;278,5
Guyana;2020-05-10;  104; 10; 10; 0;   35;  0;  59;  10;2020;maj;10;niedziela;0,0962;0,3365;0,5673; 60;  1;307,0;343,5;412,5;158,0
Guyana;2020-05-11;  109;  5; 10; 0;   36;  1;  63;   4;2020;maj;11;poniedziałek;0,0917;0,3303;0,5780; 61;  2;337,5;343,5;346,5;197,0
Guyana;2020-05-12;  113;  4; 10; 0;   36;  0;  67;   4;2020;maj;12;wtorek;0,0885;0,3186;0,5929; 62;  3;345,0;343,5;412,5;197,0
Guyana;2020-05-13;  113;  0; 10; 0;   41;  5;  62;  -5;2020;maj;13;środa;0,0885;0,3628;0,5487; 63;  4;433,5;343,5;301,5;343,5
Guyana;2020-05-14;  113;  0; 10; 0;   42;  1;  61;  -1;2020;maj;14;czwartek;0,0885;0,3717;0,5398; 64;  5;433,5;343,5;346,5;319,5
Guyana;2020-05-15;  116;  3; 10; 0;   43;  1;  63;   2;2020;maj;15;piątek;0,0862;0,3707;0,5431; 65;  6;356,5;343,5;346,5;221,0
Guyana;2020-05-16;  117;  1; 10; 0;   43;  0;  64;   1;2020;maj;16;sobota;0,0855;0,3675;0,5470; 66;  7;388,0;343,5;412,5;234,0
Guyana;2020-05-17;  117;  0; 10; 0;   43;  0;  64;   0;2020;maj;17;niedziela;0,0855;0,3675;0,5470; 67;  8;433,5;343,5;412,5;278,5
Guyana;2020-05-18;  124;  7; 10; 0;   44;  1;  70;   6;2020;maj;18;poniedziałek;0,0806;0,3548;0,5645; 68;  9;326,0;343,5;346,5;183,5
Guyana;2020-05-19;  125;  1; 10; 0;   46;  2;  69;  -1;2020;maj;19;wtorek;0,0800;0,3680;0,5520; 69; 10;388,0;343,5;333,5;319,5
Guyana;2020-05-20;  125;  0; 10; 0;   47;  1;  68;  -1;2020;maj;20;środa;0,0800;0,3760;0,5440; 70; 11;433,5;343,5;346,5;319,5
Guyana;2020-05-21;  127;  2; 10; 0;   57; 10;  60;  -8;2020;maj;21;czwartek;0,0787;0,4488;0,4724; 71; 12;370,5;343,5;279,5;353,0
Guyana;2020-05-22;  127;  0; 10; 0;   57;  0;  60;   0;2020;maj;22;piątek;0,0787;0,4488;0,4724; 72; 13;433,5;343,5;412,5;278,5
