Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Haiti;2020-03-20;   2;  2;  0; 0;   0;  0;   2;   2;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  1; 0
Haiti;2020-03-21;   2;  0;  0; 0;   0;  0;   2;   0;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  2; 0
Haiti;2020-03-22;   2;  0;  0; 0;   0;  0;   2;   0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  3; 0
Haiti;2020-03-23;   6;  4;  0; 0;   0;  0;   6;   4;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000;  4; 0
Haiti;2020-03-24;   7;  1;  0; 0;   0;  0;   7;   1;2020;marzec;24;wtorek;0,0000;0,0000;1,0000;  5; 0
Haiti;2020-03-25;   8;  1;  0; 0;   0;  0;   8;   1;2020;marzec;25;środa;0,0000;0,0000;1,0000;  6; 0
Haiti;2020-03-26;   8;  0;  0; 0;   0;  0;   8;   0;2020;marzec;26;czwartek;0,0000;0,0000;1,0000;  7; 0
Haiti;2020-03-27;   8;  0;  0; 0;   0;  0;   8;   0;2020;marzec;27;piątek;0,0000;0,0000;1,0000;  8; 0
Haiti;2020-03-28;   8;  0;  0; 0;   0;  0;   8;   0;2020;marzec;28;sobota;0,0000;0,0000;1,0000;  9; 0
Haiti;2020-03-29;  15;  7;  0; 0;   1;  1;  14;   6;2020;marzec;29;niedziela;0,0000;0,0667;0,9333; 10; 0
Haiti;2020-03-30;  15;  0;  0; 0;   1;  0;  14;   0;2020;marzec;30;poniedziałek;0,0000;0,0667;0,9333; 11; 0
Haiti;2020-03-31;  15;  0;  0; 0;   1;  0;  14;   0;2020;marzec;31;wtorek;0,0000;0,0667;0,9333; 12; 0
