Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Holy See;2020-03-06; 1;1;0;0;0;0; 1; 1;2020;marzec; 6;piątek;0;0,0000;1,0000; 1;0
Holy See;2020-03-07; 1;0;0;0;0;0; 1; 0;2020;marzec; 7;sobota;0;0,0000;1,0000; 2;0
Holy See;2020-03-08; 1;0;0;0;0;0; 1; 0;2020;marzec; 8;niedziela;0;0,0000;1,0000; 3;0
Holy See;2020-03-09; 1;0;0;0;0;0; 1; 0;2020;marzec; 9;poniedziałek;0;0,0000;1,0000; 4;0
Holy See;2020-03-10; 1;0;0;0;0;0; 1; 0;2020;marzec;10;wtorek;0;0,0000;1,0000; 5;0
Holy See;2020-03-11; 1;0;0;0;0;0; 1; 0;2020;marzec;11;środa;0;0,0000;1,0000; 6;0
Holy See;2020-03-12; 1;0;0;0;0;0; 1; 0;2020;marzec;12;czwartek;0;0,0000;1,0000; 7;0
Holy See;2020-03-13; 1;0;0;0;0;0; 1; 0;2020;marzec;13;piątek;0;0,0000;1,0000; 8;0
Holy See;2020-03-14; 1;0;0;0;0;0; 1; 0;2020;marzec;14;sobota;0;0,0000;1,0000; 9;0
Holy See;2020-03-15; 1;0;0;0;0;0; 1; 0;2020;marzec;15;niedziela;0;0,0000;1,0000;10;0
Holy See;2020-03-16; 1;0;0;0;0;0; 1; 0;2020;marzec;16;poniedziałek;0;0,0000;1,0000;11;0
Holy See;2020-03-17; 1;0;0;0;0;0; 1; 0;2020;marzec;17;wtorek;0;0,0000;1,0000;12;0
Holy See;2020-03-18; 1;0;0;0;0;0; 1; 0;2020;marzec;18;środa;0;0,0000;1,0000;13;0
Holy See;2020-03-19; 1;0;0;0;0;0; 1; 0;2020;marzec;19;czwartek;0;0,0000;1,0000;14;0
Holy See;2020-03-20; 1;0;0;0;0;0; 1; 0;2020;marzec;20;piątek;0;0,0000;1,0000;15;0
Holy See;2020-03-21; 1;0;0;0;0;0; 1; 0;2020;marzec;21;sobota;0;0,0000;1,0000;16;0
Holy See;2020-03-22; 1;0;0;0;0;0; 1; 0;2020;marzec;22;niedziela;0;0,0000;1,0000;17;0
Holy See;2020-03-23; 1;0;0;0;0;0; 1; 0;2020;marzec;23;poniedziałek;0;0,0000;1,0000;18;0
Holy See;2020-03-24; 4;3;0;0;0;0; 4; 3;2020;marzec;24;wtorek;0;0,0000;1,0000;19;0
Holy See;2020-03-25; 4;0;0;0;0;0; 4; 0;2020;marzec;25;środa;0;0,0000;1,0000;20;0
Holy See;2020-03-26; 4;0;0;0;0;0; 4; 0;2020;marzec;26;czwartek;0;0,0000;1,0000;21;0
Holy See;2020-03-27; 4;0;0;0;0;0; 4; 0;2020;marzec;27;piątek;0;0,0000;1,0000;22;0
Holy See;2020-03-28; 6;2;0;0;0;0; 6; 2;2020;marzec;28;sobota;0;0,0000;1,0000;23;0
Holy See;2020-03-29; 6;0;0;0;0;0; 6; 0;2020;marzec;29;niedziela;0;0,0000;1,0000;24;0
Holy See;2020-03-30; 6;0;0;0;0;0; 6; 0;2020;marzec;30;poniedziałek;0;0,0000;1,0000;25;0
Holy See;2020-03-31; 6;0;0;0;0;0; 6; 0;2020;marzec;31;wtorek;0;0,0000;1,0000;26;0
Holy See;2020-04-01; 6;0;0;0;0;0; 6; 0;2020;kwiecień; 1;środa;0;0,0000;1,0000;27;0
Holy See;2020-04-02; 7;1;0;0;0;0; 7; 1;2020;kwiecień; 2;czwartek;0;0,0000;1,0000;28;0
Holy See;2020-04-03; 7;0;0;0;0;0; 7; 0;2020;kwiecień; 3;piątek;0;0,0000;1,0000;29;0
Holy See;2020-04-04; 7;0;0;0;0;0; 7; 0;2020;kwiecień; 4;sobota;0;0,0000;1,0000;30;0
Holy See;2020-04-05; 7;0;0;0;0;0; 7; 0;2020;kwiecień; 5;niedziela;0;0,0000;1,0000;31;0
Holy See;2020-04-06; 7;0;0;0;0;0; 7; 0;2020;kwiecień; 6;poniedziałek;0;0,0000;1,0000;32;0
Holy See;2020-04-07; 7;0;0;0;0;0; 7; 0;2020;kwiecień; 7;wtorek;0;0,0000;1,0000;33;0
Holy See;2020-04-08; 8;1;0;0;2;2; 6;-1;2020;kwiecień; 8;środa;0;0,2500;0,7500;34;0
Holy See;2020-04-09; 8;0;0;0;2;0; 6; 0;2020;kwiecień; 9;czwartek;0;0,2500;0,7500;35;0
Holy See;2020-04-10; 8;0;0;0;2;0; 6; 0;2020;kwiecień;10;piątek;0;0,2500;0,7500;36;0
Holy See;2020-04-11; 8;0;0;0;2;0; 6; 0;2020;kwiecień;11;sobota;0;0,2500;0,7500;37;0
Holy See;2020-04-12; 8;0;0;0;2;0; 6; 0;2020;kwiecień;12;niedziela;0;0,2500;0,7500;38;0
Holy See;2020-04-13; 8;0;0;0;2;0; 6; 0;2020;kwiecień;13;poniedziałek;0;0,2500;0,7500;39;0
Holy See;2020-04-14; 8;0;0;0;2;0; 6; 0;2020;kwiecień;14;wtorek;0;0,2500;0,7500;40;0
Holy See;2020-04-15; 8;0;0;0;2;0; 6; 0;2020;kwiecień;15;środa;0;0,2500;0,7500;41;0
Holy See;2020-04-16; 8;0;0;0;2;0; 6; 0;2020;kwiecień;16;czwartek;0;0,2500;0,7500;42;0
Holy See;2020-04-17; 8;0;0;0;2;0; 6; 0;2020;kwiecień;17;piątek;0;0,2500;0,7500;43;0
Holy See;2020-04-18; 8;0;0;0;2;0; 6; 0;2020;kwiecień;18;sobota;0;0,2500;0,7500;44;0
Holy See;2020-04-19; 8;0;0;0;2;0; 6; 0;2020;kwiecień;19;niedziela;0;0,2500;0,7500;45;0
Holy See;2020-04-20; 9;1;0;0;2;0; 7; 1;2020;kwiecień;20;poniedziałek;0;0,2222;0,7778;46;0
Holy See;2020-04-21; 9;0;0;0;2;0; 7; 0;2020;kwiecień;21;wtorek;0;0,2222;0,7778;47;0
Holy See;2020-04-22; 9;0;0;0;2;0; 7; 0;2020;kwiecień;22;środa;0;0,2222;0,7778;48;0
Holy See;2020-04-23; 9;0;0;0;2;0; 7; 0;2020;kwiecień;23;czwartek;0;0,2222;0,7778;49;0
Holy See;2020-04-24; 9;0;0;0;2;0; 7; 0;2020;kwiecień;24;piątek;0;0,2222;0,7778;50;0
Holy See;2020-04-25; 9;0;0;0;2;0; 7; 0;2020;kwiecień;25;sobota;0;0,2222;0,7778;51;0
Holy See;2020-04-26; 9;0;0;0;2;0; 7; 0;2020;kwiecień;26;niedziela;0;0,2222;0,7778;52;0
Holy See;2020-04-27; 9;0;0;0;2;0; 7; 0;2020;kwiecień;27;poniedziałek;0;0,2222;0,7778;53;0
Holy See;2020-04-28;10;1;0;0;2;0; 8; 1;2020;kwiecień;28;wtorek;0;0,2000;0,8000;54;0
Holy See;2020-04-29;10;0;0;0;2;0; 8; 0;2020;kwiecień;29;środa;0;0,2000;0,8000;55;0
Holy See;2020-04-30;11;1;0;0;2;0; 9; 1;2020;kwiecień;30;czwartek;0;0,1818;0,8182;56;0
Holy See;2020-05-01;11;0;0;0;2;0; 9; 0;2020;maj; 1;piątek;0;0,1818;0,8182;57;0
Holy See;2020-05-02;11;0;0;0;2;0; 9; 0;2020;maj; 2;sobota;0;0,1818;0,8182;58;0
Holy See;2020-05-03;11;0;0;0;2;0; 9; 0;2020;maj; 3;niedziela;0;0,1818;0,8182;59;0
Holy See;2020-05-04;11;0;0;0;2;0; 9; 0;2020;maj; 4;poniedziałek;0;0,1818;0,8182;60;0
Holy See;2020-05-05;11;0;0;0;2;0; 9; 0;2020;maj; 5;wtorek;0;0,1818;0,8182;61;0
Holy See;2020-05-06;12;1;0;0;2;0;10; 1;2020;maj; 6;środa;0;0,1667;0,8333;62;0
