Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
India;2020-01-30;      1;     1;    0;   0;      0;     0;     1;    1;2020;styczeń;30;czwartek;0,0000;0,0000;1,0000;  1;  0;197,5
India;2020-01-31;      1;     0;    0;   0;      0;     0;     1;    0;2020;styczeń;31;piątek;0,0000;0,0000;1,0000;  2;  0;215,5
India;2020-02-01;      1;     0;    0;   0;      0;     0;     1;    0;2020;luty; 1;sobota;0,0000;0,0000;1,0000;  3;  0;215,5
India;2020-02-02;      2;     1;    0;   0;      0;     0;     2;    1;2020;luty; 2;niedziela;0,0000;0,0000;1,0000;  4;  0;197,5
India;2020-02-03;      3;     1;    0;   0;      0;     0;     3;    1;2020;luty; 3;poniedziałek;0,0000;0,0000;1,0000;  5;  0;197,5
India;2020-02-04;      3;     0;    0;   0;      0;     0;     3;    0;2020;luty; 4;wtorek;0,0000;0,0000;1,0000;  6;  0;215,5
India;2020-02-05;      3;     0;    0;   0;      0;     0;     3;    0;2020;luty; 5;środa;0,0000;0,0000;1,0000;  7;  0;215,5
India;2020-02-06;      3;     0;    0;   0;      0;     0;     3;    0;2020;luty; 6;czwartek;0,0000;0,0000;1,0000;  8;  0;215,5
India;2020-02-07;      3;     0;    0;   0;      0;     0;     3;    0;2020;luty; 7;piątek;0,0000;0,0000;1,0000;  9;  0;215,5
India;2020-02-08;      3;     0;    0;   0;      0;     0;     3;    0;2020;luty; 8;sobota;0,0000;0,0000;1,0000; 10;  0;215,5
India;2020-02-09;      3;     0;    0;   0;      0;     0;     3;    0;2020;luty; 9;niedziela;0,0000;0,0000;1,0000; 11;  0;215,5
India;2020-02-10;      3;     0;    0;   0;      0;     0;     3;    0;2020;luty;10;poniedziałek;0,0000;0,0000;1,0000; 12;  0;215,5
India;2020-02-11;      3;     0;    0;   0;      0;     0;     3;    0;2020;luty;11;wtorek;0,0000;0,0000;1,0000; 13;  0;215,5
India;2020-02-12;      3;     0;    0;   0;      0;     0;     3;    0;2020;luty;12;środa;0,0000;0,0000;1,0000; 14;  0;215,5
India;2020-02-13;      3;     0;    0;   0;      0;     0;     3;    0;2020;luty;13;czwartek;0,0000;0,0000;1,0000; 15;  0;215,5
India;2020-02-14;      3;     0;    0;   0;      0;     0;     3;    0;2020;luty;14;piątek;0,0000;0,0000;1,0000; 16;  0;215,5
India;2020-02-15;      3;     0;    0;   0;      0;     0;     3;    0;2020;luty;15;sobota;0,0000;0,0000;1,0000; 17;  0;215,5
India;2020-02-16;      3;     0;    0;   0;      3;     3;     0;   -3;2020;luty;16;niedziela;0,0000;1,0000;0,0000; 18;  0;215,5
India;2020-02-17;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;17;poniedziałek;0,0000;1,0000;0,0000; 19;  0;215,5
India;2020-02-18;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;18;wtorek;0,0000;1,0000;0,0000; 20;  0;215,5
India;2020-02-19;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;19;środa;0,0000;1,0000;0,0000; 21;  0;215,5
India;2020-02-20;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;20;czwartek;0,0000;1,0000;0,0000; 22;  0;215,5
India;2020-02-21;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;21;piątek;0,0000;1,0000;0,0000; 23;  0;215,5
India;2020-02-22;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;22;sobota;0,0000;1,0000;0,0000; 24;  0;215,5
India;2020-02-23;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;23;niedziela;0,0000;1,0000;0,0000; 25;  0;215,5
India;2020-02-24;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;24;poniedziałek;0,0000;1,0000;0,0000; 26;  0;215,5
India;2020-02-25;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;25;wtorek;0,0000;1,0000;0,0000; 27;  0;215,5
India;2020-02-26;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;26;środa;0,0000;1,0000;0,0000; 28;  0;215,5
India;2020-02-27;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;27;czwartek;0,0000;1,0000;0,0000; 29;  0;215,5
India;2020-02-28;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;28;piątek;0,0000;1,0000;0,0000; 30;  0;215,5
India;2020-02-29;      3;     0;    0;   0;      3;     0;     0;    0;2020;luty;29;sobota;0,0000;1,0000;0,0000; 31;  0;215,5
India;2020-03-01;      3;     0;    0;   0;      3;     0;     0;    0;2020;marzec; 1;niedziela;0,0000;1,0000;0,0000; 32;  0;215,5
India;2020-03-02;      5;     2;    0;   0;      3;     0;     2;    2;2020;marzec; 2;poniedziałek;0,0000;0,6000;0,4000; 33;  0;194,5
India;2020-03-03;      5;     0;    0;   0;      3;     0;     2;    0;2020;marzec; 3;wtorek;0,0000;0,6000;0,4000; 34;  0;215,5
India;2020-03-04;     28;    23;    0;   0;      3;     0;    25;   23;2020;marzec; 4;środa;0,0000;0,1071;0,8929; 35;  0;181,5
India;2020-03-05;     30;     2;    0;   0;      3;     0;    27;    2;2020;marzec; 5;czwartek;0,0000;0,1000;0,9000; 36;  0;194,5
India;2020-03-06;     31;     1;    0;   0;      3;     0;    28;    1;2020;marzec; 6;piątek;0,0000;0,0968;0,9032; 37;  0;197,5
India;2020-03-07;     34;     3;    0;   0;      3;     0;    31;    3;2020;marzec; 7;sobota;0,0000;0,0882;0,9118; 38;  0;193,0
India;2020-03-08;     39;     5;    0;   0;      3;     0;    36;    5;2020;marzec; 8;niedziela;0,0000;0,0769;0,9231; 39;  0;191,0
India;2020-03-09;     43;     4;    0;   0;      3;     0;    40;    4;2020;marzec; 9;poniedziałek;0,0000;0,0698;0,9302; 40;  0;192,0
India;2020-03-10;     56;    13;    0;   0;      4;     1;    52;   12;2020;marzec;10;wtorek;0,0000;0,0714;0,9286; 41;  0;185,0
India;2020-03-11;     62;     6;    1;   1;      4;     0;    57;    5;2020;marzec;11;środa;0,0161;0,0645;0,9194; 42;  0;189,5
India;2020-03-12;     73;    11;    1;   0;      4;     0;    68;   11;2020;marzec;12;czwartek;0,0137;0,0548;0,9315; 43;  0;186,5
India;2020-03-13;     82;     9;    2;   1;      4;     0;    76;    8;2020;marzec;13;piątek;0,0244;0,0488;0,9268; 44;  0;188,0
India;2020-03-14;    102;    20;    2;   0;      4;     0;    96;   20;2020;marzec;14;sobota;0,0196;0,0392;0,9412; 45;  1;183,0
India;2020-03-15;    113;    11;    2;   0;     13;     9;    98;    2;2020;marzec;15;niedziela;0,0177;0,1150;0,8673; 46;  2;186,5
India;2020-03-16;    119;     6;    2;   0;     13;     0;   104;    6;2020;marzec;16;poniedziałek;0,0168;0,1092;0,8739; 47;  3;189,5
India;2020-03-17;    142;    23;    3;   1;     14;     1;   125;   21;2020;marzec;17;wtorek;0,0211;0,0986;0,8803; 48;  4;181,5
India;2020-03-18;    156;    14;    3;   0;     14;     0;   139;   14;2020;marzec;18;środa;0,0192;0,0897;0,8910; 49;  5;184,0
India;2020-03-19;    194;    38;    4;   1;     15;     1;   175;   36;2020;marzec;19;czwartek;0,0206;0,0773;0,9021; 50;  6;177,0
India;2020-03-20;    244;    50;    5;   1;     20;     5;   219;   44;2020;marzec;20;piątek;0,0205;0,0820;0,8975; 51;  7;176,0
India;2020-03-21;    330;    86;    4;  -1;     23;     3;   303;   84;2020;marzec;21;sobota;0,0121;0,0697;0,9182; 52;  8;173,0
India;2020-03-22;    396;    66;    7;   3;     27;     4;   362;   59;2020;marzec;22;niedziela;0,0177;0,0682;0,9141; 53;  9;175,0
India;2020-03-23;    499;   103;   10;   3;     27;     0;   462;  100;2020;marzec;23;poniedziałek;0,0200;0,0541;0,9259; 54; 10;171,0
India;2020-03-24;    536;    37;   10;   0;     40;    13;   486;   24;2020;marzec;24;wtorek;0,0187;0,0746;0,9067; 55; 11;178,5
India;2020-03-25;    657;   121;   12;   2;     43;     3;   602;  116;2020;marzec;25;środa;0,0183;0,0654;0,9163; 56; 12;170,0
India;2020-03-26;    727;    70;   20;   8;     45;     2;   662;   60;2020;marzec;26;czwartek;0,0275;0,0619;0,9106; 57; 13;174,0
India;2020-03-27;    887;   160;   20;   0;     73;    28;   794;  132;2020;marzec;27;piątek;0,0225;0,0823;0,8952; 58; 14;168,0
India;2020-03-28;    987;   100;   24;   4;     84;    11;   879;   85;2020;marzec;28;sobota;0,0243;0,0851;0,8906; 59; 15;172,0
India;2020-03-29;   1024;    37;   27;   3;     95;    11;   902;   23;2020;marzec;29;niedziela;0,0264;0,0928;0,8809; 60; 16;178,5
India;2020-03-30;   1251;   227;   32;   5;    102;     7;  1117;  215;2020;marzec;30;poniedziałek;0,0256;0,0815;0,8929; 61; 17;167,0
India;2020-03-31;   1397;   146;   35;   3;    123;    21;  1239;  122;2020;marzec;31;wtorek;0,0251;0,0880;0,8869; 62; 18;169,0
India;2020-04-01;   1998;   601;   58;  23;    148;    25;  1792;  553;2020;kwiecień; 1;środa;0,0290;0,0741;0,8969; 63; 19;162,0
India;2020-04-02;   2543;   545;   72;  14;    191;    43;  2280;  488;2020;kwiecień; 2;czwartek;0,0283;0,0751;0,8966; 64; 20;163,0
India;2020-04-03;   2567;    24;   72;   0;    192;     1;  2303;   23;2020;kwiecień; 3;piątek;0,0280;0,0748;0,8972; 65; 21;180,0
India;2020-04-04;   3082;   515;   86;  14;    229;    37;  2767;  464;2020;kwiecień; 4;sobota;0,0279;0,0743;0,8978; 66; 22;165,0
India;2020-04-05;   3588;   506;   99;  13;    229;     0;  3260;  493;2020;kwiecień; 5;niedziela;0,0276;0,0638;0,9086; 67; 23;166,0
India;2020-04-06;   4778;  1190;  136;  37;    375;   146;  4267; 1007;2020;kwiecień; 6;poniedziałek;0,0285;0,0785;0,8931; 68; 24;151,0
India;2020-04-07;   5311;   533;  150;  14;    421;    46;  4740;  473;2020;kwiecień; 7;wtorek;0,0282;0,0793;0,8925; 69; 25;164,0
India;2020-04-08;   5916;   605;  178;  28;    506;    85;  5232;  492;2020;kwiecień; 8;środa;0,0301;0,0855;0,8844; 70; 26;161,0
India;2020-04-09;   6725;   809;  226;  48;    620;   114;  5879;  647;2020;kwiecień; 9;czwartek;0,0336;0,0922;0,8742; 71; 27;159,0
India;2020-04-10;   7598;   873;  246;  20;    774;   154;  6578;  699;2020;kwiecień;10;piątek;0,0324;0,1019;0,8658; 72; 28;156,0
India;2020-04-11;   8446;   848;  288;  42;    969;   195;  7189;  611;2020;kwiecień;11;sobota;0,0341;0,1147;0,8512; 73; 29;157,0
India;2020-04-12;   9205;   759;  331;  43;   1080;   111;  7794;  605;2020;kwiecień;12;niedziela;0,0360;0,1173;0,8467; 74; 30;160,0
India;2020-04-13;  10453;  1248;  358;  27;   1181;   101;  8914; 1120;2020;kwiecień;13;poniedziałek;0,0342;0,1130;0,8528; 75; 31;150,0
India;2020-04-14;  11487;  1034;  393;  35;   1359;   178;  9735;  821;2020;kwiecień;14;wtorek;0,0342;0,1183;0,8475; 76; 32;153,0
India;2020-04-15;  12322;   835;  405;  12;   1432;    73; 10485;  750;2020;kwiecień;15;środa;0,0329;0,1162;0,8509; 77; 33;158,0
