Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Italy;2020-01-31;     2;   2;    0;  0;     0;   0;     2;    2;2020;styczeń;31;piątek;0,0000;0,0000;1,0000;  1;  0
Italy;2020-02-01;     2;   0;    0;  0;     0;   0;     2;    0;2020;luty; 1;sobota;0,0000;0,0000;1,0000;  2;  0
Italy;2020-02-02;     2;   0;    0;  0;     0;   0;     2;    0;2020;luty; 2;niedziela;0,0000;0,0000;1,0000;  3;  0
Italy;2020-02-03;     2;   0;    0;  0;     0;   0;     2;    0;2020;luty; 3;poniedziałek;0,0000;0,0000;1,0000;  4;  0
Italy;2020-02-04;     2;   0;    0;  0;     0;   0;     2;    0;2020;luty; 4;wtorek;0,0000;0,0000;1,0000;  5;  0
Italy;2020-02-05;     2;   0;    0;  0;     0;   0;     2;    0;2020;luty; 5;środa;0,0000;0,0000;1,0000;  6;  0
Italy;2020-02-06;     2;   0;    0;  0;     0;   0;     2;    0;2020;luty; 6;czwartek;0,0000;0,0000;1,0000;  7;  0
Italy;2020-02-07;     3;   1;    0;  0;     0;   0;     3;    1;2020;luty; 7;piątek;0,0000;0,0000;1,0000;  8;  0
Italy;2020-02-08;     3;   0;    0;  0;     0;   0;     3;    0;2020;luty; 8;sobota;0,0000;0,0000;1,0000;  9;  0
Italy;2020-02-09;     3;   0;    0;  0;     0;   0;     3;    0;2020;luty; 9;niedziela;0,0000;0,0000;1,0000; 10;  0
Italy;2020-02-10;     3;   0;    0;  0;     0;   0;     3;    0;2020;luty;10;poniedziałek;0,0000;0,0000;1,0000; 11;  0
Italy;2020-02-11;     3;   0;    0;  0;     0;   0;     3;    0;2020;luty;11;wtorek;0,0000;0,0000;1,0000; 12;  0
Italy;2020-02-12;     3;   0;    0;  0;     0;   0;     3;    0;2020;luty;12;środa;0,0000;0,0000;1,0000; 13;  0
Italy;2020-02-13;     3;   0;    0;  0;     0;   0;     3;    0;2020;luty;13;czwartek;0,0000;0,0000;1,0000; 14;  0
Italy;2020-02-14;     3;   0;    0;  0;     0;   0;     3;    0;2020;luty;14;piątek;0,0000;0,0000;1,0000; 15;  0
Italy;2020-02-15;     3;   0;    0;  0;     0;   0;     3;    0;2020;luty;15;sobota;0,0000;0,0000;1,0000; 16;  0
Italy;2020-02-16;     3;   0;    0;  0;     0;   0;     3;    0;2020;luty;16;niedziela;0,0000;0,0000;1,0000; 17;  0
