Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Kazakhstan;2020-03-13;     4;    4;   0;  0;     0;    0;    4;     4;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  1;  0;245,5;208,0;251,5;188,5
Kazakhstan;2020-03-14;     6;    2;   0;  0;     0;    0;    6;     2;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  2;  0;248,5;208,0;251,5;191,5
Kazakhstan;2020-03-15;     9;    3;   0;  0;     0;    0;    9;     3;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  3;  0;247,0;208,0;251,5;190,0
Kazakhstan;2020-03-16;    10;    1;   0;  0;     0;    0;   10;     1;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  4;  0;250,5;208,0;251,5;193,5
Kazakhstan;2020-03-17;    33;   23;   0;  0;     0;    0;   33;    23;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  5;  0;238,0;208,0;251,5;178,0
Kazakhstan;2020-03-18;    35;    2;   0;  0;     0;    0;   35;     2;2020;marzec;18;środa;0,0000;0,0000;1,0000;  6;  0;248,5;208,0;251,5;191,5
Kazakhstan;2020-03-19;    44;    9;   0;  0;     0;    0;   44;     9;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  7;  0;241,5;208,0;251,5;184,5
Kazakhstan;2020-03-20;    49;    5;   0;  0;     0;    0;   49;     5;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  8;  0;244,0;208,0;251,5;187,0
Kazakhstan;2020-03-21;    53;    4;   0;  0;     0;    0;   53;     4;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  9;  0;245,5;208,0;251,5;188,5
Kazakhstan;2020-03-22;    61;    8;   0;  0;     0;    0;   61;     8;2020;marzec;22;niedziela;0,0000;0,0000;1,0000; 10;  0;243,0;208,0;251,5;186,0
Kazakhstan;2020-03-23;    62;    1;   0;  0;     0;    0;   62;     1;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 11;  0;250,5;208,0;251,5;193,5
Kazakhstan;2020-03-24;    72;   10;   0;  0;     0;    0;   72;    10;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 12;  0;240,0;208,0;251,5;183,0
Kazakhstan;2020-03-25;    81;    9;   0;  0;     0;    0;   81;     9;2020;marzec;25;środa;0,0000;0,0000;1,0000; 13;  0;241,5;208,0;251,5;184,5
Kazakhstan;2020-03-26;   111;   30;   1;  1;     2;    2;  108;    27;2020;marzec;26;czwartek;0,0090;0,0180;0,9730; 14;  1;235,5;126,0;233,0;173,0
Kazakhstan;2020-03-27;   150;   39;   1;  0;     3;    1;  146;    38;2020;marzec;27;piątek;0,0067;0,0200;0,9733; 15;  2;231,0;208,0;236,0;163,0
