Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Kenya;2020-03-13;    1;  1;  0; 0;    0;   0;    1;    1;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  1;  0;201,5
Kenya;2020-03-14;    1;  0;  0; 0;    0;   0;    1;    0;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  2;  0;206,5
Kenya;2020-03-15;    3;  2;  0; 0;    0;   0;    3;    2;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  3;  0;199,5
Kenya;2020-03-16;    3;  0;  0; 0;    0;   0;    3;    0;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  4;  0;206,5
Kenya;2020-03-17;    3;  0;  0; 0;    0;   0;    3;    0;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  5;  0;206,5
Kenya;2020-03-18;    3;  0;  0; 0;    0;   0;    3;    0;2020;marzec;18;środa;0,0000;0,0000;1,0000;  6;  0;206,5
Kenya;2020-03-19;    7;  4;  0; 0;    0;   0;    7;    4;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  7;  0;195,0
Kenya;2020-03-20;    7;  0;  0; 0;    0;   0;    7;    0;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  8;  0;206,5
Kenya;2020-03-21;    7;  0;  0; 0;    0;   0;    7;    0;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  9;  0;206,5
Kenya;2020-03-22;   15;  8;  0; 0;    0;   0;   15;    8;2020;marzec;22;niedziela;0,0000;0,0000;1,0000; 10;  0;184,0
Kenya;2020-03-23;   16;  1;  0; 0;    0;   0;   16;    1;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 11;  0;201,5
Kenya;2020-03-24;   25;  9;  0; 0;    0;   0;   25;    9;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 12;  0;179,5
Kenya;2020-03-25;   28;  3;  0; 0;    1;   1;   27;    2;2020;marzec;25;środa;0,0000;0,0357;0,9643; 13;  0;197,5
Kenya;2020-03-26;   31;  3;  1; 1;    1;   0;   29;    2;2020;marzec;26;czwartek;0,0323;0,0323;0,9355; 14;  0;197,5
Kenya;2020-03-27;   31;  0;  1; 0;    1;   0;   29;    0;2020;marzec;27;piątek;0,0323;0,0323;0,9355; 15;  0;206,5
Kenya;2020-03-28;   38;  7;  1; 0;    1;   0;   36;    7;2020;marzec;28;sobota;0,0263;0,0263;0,9474; 16;  0;188,5
Kenya;2020-03-29;   42;  4;  1; 0;    1;   0;   40;    4;2020;marzec;29;niedziela;0,0238;0,0238;0,9524; 17;  0;195,0
Kenya;2020-03-30;   50;  8;  1; 0;    1;   0;   48;    8;2020;marzec;30;poniedziałek;0,0200;0,0200;0,9600; 18;  0;184,0
Kenya;2020-03-31;   59;  9;  1; 0;    1;   0;   57;    9;2020;marzec;31;wtorek;0,0169;0,0169;0,9661; 19;  0;179,5
