Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Korea, South;2020-01-22;    1;  0;  0; 0;    0;   0;   1;    0;2020;styczeń;22;środa;0,0000;0,0000;1,0000;  1;  0
Korea, South;2020-01-23;    1;  0;  0; 0;    0;   0;   1;    0;2020;styczeń;23;czwartek;0,0000;0,0000;1,0000;  2;  0
Korea, South;2020-01-24;    2;  1;  0; 0;    0;   0;   2;    1;2020;styczeń;24;piątek;0,0000;0,0000;1,0000;  3;  0
Korea, South;2020-01-25;    2;  0;  0; 0;    0;   0;   2;    0;2020;styczeń;25;sobota;0,0000;0,0000;1,0000;  4;  0
Korea, South;2020-01-26;    3;  1;  0; 0;    0;   0;   3;    1;2020;styczeń;26;niedziela;0,0000;0,0000;1,0000;  5;  0
Korea, South;2020-01-27;    4;  1;  0; 0;    0;   0;   4;    1;2020;styczeń;27;poniedziałek;0,0000;0,0000;1,0000;  6;  0
Korea, South;2020-01-28;    4;  0;  0; 0;    0;   0;   4;    0;2020;styczeń;28;wtorek;0,0000;0,0000;1,0000;  7;  0
Korea, South;2020-01-29;    4;  0;  0; 0;    0;   0;   4;    0;2020;styczeń;29;środa;0,0000;0,0000;1,0000;  8;  0
Korea, South;2020-01-30;    4;  0;  0; 0;    0;   0;   4;    0;2020;styczeń;30;czwartek;0,0000;0,0000;1,0000;  9;  0
Korea, South;2020-01-31;   11;  7;  0; 0;    0;   0;  11;    7;2020;styczeń;31;piątek;0,0000;0,0000;1,0000; 10;  0
Korea, South;2020-02-01;   12;  1;  0; 0;    0;   0;  12;    1;2020;luty; 1;sobota;0,0000;0,0000;1,0000; 11;  0
Korea, South;2020-02-02;   15;  3;  0; 0;    0;   0;  15;    3;2020;luty; 2;niedziela;0,0000;0,0000;1,0000; 12;  0
Korea, South;2020-02-03;   15;  0;  0; 0;    0;   0;  15;    0;2020;luty; 3;poniedziałek;0,0000;0,0000;1,0000; 13;  0
Korea, South;2020-02-04;   16;  1;  0; 0;    0;   0;  16;    1;2020;luty; 4;wtorek;0,0000;0,0000;1,0000; 14;  0
Korea, South;2020-02-05;   19;  3;  0; 0;    0;   0;  19;    3;2020;luty; 5;środa;0,0000;0,0000;1,0000; 15;  0
Korea, South;2020-02-06;   23;  4;  0; 0;    0;   0;  23;    4;2020;luty; 6;czwartek;0,0000;0,0000;1,0000; 16;  0
Korea, South;2020-02-07;   24;  1;  0; 0;    1;   1;  23;    0;2020;luty; 7;piątek;0,0000;0,0417;0,9583; 17;  0
Korea, South;2020-02-08;   24;  0;  0; 0;    1;   0;  23;    0;2020;luty; 8;sobota;0,0000;0,0417;0,9583; 18;  0
Korea, South;2020-02-09;   25;  1;  0; 0;    3;   2;  22;   -1;2020;luty; 9;niedziela;0,0000;0,1200;0,8800; 19;  0
Korea, South;2020-02-10;   27;  2;  0; 0;    3;   0;  24;    2;2020;luty;10;poniedziałek;0,0000;0,1111;0,8889; 20;  0
Korea, South;2020-02-11;   28;  1;  0; 0;    3;   0;  25;    1;2020;luty;11;wtorek;0,0000;0,1071;0,8929; 21;  0
Korea, South;2020-02-12;   28;  0;  0; 0;    7;   4;  21;   -4;2020;luty;12;środa;0,0000;0,2500;0,7500; 22;  0
Korea, South;2020-02-13;   28;  0;  0; 0;    7;   0;  21;    0;2020;luty;13;czwartek;0,0000;0,2500;0,7500; 23;  0
Korea, South;2020-02-14;   28;  0;  0; 0;    7;   0;  21;    0;2020;luty;14;piątek;0,0000;0,2500;0,7500; 24;  0
Korea, South;2020-02-15;   28;  0;  0; 0;    9;   2;  19;   -2;2020;luty;15;sobota;0,0000;0,3214;0,6786; 25;  0
Korea, South;2020-02-16;   29;  1;  0; 0;    9;   0;  20;    1;2020;luty;16;niedziela;0,0000;0,3103;0,6897; 26;  0
Korea, South;2020-02-17;   30;  1;  0; 0;   10;   1;  20;    0;2020;luty;17;poniedziałek;0,0000;0,3333;0,6667; 27;  0
Korea, South;2020-02-18;   31;  1;  0; 0;   12;   2;  19;   -1;2020;luty;18;wtorek;0,0000;0,3871;0,6129; 28;  0
