Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Kyrgyzstan;2020-03-18;    3;    3;   0;   0;    0;   0;    3;    3;2020;marzec;18;środa;0,0000;0,0000;1,0000;  1;  0;169,0
Kyrgyzstan;2020-03-19;    3;    0;   0;   0;    0;   0;    3;    0;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  2;  0;178,0
Kyrgyzstan;2020-03-20;    6;    3;   0;   0;    0;   0;    6;    3;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  3;  0;169,0
Kyrgyzstan;2020-03-21;   14;    8;   0;   0;    0;   0;   14;    8;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  4;  0;163,0
Kyrgyzstan;2020-03-22;   14;    0;   0;   0;    0;   0;   14;    0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  5;  0;178,0
Kyrgyzstan;2020-03-23;   16;    2;   0;   0;    0;   0;   16;    2;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000;  6;  0;171,5
Kyrgyzstan;2020-03-24;   42;   26;   0;   0;    0;   0;   42;   26;2020;marzec;24;wtorek;0,0000;0,0000;1,0000;  7;  0;126,0
Kyrgyzstan;2020-03-25;   44;    2;   0;   0;    0;   0;   44;    2;2020;marzec;25;środa;0,0000;0,0000;1,0000;  8;  0;171,5
Kyrgyzstan;2020-03-26;   44;    0;   0;   0;    0;   0;   44;    0;2020;marzec;26;czwartek;0,0000;0,0000;1,0000;  9;  0;178,0
Kyrgyzstan;2020-03-27;   58;   14;   0;   0;    0;   0;   58;   14;2020;marzec;27;piątek;0,0000;0,0000;1,0000; 10;  0;149,0
Kyrgyzstan;2020-03-28;   58;    0;   0;   0;    0;   0;   58;    0;2020;marzec;28;sobota;0,0000;0,0000;1,0000; 11;  0;178,0
Kyrgyzstan;2020-03-29;   84;   26;   0;   0;    0;   0;   84;   26;2020;marzec;29;niedziela;0,0000;0,0000;1,0000; 12;  0;126,0
Kyrgyzstan;2020-03-30;   94;   10;   0;   0;    3;   3;   91;    7;2020;marzec;30;poniedziałek;0,0000;0,0319;0,9681; 13;  0;161,0
