Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Lesotho;2020-05-13;   1; 1; 0;0;  0;  0;  1;   1;2020;maj;13;środa;0,0000;0,0000;1,0000;  1; 0; 51,5
Lesotho;2020-05-14;   1; 0; 0;0;  0;  0;  1;   0;2020;maj;14;czwartek;0,0000;0,0000;1,0000;  2; 0;101,0
Lesotho;2020-05-15;   1; 0; 0;0;  0;  0;  1;   0;2020;maj;15;piątek;0,0000;0,0000;1,0000;  3; 0;101,0
Lesotho;2020-05-16;   1; 0; 0;0;  0;  0;  1;   0;2020;maj;16;sobota;0,0000;0,0000;1,0000;  4; 0;101,0
Lesotho;2020-05-17;   1; 0; 0;0;  0;  0;  1;   0;2020;maj;17;niedziela;0,0000;0,0000;1,0000;  5; 0;101,0
Lesotho;2020-05-18;   1; 0; 0;0;  0;  0;  1;   0;2020;maj;18;poniedziałek;0,0000;0,0000;1,0000;  6; 0;101,0
Lesotho;2020-05-19;   1; 0; 0;0;  0;  0;  1;   0;2020;maj;19;wtorek;0,0000;0,0000;1,0000;  7; 0;101,0
Lesotho;2020-05-20;   1; 0; 0;0;  0;  0;  1;   0;2020;maj;20;środa;0,0000;0,0000;1,0000;  8; 0;101,0
Lesotho;2020-05-21;   1; 0; 0;0;  0;  0;  1;   0;2020;maj;21;czwartek;0,0000;0,0000;1,0000;  9; 0;101,0
Lesotho;2020-05-22;   2; 1; 0;0;  0;  0;  2;   1;2020;maj;22;piątek;0,0000;0,0000;1,0000; 10; 0; 51,5
Lesotho;2020-05-23;   2; 0; 0;0;  0;  0;  2;   0;2020;maj;23;sobota;0,0000;0,0000;1,0000; 11; 0;101,0
Lesotho;2020-05-24;   2; 0; 0;0;  0;  0;  2;   0;2020;maj;24;niedziela;0,0000;0,0000;1,0000; 12; 0;101,0
Lesotho;2020-05-25;   2; 0; 0;0;  0;  0;  2;   0;2020;maj;25;poniedziałek;0,0000;0,0000;1,0000; 13; 0;101,0
Lesotho;2020-05-26;   2; 0; 0;0;  0;  0;  2;   0;2020;maj;26;wtorek;0,0000;0,0000;1,0000; 14; 0;101,0
Lesotho;2020-05-27;   2; 0; 0;0;  0;  0;  2;   0;2020;maj;27;środa;0,0000;0,0000;1,0000; 15; 0;101,0
Lesotho;2020-05-28;   2; 0; 0;0;  1;  1;  1;  -1;2020;maj;28;czwartek;0,0000;0,5000;0,5000; 16; 0;101,0
Lesotho;2020-05-29;   2; 0; 0;0;  1;  0;  1;   0;2020;maj;29;piątek;0,0000;0,5000;0,5000; 17; 0;101,0
Lesotho;2020-05-30;   2; 0; 0;0;  1;  0;  1;   0;2020;maj;30;sobota;0,0000;0,5000;0,5000; 18; 0;101,0
Lesotho;2020-05-31;   2; 0; 0;0;  1;  0;  1;   0;2020;maj;31;niedziela;0,0000;0,5000;0,5000; 19; 0;101,0
Lesotho;2020-06-01;   2; 0; 0;0;  1;  0;  1;   0;2020;czerwiec; 1;poniedziałek;0,0000;0,5000;0,5000; 20; 0;101,0
Lesotho;2020-06-02;   2; 0; 0;0;  1;  0;  1;   0;2020;czerwiec; 2;wtorek;0,0000;0,5000;0,5000; 21; 0;101,0
Lesotho;2020-06-03;   4; 2; 0;0;  2;  1;  2;   1;2020;czerwiec; 3;środa;0,0000;0,5000;0,5000; 22; 0; 49,5
Lesotho;2020-06-04;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec; 4;czwartek;0,0000;0,5000;0,5000; 23; 0;101,0
Lesotho;2020-06-05;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec; 5;piątek;0,0000;0,5000;0,5000; 24; 0;101,0
Lesotho;2020-06-06;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec; 6;sobota;0,0000;0,5000;0,5000; 25; 0;101,0
Lesotho;2020-06-07;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec; 7;niedziela;0,0000;0,5000;0,5000; 26; 0;101,0
Lesotho;2020-06-08;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec; 8;poniedziałek;0,0000;0,5000;0,5000; 27; 0;101,0
Lesotho;2020-06-09;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec; 9;wtorek;0,0000;0,5000;0,5000; 28; 0;101,0
Lesotho;2020-06-10;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec;10;środa;0,0000;0,5000;0,5000; 29; 0;101,0
Lesotho;2020-06-11;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec;11;czwartek;0,0000;0,5000;0,5000; 30; 0;101,0
Lesotho;2020-06-12;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec;12;piątek;0,0000;0,5000;0,5000; 31; 0;101,0
Lesotho;2020-06-13;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec;13;sobota;0,0000;0,5000;0,5000; 32; 0;101,0
Lesotho;2020-06-14;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec;14;niedziela;0,0000;0,5000;0,5000; 33; 0;101,0
Lesotho;2020-06-15;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec;15;poniedziałek;0,0000;0,5000;0,5000; 34; 0;101,0
Lesotho;2020-06-16;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec;16;wtorek;0,0000;0,5000;0,5000; 35; 0;101,0
Lesotho;2020-06-17;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec;17;środa;0,0000;0,5000;0,5000; 36; 0;101,0
Lesotho;2020-06-18;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec;18;czwartek;0,0000;0,5000;0,5000; 37; 0;101,0
Lesotho;2020-06-19;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec;19;piątek;0,0000;0,5000;0,5000; 38; 0;101,0
Lesotho;2020-06-20;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec;20;sobota;0,0000;0,5000;0,5000; 39; 0;101,0
Lesotho;2020-06-21;   4; 0; 0;0;  2;  0;  2;   0;2020;czerwiec;21;niedziela;0,0000;0,5000;0,5000; 40; 0;101,0
Lesotho;2020-06-22;  12; 8; 0;0;  2;  0; 10;   8;2020;czerwiec;22;poniedziałek;0,0000;0,1667;0,8333; 41; 0; 41,0
Lesotho;2020-06-23;  17; 5; 0;0;  2;  0; 15;   5;2020;czerwiec;23;wtorek;0,0000;0,1176;0,8824; 42; 0; 45,0
Lesotho;2020-06-24;  17; 0; 0;0;  2;  0; 15;   0;2020;czerwiec;24;środa;0,0000;0,1176;0,8824; 43; 0;101,0
Lesotho;2020-06-25;  17; 0; 0;0;  2;  0; 15;   0;2020;czerwiec;25;czwartek;0,0000;0,1176;0,8824; 44; 0;101,0
Lesotho;2020-06-26;  24; 7; 0;0;  4;  2; 20;   5;2020;czerwiec;26;piątek;0,0000;0,1667;0,8333; 45; 0; 43,5
Lesotho;2020-06-27;  24; 0; 0;0;  4;  0; 20;   0;2020;czerwiec;27;sobota;0,0000;0,1667;0,8333; 46; 0;101,0
Lesotho;2020-06-28;  27; 3; 0;0;  4;  0; 23;   3;2020;czerwiec;28;niedziela;0,0000;0,1481;0,8519; 47; 0; 47,5
Lesotho;2020-06-29;  27; 0; 0;0;  4;  0; 23;   0;2020;czerwiec;29;poniedziałek;0,0000;0,1481;0,8519; 48; 0;101,0
Lesotho;2020-06-30;  27; 0; 0;0;  4;  0; 23;   0;2020;czerwiec;30;wtorek;0,0000;0,1481;0,8519; 49; 0;101,0
Lesotho;2020-07-01;  35; 8; 0;0; 11;  7; 24;   1;2020;lipiec; 1;środa;0,0000;0,3143;0,6857; 50; 0; 41,0
Lesotho;2020-07-02;  35; 0; 0;0; 11;  0; 24;   0;2020;lipiec; 2;czwartek;0,0000;0,3143;0,6857; 51; 0;101,0
Lesotho;2020-07-03;  35; 0; 0;0; 11;  0; 24;   0;2020;lipiec; 3;piątek;0,0000;0,3143;0,6857; 52; 0;101,0
Lesotho;2020-07-04;  35; 0; 0;0; 11;  0; 24;   0;2020;lipiec; 4;sobota;0,0000;0,3143;0,6857; 53; 0;101,0
Lesotho;2020-07-05;  79;44; 0;0; 11;  0; 68;  44;2020;lipiec; 5;niedziela;0,0000;0,1392;0,8608; 54; 0; 18,5
Lesotho;2020-07-06;  91;12; 0;0; 11;  0; 80;  12;2020;lipiec; 6;poniedziałek;0,0000;0,1209;0,8791; 55; 0; 36,5
Lesotho;2020-07-07;  91; 0; 0;0; 11;  0; 80;   0;2020;lipiec; 7;wtorek;0,0000;0,1209;0,8791; 56; 0;101,0
Lesotho;2020-07-08;  91; 0; 0;0; 11;  0; 80;   0;2020;lipiec; 8;środa;0,0000;0,1209;0,8791; 57; 0;101,0
Lesotho;2020-07-09; 134;43; 1;1; 20;  9;113;  33;2020;lipiec; 9;czwartek;0,0075;0,1493;0,8433; 58; 1; 20,5
Lesotho;2020-07-10; 184;50; 1;0; 26;  6;157;  44;2020;lipiec;10;piątek;0,0054;0,1413;0,8533; 59; 2; 13,5
Lesotho;2020-07-11; 184; 0; 1;0; 26;  0;157;   0;2020;lipiec;11;sobota;0,0054;0,1413;0,8533; 60; 3;101,0
Lesotho;2020-07-12; 233;49; 2;1; 32;  6;199;  42;2020;lipiec;12;niedziela;0,0086;0,1373;0,8541; 61; 4; 15,0
Lesotho;2020-07-13; 245;12; 3;1; 33;  1;209;  10;2020;lipiec;13;poniedziałek;0,0122;0,1347;0,8531; 62; 5; 36,5
Lesotho;2020-07-14; 256;11; 3;0; 48; 15;205;  -4;2020;lipiec;14;wtorek;0,0117;0,1875;0,8008; 63; 6; 38,5
Lesotho;2020-07-15; 256; 0; 3;0; 48;  0;205;   0;2020;lipiec;15;środa;0,0117;0,1875;0,8008; 64; 7;101,0
Lesotho;2020-07-16; 256; 0; 3;0; 48;  0;205;   0;2020;lipiec;16;czwartek;0,0117;0,1875;0,8008; 65; 8;101,0
Lesotho;2020-07-17; 311;55; 6;3; 69; 21;236;  31;2020;lipiec;17;piątek;0,0193;0,2219;0,7588; 66; 9; 12,0
Lesotho;2020-07-18; 359;48; 6;0; 69;  0;284;  48;2020;lipiec;18;sobota;0,0167;0,1922;0,7911; 67;10; 16,0
Lesotho;2020-07-19; 359; 0; 6;0; 69;  0;284;   0;2020;lipiec;19;niedziela;0,0167;0,1922;0,7911; 68;11;101,0
Lesotho;2020-07-20; 359; 0; 6;0; 69;  0;284;   0;2020;lipiec;20;poniedziałek;0,0167;0,1922;0,7911; 69;12;101,0
Lesotho;2020-07-21; 359; 0; 6;0; 69;  0;284;   0;2020;lipiec;21;wtorek;0,0167;0,1922;0,7911; 70;13;101,0
Lesotho;2020-07-22; 359; 0; 6;0; 69;  0;284;   0;2020;lipiec;22;środa;0,0167;0,1922;0,7911; 71;14;101,0
Lesotho;2020-07-23; 359; 0; 6;0; 69;  0;284;   0;2020;lipiec;23;czwartek;0,0167;0,1922;0,7911; 72;15;101,0
Lesotho;2020-07-24; 359; 0; 6;0; 69;  0;284;   0;2020;lipiec;24;piątek;0,0167;0,1922;0,7911; 73;16;101,0
Lesotho;2020-07-25; 419;60; 9;3; 69;  0;341;  57;2020;lipiec;25;sobota;0,0215;0,1647;0,8138; 74;17; 11,0
Lesotho;2020-07-26; 505;86;12;3;128; 59;365;  24;2020;lipiec;26;niedziela;0,0238;0,2535;0,7228; 75;18;  2,5
Lesotho;2020-07-27; 505; 0;12;0;128;  0;365;   0;2020;lipiec;27;poniedziałek;0,0238;0,2535;0,7228; 76;19;101,0
Lesotho;2020-07-28; 505; 0;12;0;128;  0;365;   0;2020;lipiec;28;wtorek;0,0238;0,2535;0,7228; 77;20;101,0
Lesotho;2020-07-29; 576;71;13;1;141; 13;422;  57;2020;lipiec;29;środa;0,0226;0,2448;0,7326; 78;21;  8,0
Lesotho;2020-07-30; 604;28;13;0;144;  3;447;  25;2020;lipiec;30;czwartek;0,0215;0,2384;0,7401; 79;22; 27,0
Lesotho;2020-07-31; 604; 0;13;0;144;  0;447;   0;2020;lipiec;31;piątek;0,0215;0,2384;0,7401; 80;23;101,0
Lesotho;2020-08-01; 702;98;14;1;171; 27;517;  70;2020;sierpień; 1;sobota;0,0199;0,2436;0,7365; 81;24;  1,0
Lesotho;2020-08-02; 718;16;19;5;173;  2;526;   9;2020;sierpień; 2;niedziela;0,0265;0,2409;0,7326; 82;25; 34,0
Lesotho;2020-08-03; 718; 0;19;0;173;  0;526;   0;2020;sierpień; 3;poniedziałek;0,0265;0,2409;0,7326; 83;26;101,0
Lesotho;2020-08-04; 726; 8;21;2;174;  1;531;   5;2020;sierpień; 4;wtorek;0,0289;0,2397;0,7314; 84;27; 41,0
Lesotho;2020-08-05; 726; 0;21;0;174;  0;531;   0;2020;sierpień; 5;środa;0,0289;0,2397;0,7314; 85;28;101,0
Lesotho;2020-08-06; 742;16;23;2;175;  1;544;  13;2020;sierpień; 6;czwartek;0,0310;0,2358;0,7332; 86;29; 34,0
Lesotho;2020-08-07; 742; 0;23;0;175;  0;544;   0;2020;sierpień; 7;piątek;0,0310;0,2358;0,7332; 87;30;101,0
Lesotho;2020-08-08; 742; 0;23;0;175;  0;544;   0;2020;sierpień; 8;sobota;0,0310;0,2358;0,7332; 88;31;101,0
Lesotho;2020-08-09; 742; 0;23;0;175;  0;544;   0;2020;sierpień; 9;niedziela;0,0310;0,2358;0,7332; 89;32;101,0
Lesotho;2020-08-10; 781;39;24;1;175;  0;582;  38;2020;sierpień;10;poniedziałek;0,0307;0,2241;0,7452; 90;33; 23,0
Lesotho;2020-08-11; 781; 0;24;0;175;  0;582;   0;2020;sierpień;11;wtorek;0,0307;0,2241;0,7452; 91;34;101,0
Lesotho;2020-08-12; 798;17;24;0;175;  0;599;  17;2020;sierpień;12;środa;0,0301;0,2193;0,7506; 92;35; 32,0
Lesotho;2020-08-13; 884;86;25;1;271; 96;588; -11;2020;sierpień;13;czwartek;0,0283;0,3066;0,6652; 93;36;  2,5
Lesotho;2020-08-14; 884; 0;25;0;271;  0;588;   0;2020;sierpień;14;piątek;0,0283;0,3066;0,6652; 94;37;101,0
Lesotho;2020-08-15; 903;19;25;0;271;  0;607;  19;2020;sierpień;15;sobota;0,0277;0,3001;0,6722; 95;38; 29,5
Lesotho;2020-08-16; 903; 0;25;0;271;  0;607;   0;2020;sierpień;16;niedziela;0,0277;0,3001;0,6722; 96;39;101,0
Lesotho;2020-08-17; 946;43;30;5;271;  0;645;  38;2020;sierpień;17;poniedziałek;0,0317;0,2865;0,6818; 97;40; 20,5
Lesotho;2020-08-18; 946; 0;30;0;271;  0;645;   0;2020;sierpień;18;wtorek;0,0317;0,2865;0,6818; 98;41;101,0
Lesotho;2020-08-19; 946; 0;30;0;271;  0;645;   0;2020;sierpień;19;środa;0,0317;0,2865;0,6818; 99;42;101,0
Lesotho;2020-08-20; 996;50;30;0;423;152;543;-102;2020;sierpień;20;czwartek;0,0301;0,4247;0,5452;100;43; 13,5
Lesotho;2020-08-21;1015;19;30;0;472; 49;513; -30;2020;sierpień;21;piątek;0,0296;0,4650;0,5054;101;44; 29,5
Lesotho;2020-08-22;1015; 0;30;0;472;  0;513;   0;2020;sierpień;22;sobota;0,0296;0,4650;0,5054;102;45;101,0
Lesotho;2020-08-23;1015; 0;30;0;472;  0;513;   0;2020;sierpień;23;niedziela;0,0296;0,4650;0,5054;103;46;101,0
Lesotho;2020-08-24;1015; 0;30;0;472;  0;513;   0;2020;sierpień;24;poniedziałek;0,0296;0,4650;0,5054;104;47;101,0
Lesotho;2020-08-25;1049;34;30;0;472;  0;547;  34;2020;sierpień;25;wtorek;0,0286;0,4500;0,5214;105;48; 25,0
Lesotho;2020-08-26;1051; 2;31;1;526; 54;494; -53;2020;sierpień;26;środa;0,0295;0,5005;0,4700;106;49; 49,5
Lesotho;2020-08-27;1051; 0;31;0;526;  0;494;   0;2020;sierpień;27;czwartek;0,0295;0,5005;0,4700;107;50;101,0
Lesotho;2020-08-28;1051; 0;31;0;526;  0;494;   0;2020;sierpień;28;piątek;0,0295;0,5005;0,4700;108;51;101,0
Lesotho;2020-08-29;1051; 0;31;0;526;  0;494;   0;2020;sierpień;29;sobota;0,0295;0,5005;0,4700;109;52;101,0
Lesotho;2020-08-30;1085;34;31;0;528;  2;526;  32;2020;sierpień;30;niedziela;0,0286;0,4866;0,4848;110;53; 25,0
Lesotho;2020-08-31;1085; 0;31;0;528;  0;526;   0;2020;sierpień;31;poniedziałek;0,0286;0,4866;0,4848;111;54;101,0
Lesotho;2020-09-01;1085; 0;31;0;528;  0;526;   0;2020;wrzesień; 1;wtorek;0,0286;0,4866;0,4848;112;55;101,0
Lesotho;2020-09-02;1085; 0;31;0;528;  0;526;   0;2020;wrzesień; 2;środa;0,0286;0,4866;0,4848;113;56;101,0
Lesotho;2020-09-03;1085; 0;31;0;528;  0;526;   0;2020;wrzesień; 3;czwartek;0,0286;0,4866;0,4848;114;57;101,0
Lesotho;2020-09-04;1148;63;31;0;528;  0;589;  63;2020;wrzesień; 4;piątek;0,0270;0,4599;0,5131;115;58;  9,5
Lesotho;2020-09-05;1148; 0;31;0;528;  0;589;   0;2020;wrzesień; 5;sobota;0,0270;0,4599;0,5131;116;59;101,0
Lesotho;2020-09-06;1148; 0;31;0;528;  0;589;   0;2020;wrzesień; 6;niedziela;0,0270;0,4599;0,5131;117;60;101,0
Lesotho;2020-09-07;1148; 0;31;0;528;  0;589;   0;2020;wrzesień; 7;poniedziałek;0,0270;0,4599;0,5131;118;61;101,0
Lesotho;2020-09-08;1148; 0;31;0;528;  0;589;   0;2020;wrzesień; 8;wtorek;0,0270;0,4599;0,5131;119;62;101,0
Lesotho;2020-09-09;1164;16;31;0;528;  0;605;  16;2020;wrzesień; 9;środa;0,0266;0,4536;0,5198;120;63; 34,0
Lesotho;2020-09-10;1164; 0;31;0;528;  0;605;   0;2020;wrzesień;10;czwartek;0,0266;0,4536;0,5198;121;64;101,0
Lesotho;2020-09-11;1245;81;33;2;528;  0;684;  79;2020;wrzesień;11;piątek;0,0265;0,4241;0,5494;122;65;  7,0
Lesotho;2020-09-12;1245; 0;33;0;528;  0;684;   0;2020;wrzesień;12;sobota;0,0265;0,4241;0,5494;123;66;101,0
Lesotho;2020-09-13;1245; 0;33;0;528;  0;684;   0;2020;wrzesień;13;niedziela;0,0265;0,4241;0,5494;124;67;101,0
Lesotho;2020-09-14;1245; 0;33;0;528;  0;684;   0;2020;wrzesień;14;poniedziałek;0,0265;0,4241;0,5494;125;68;101,0
Lesotho;2020-09-15;1327;82;33;0;687;159;607; -77;2020;wrzesień;15;wtorek;0,0249;0,5177;0,4574;126;69;  6,0
Lesotho;2020-09-16;1327; 0;33;0;687;  0;607;   0;2020;wrzesień;16;środa;0,0249;0,5177;0,4574;127;70;101,0
Lesotho;2020-09-17;1327; 0;33;0;687;  0;607;   0;2020;wrzesień;17;czwartek;0,0249;0,5177;0,4574;128;71;101,0
Lesotho;2020-09-18;1390;63;33;0;754; 67;603;  -4;2020;wrzesień;18;piątek;0,0237;0,5424;0,4338;129;72;  9,5
Lesotho;2020-09-19;1390; 0;33;0;754;  0;603;   0;2020;wrzesień;19;sobota;0,0237;0,5424;0,4338;130;73;101,0
Lesotho;2020-09-20;1424;34;33;0;754;  0;637;  34;2020;wrzesień;20;niedziela;0,0232;0,5295;0,4473;131;74; 25,0
Lesotho;2020-09-21;1424; 0;33;0;754;  0;637;   0;2020;wrzesień;21;poniedziałek;0,0232;0,5295;0,4473;132;75;101,0
Lesotho;2020-09-22;1424; 0;33;0;754;  0;637;   0;2020;wrzesień;22;wtorek;0,0232;0,5295;0,4473;133;76;101,0
Lesotho;2020-09-23;1507;83;35;2;766; 12;706;  69;2020;wrzesień;23;środa;0,0232;0,5083;0,4685;134;77;  5,0
Lesotho;2020-09-24;1554;47;35;0;782; 16;737;  31;2020;wrzesień;24;czwartek;0,0225;0,5032;0,4743;135;78; 17,0
Lesotho;2020-09-25;1558; 4;35;0;797; 15;726; -11;2020;wrzesień;25;piątek;0,0225;0,5116;0,4660;136;79; 46,0
Lesotho;2020-09-26;1558; 0;35;0;797;  0;726;   0;2020;wrzesień;26;sobota;0,0225;0,5116;0,4660;137;80;101,0
Lesotho;2020-09-27;1558; 0;35;0;797;  0;726;   0;2020;wrzesień;27;niedziela;0,0225;0,5116;0,4660;138;81;101,0
Lesotho;2020-09-28;1565; 7;35;0;822; 25;708; -18;2020;wrzesień;28;poniedziałek;0,0224;0,5252;0,4524;139;82; 43,5
Lesotho;2020-09-29;1576;11;35;0;873; 51;668; -40;2020;wrzesień;29;wtorek;0,0222;0,5539;0,4239;140;83; 38,5
Lesotho;2020-09-30;1595;19;36;1;873;  0;686;  18;2020;wrzesień;30;środa;0,0226;0,5473;0,4301;141;84; 29,5
Lesotho;2020-10-01;1639;44;38;2;874;  1;727;  41;2020;październik; 1;czwartek;0,0232;0,5333;0,4436;142;85; 18,5
Lesotho;2020-10-02;1680;41;39;1;926; 52;715; -12;2020;październik; 2;piątek;0,0232;0,5512;0,4256;143;86; 22,0
Lesotho;2020-10-03;1680; 0;39;0;926;  0;715;   0;2020;październik; 3;sobota;0,0232;0,5512;0,4256;144;87;101,0
Lesotho;2020-10-04;1683; 3;39;0;926;  0;718;   3;2020;październik; 4;niedziela;0,0232;0,5502;0,4266;145;88; 47,5
Lesotho;2020-10-05;1683; 0;39;0;926;  0;718;   0;2020;październik; 5;poniedziałek;0,0232;0,5502;0,4266;146;89;101,0
Lesotho;2020-10-06;1683; 0;39;0;926;  0;718;   0;2020;październik; 6;wtorek;0,0232;0,5502;0,4266;147;90;101,0
Lesotho;2020-10-07;1767;84;40;1;926;  0;801;  83;2020;październik; 7;środa;0,0226;0,5241;0,4533;148;91;  4,0
Lesotho;2020-10-08;1786;19;41;1;926;  0;819;  18;2020;październik; 8;czwartek;0,0230;0,5185;0,4586;149;92; 29,5
