Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Lithuania;2020-02-28;   1;   1; 0;0;   0; 0;   1;   1;2020;luty;28;piątek;0,0000;0,0000;1,0000;  1; 0
Lithuania;2020-02-29;   1;   0; 0;0;   0; 0;   1;   0;2020;luty;29;sobota;0,0000;0,0000;1,0000;  2; 0
Lithuania;2020-03-01;   1;   0; 0;0;   0; 0;   1;   0;2020;marzec; 1;niedziela;0,0000;0,0000;1,0000;  3; 0
Lithuania;2020-03-02;   1;   0; 0;0;   0; 0;   1;   0;2020;marzec; 2;poniedziałek;0,0000;0,0000;1,0000;  4; 0
Lithuania;2020-03-03;   1;   0; 0;0;   0; 0;   1;   0;2020;marzec; 3;wtorek;0,0000;0,0000;1,0000;  5; 0
Lithuania;2020-03-04;   1;   0; 0;0;   0; 0;   1;   0;2020;marzec; 4;środa;0,0000;0,0000;1,0000;  6; 0
Lithuania;2020-03-05;   1;   0; 0;0;   0; 0;   1;   0;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000;  7; 0
Lithuania;2020-03-06;   1;   0; 0;0;   0; 0;   1;   0;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  8; 0
Lithuania;2020-03-07;   1;   0; 0;0;   0; 0;   1;   0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  9; 0
Lithuania;2020-03-08;   1;   0; 0;0;   0; 0;   1;   0;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000; 10; 0
Lithuania;2020-03-09;   1;   0; 0;0;   0; 0;   1;   0;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000; 11; 0
Lithuania;2020-03-10;   1;   0; 0;0;   0; 0;   1;   0;2020;marzec;10;wtorek;0,0000;0,0000;1,0000; 12; 0
Lithuania;2020-03-11;   3;   2; 0;0;   0; 0;   3;   2;2020;marzec;11;środa;0,0000;0,0000;1,0000; 13; 0
Lithuania;2020-03-12;   3;   0; 0;0;   0; 0;   3;   0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000; 14; 0
Lithuania;2020-03-13;   6;   3; 0;0;   0; 0;   6;   3;2020;marzec;13;piątek;0,0000;0,0000;1,0000; 15; 0
Lithuania;2020-03-14;   8;   2; 0;0;   0; 0;   8;   2;2020;marzec;14;sobota;0,0000;0,0000;1,0000; 16; 0
Lithuania;2020-03-15;  12;   4; 0;0;   1; 1;  11;   3;2020;marzec;15;niedziela;0,0000;0,0833;0,9167; 17; 0
Lithuania;2020-03-16;  17;   5; 0;0;   1; 0;  16;   5;2020;marzec;16;poniedziałek;0,0000;0,0588;0,9412; 18; 0
Lithuania;2020-03-17;  25;   8; 0;0;   1; 0;  24;   8;2020;marzec;17;wtorek;0,0000;0,0400;0,9600; 19; 0
Lithuania;2020-03-18;  27;   2; 0;0;   1; 0;  26;   2;2020;marzec;18;środa;0,0000;0,0370;0,9630; 20; 0
Lithuania;2020-03-19;  36;   9; 0;0;   1; 0;  35;   9;2020;marzec;19;czwartek;0,0000;0,0278;0,9722; 21; 0
Lithuania;2020-03-20;  49;  13; 0;0;   1; 0;  48;  13;2020;marzec;20;piątek;0,0000;0,0204;0,9796; 22; 0
Lithuania;2020-03-21;  83;  34; 1;1;   1; 0;  81;  33;2020;marzec;21;sobota;0,0120;0,0120;0,9759; 23; 0
Lithuania;2020-03-22; 143;  60; 1;0;   1; 0; 141;  60;2020;marzec;22;niedziela;0,0070;0,0070;0,9860; 24; 1
Lithuania;2020-03-23; 179;  36; 1;0;   1; 0; 177;  36;2020;marzec;23;poniedziałek;0,0056;0,0056;0,9888; 25; 2
Lithuania;2020-03-24; 209;  30; 2;1;   1; 0; 206;  29;2020;marzec;24;wtorek;0,0096;0,0048;0,9856; 26; 3
Lithuania;2020-03-25; 274;  65; 4;2;   1; 0; 269;  63;2020;marzec;25;środa;0,0146;0,0036;0,9818; 27; 4
Lithuania;2020-03-26; 299;  25; 4;0;   1; 0; 294;  25;2020;marzec;26;czwartek;0,0134;0,0033;0,9833; 28; 5
Lithuania;2020-03-27; 358;  59; 5;1;   1; 0; 352;  58;2020;marzec;27;piątek;0,0140;0,0028;0,9832; 29; 6
Lithuania;2020-03-28; 394;  36; 7;2;   1; 0; 386;  34;2020;marzec;28;sobota;0,0178;0,0025;0,9797; 30; 7
Lithuania;2020-03-29; 460;  66; 7;0;   1; 0; 452;  66;2020;marzec;29;niedziela;0,0152;0,0022;0,9826; 31; 8
Lithuania;2020-03-30; 491;  31; 7;0;   7; 6; 477;  25;2020;marzec;30;poniedziałek;0,0143;0,0143;0,9715; 32; 9
Lithuania;2020-03-31; 537;  46; 8;1;   7; 0; 522;  45;2020;marzec;31;wtorek;0,0149;0,0130;0,9721; 33;10
Lithuania;2020-04-01; 581;  44; 8;0;   7; 0; 566;  44;2020;kwiecień; 1;środa;0,0138;0,0120;0,9742; 34;11
Lithuania;2020-04-02; 649;  68; 9;1;   7; 0; 633;  67;2020;kwiecień; 2;czwartek;0,0139;0,0108;0,9753; 35;12
Lithuania;2020-04-03; 696;  47; 9;0;   7; 0; 680;  47;2020;kwiecień; 3;piątek;0,0129;0,0101;0,9770; 36;13
Lithuania;2020-04-04; 771;  75;11;2;   7; 0; 753;  73;2020;kwiecień; 4;sobota;0,0143;0,0091;0,9767; 37;14
Lithuania;2020-04-05; 811;  40;13;2;   7; 0; 791;  38;2020;kwiecień; 5;niedziela;0,0160;0,0086;0,9753; 38;15
Lithuania;2020-04-06; 843;  32;15;2;   8; 1; 820;  29;2020;kwiecień; 6;poniedziałek;0,0178;0,0095;0,9727; 39;16
Lithuania;2020-04-07; 880;  37;15;0;   8; 0; 857;  37;2020;kwiecień; 7;wtorek;0,0170;0,0091;0,9739; 40;17
Lithuania;2020-04-08; 912;  32;15;0;   8; 0; 889;  32;2020;kwiecień; 8;środa;0,0164;0,0088;0,9748; 41;18
Lithuania;2020-04-09; 955;  43;16;1;   8; 0; 931;  42;2020;kwiecień; 9;czwartek;0,0168;0,0084;0,9749; 42;19
Lithuania;2020-04-10; 999;  44;22;6;  54;46; 923;  -8;2020;kwiecień;10;piątek;0,0220;0,0541;0,9239; 43;20
Lithuania;2020-04-11;1026;  27;23;1;  54; 0; 949;  26;2020;kwiecień;11;sobota;0,0224;0,0526;0,9250; 44;21
Lithuania;2020-04-12;1053;  27;23;0;  97;43; 933; -16;2020;kwiecień;12;niedziela;0,0218;0,0921;0,8860; 45;22
Lithuania;2020-04-13;1062;   9;24;1; 101; 4; 937;   4;2020;kwiecień;13;poniedziałek;0,0226;0,0951;0,8823; 46;23
Lithuania;2020-04-14;1070;   8;29;5; 101; 0; 940;   3;2020;kwiecień;14;wtorek;0,0271;0,0944;0,8785; 47;24
Lithuania;2020-04-15;1091;  21;30;1; 138;37; 923; -17;2020;kwiecień;15;środa;0,0275;0,1265;0,8460; 48;25
Lithuania;2020-04-16;1128;  37;32;2; 178;40; 918;  -5;2020;kwiecień;16;czwartek;0,0284;0,1578;0,8138; 49;26
Lithuania;2020-04-17;1149;  21;33;1; 210;32; 906; -12;2020;kwiecień;17;piątek;0,0287;0,1828;0,7885; 50;27
Lithuania;2020-04-18;1239;  90;33;0; 228;18; 978;  72;2020;kwiecień;18;sobota;0,0266;0,1840;0,7893; 51;28
Lithuania;2020-04-19;1298;  59;35;2; 242;14;1021;  43;2020;kwiecień;19;niedziela;0,0270;0,1864;0,7866; 52;29
Lithuania;2020-04-20;1326;  28;37;2; 242; 0;1047;  26;2020;kwiecień;20;poniedziałek;0,0279;0,1825;0,7896; 53;30
Lithuania;2020-04-21;1350;  24;38;1; 298;56;1014; -33;2020;kwiecień;21;wtorek;0,0281;0,2207;0,7511; 54;31
Lithuania;2020-04-22;1370;  20;38;0; 357;59; 975; -39;2020;kwiecień;22;środa;0,0277;0,2606;0,7117; 55;32
Lithuania;2020-04-23;1398;  28;40;2; 399;42; 959; -16;2020;kwiecień;23;czwartek;0,0286;0,2854;0,6860; 56;33
Lithuania;2020-04-24;1410;  12;40;0; 430;31; 940; -19;2020;kwiecień;24;piątek;0,0284;0,3050;0,6667; 57;34
Lithuania;2020-04-25;1426;  16;41;1; 460;30; 925; -15;2020;kwiecień;25;sobota;0,0288;0,3226;0,6487; 58;35
Lithuania;2020-04-26;1438;  12;41;0; 467; 7; 930;   5;2020;kwiecień;26;niedziela;0,0285;0,3248;0,6467; 59;36
Lithuania;2020-04-27;1449;  11;41;0; 474; 7; 934;   4;2020;kwiecień;27;poniedziałek;0,0283;0,3271;0,6446; 60;37
Lithuania;2020-04-28;1344;-105;44;3; 536;62; 764;-170;2020;kwiecień;28;wtorek;0,0327;0,3988;0,5685; 61;38
Lithuania;2020-04-29;1375;  31;45;1; 563;27; 767;   3;2020;kwiecień;29;środa;0,0327;0,4095;0,5578; 62;39
Lithuania;2020-04-30;1385;  10;45;0; 589;26; 751; -16;2020;kwiecień;30;czwartek;0,0325;0,4253;0,5422; 63;40
Lithuania;2020-05-01;1399;  14;45;0; 594; 5; 760;   9;2020;maj; 1;piątek;0,0322;0,4246;0,5432; 64;41
Lithuania;2020-05-02;1406;   7;46;1; 632;38; 728; -32;2020;maj; 2;sobota;0,0327;0,4495;0,5178; 65;42
Lithuania;2020-05-03;1410;   4;46;0; 635; 3; 729;   1;2020;maj; 3;niedziela;0,0326;0,4504;0,5170; 66;43
Lithuania;2020-05-04;1419;   9;46;0; 638; 3; 735;   6;2020;maj; 4;poniedziałek;0,0324;0,4496;0,5180; 67;44
Lithuania;2020-05-05;1423;   4;46;0; 678;40; 699; -36;2020;maj; 5;wtorek;0,0323;0,4765;0,4912; 68;45
Lithuania;2020-05-06;1428;   5;48;2; 718;40; 662; -37;2020;maj; 6;środa;0,0336;0,5028;0,4636; 69;46
Lithuania;2020-05-07;1433;   5;49;1; 739;21; 645; -17;2020;maj; 7;czwartek;0,0342;0,5157;0,4501; 70;47
Lithuania;2020-05-08;1436;   3;49;0; 765;26; 622; -23;2020;maj; 8;piątek;0,0341;0,5327;0,4331; 71;48
Lithuania;2020-05-09;1444;   8;49;0; 828;63; 567; -55;2020;maj; 9;sobota;0,0339;0,5734;0,3927; 72;49
Lithuania;2020-05-10;1479;  35;50;1; 828; 0; 601;  34;2020;maj;10;niedziela;0,0338;0,5598;0,4064; 73;50
Lithuania;2020-05-11;1485;   6;50;0; 833; 5; 602;   1;2020;maj;11;poniedziałek;0,0337;0,5609;0,4054; 74;51
Lithuania;2020-05-12;1491;   6;50;0; 850;17; 591; -11;2020;maj;12;wtorek;0,0335;0,5701;0,3964; 75;52
Lithuania;2020-05-13;1505;  14;54;4; 908;58; 543; -48;2020;maj;13;środa;0,0359;0,6033;0,3608; 76;53
Lithuania;2020-05-14;1511;   6;54;0; 934;26; 523; -20;2020;maj;14;czwartek;0,0357;0,6181;0,3461; 77;54
Lithuania;2020-05-15;1523;  12;54;0; 965;31; 504; -19;2020;maj;15;piątek;0,0355;0,6336;0,3309; 78;55
Lithuania;2020-05-16;1534;  11;55;1; 988;23; 491; -13;2020;maj;16;sobota;0,0359;0,6441;0,3201; 79;56
Lithuania;2020-05-17;1541;   7;56;1; 997; 9; 488;  -3;2020;maj;17;niedziela;0,0363;0,6470;0,3167; 80;57
Lithuania;2020-05-18;1547;   6;59;3; 997; 0; 491;   3;2020;maj;18;poniedziałek;0,0381;0,6445;0,3174; 81;58
Lithuania;2020-05-19;1562;  15;60;1;1025;28; 477; -14;2020;maj;19;wtorek;0,0384;0,6562;0,3054; 82;59
Lithuania;2020-05-20;1577;  15;60;0;1049;24; 468;  -9;2020;maj;20;środa;0,0380;0,6652;0,2968; 83;60
Lithuania;2020-05-21;1593;  16;61;1;1049; 0; 483;  15;2020;maj;21;czwartek;0,0383;0,6585;0,3032; 84;61
Lithuania;2020-05-22;1604;  11;61;0;1111;62; 432; -51;2020;maj;22;piątek;0,0380;0,6926;0,2693; 85;62
Lithuania;2020-05-23;1616;  12;63;2;1135;24; 418; -14;2020;maj;23;sobota;0,0390;0,7024;0,2587; 86;63
Lithuania;2020-05-24;1623;   7;63;0;1138; 3; 422;   4;2020;maj;24;niedziela;0,0388;0,7012;0,2600; 87;64
