Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
MS Zaandam;2020-03-28;2;2;0;0;0;0;2; 2;2020;marzec;28;sobota;0,0000;0,0000;1,0000;  1;0;  2;126,5;126,5;  2,0
MS Zaandam;2020-03-29;2;0;0;0;0;0;2; 0;2020;marzec;29;niedziela;0,0000;0,0000;1,0000;  2;0;127;126,5;126,5;126,5
MS Zaandam;2020-03-30;2;0;0;0;0;0;2; 0;2020;marzec;30;poniedziałek;0,0000;0,0000;1,0000;  3;0;127;126,5;126,5;126,5
MS Zaandam;2020-03-31;2;0;0;0;0;0;2; 0;2020;marzec;31;wtorek;0,0000;0,0000;1,0000;  4;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-01;9;7;2;2;0;0;7; 5;2020;kwiecień; 1;środa;0,2222;0,0000;0,7778;  5;0;  1;  1,0;126,5;  1,0
MS Zaandam;2020-04-02;9;0;2;0;0;0;7; 0;2020;kwiecień; 2;czwartek;0,2222;0,0000;0,7778;  6;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-03;9;0;2;0;0;0;7; 0;2020;kwiecień; 3;piątek;0,2222;0,0000;0,7778;  7;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-04;9;0;2;0;0;0;7; 0;2020;kwiecień; 4;sobota;0,2222;0,0000;0,7778;  8;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-05;9;0;2;0;0;0;7; 0;2020;kwiecień; 5;niedziela;0,2222;0,0000;0,7778;  9;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-06;9;0;2;0;0;0;7; 0;2020;kwiecień; 6;poniedziałek;0,2222;0,0000;0,7778; 10;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-07;9;0;2;0;0;0;7; 0;2020;kwiecień; 7;wtorek;0,2222;0,0000;0,7778; 11;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-08;9;0;2;0;0;0;7; 0;2020;kwiecień; 8;środa;0,2222;0,0000;0,7778; 12;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-09;9;0;2;0;0;0;7; 0;2020;kwiecień; 9;czwartek;0,2222;0,0000;0,7778; 13;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-10;9;0;2;0;0;0;7; 0;2020;kwiecień;10;piątek;0,2222;0,0000;0,7778; 14;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-11;9;0;2;0;0;0;7; 0;2020;kwiecień;11;sobota;0,2222;0,0000;0,7778; 15;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-12;9;0;2;0;0;0;7; 0;2020;kwiecień;12;niedziela;0,2222;0,0000;0,7778; 16;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-13;9;0;2;0;0;0;7; 0;2020;kwiecień;13;poniedziałek;0,2222;0,0000;0,7778; 17;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-14;9;0;2;0;0;0;7; 0;2020;kwiecień;14;wtorek;0,2222;0,0000;0,7778; 18;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-15;9;0;2;0;0;0;7; 0;2020;kwiecień;15;środa;0,2222;0,0000;0,7778; 19;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-16;9;0;2;0;0;0;7; 0;2020;kwiecień;16;czwartek;0,2222;0,0000;0,7778; 20;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-17;9;0;2;0;0;0;7; 0;2020;kwiecień;17;piątek;0,2222;0,0000;0,7778; 21;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-18;9;0;2;0;0;0;7; 0;2020;kwiecień;18;sobota;0,2222;0,0000;0,7778; 22;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-19;9;0;2;0;0;0;7; 0;2020;kwiecień;19;niedziela;0,2222;0,0000;0,7778; 23;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-20;9;0;2;0;0;0;7; 0;2020;kwiecień;20;poniedziałek;0,2222;0,0000;0,7778; 24;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-21;9;0;2;0;0;0;7; 0;2020;kwiecień;21;wtorek;0,2222;0,0000;0,7778; 25;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-22;9;0;2;0;0;0;7; 0;2020;kwiecień;22;środa;0,2222;0,0000;0,7778; 26;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-23;9;0;2;0;0;0;7; 0;2020;kwiecień;23;czwartek;0,2222;0,0000;0,7778; 27;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-24;9;0;2;0;0;0;7; 0;2020;kwiecień;24;piątek;0,2222;0,0000;0,7778; 28;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-25;9;0;2;0;0;0;7; 0;2020;kwiecień;25;sobota;0,2222;0,0000;0,7778; 29;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-26;9;0;2;0;0;0;7; 0;2020;kwiecień;26;niedziela;0,2222;0,0000;0,7778; 30;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-27;9;0;2;0;0;0;7; 0;2020;kwiecień;27;poniedziałek;0,2222;0,0000;0,7778; 31;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-28;9;0;2;0;0;0;7; 0;2020;kwiecień;28;wtorek;0,2222;0,0000;0,7778; 32;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-29;9;0;2;0;0;0;7; 0;2020;kwiecień;29;środa;0,2222;0,0000;0,7778; 33;0;127;126,5;126,5;126,5
MS Zaandam;2020-04-30;9;0;2;0;0;0;7; 0;2020;kwiecień;30;czwartek;0,2222;0,0000;0,7778; 34;0;127;126,5;126,5;126,5
MS Zaandam;2020-05-01;9;0;2;0;0;0;7; 0;2020;maj; 1;piątek;0,2222;0,0000;0,7778; 35;0;127;126,5;126,5;126,5
