Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Malawi;2020-04-02;   3;  3;  0; 0;   0;  0;   3;   3;2020;kwiecień; 2;czwartek;0,0000;0,0000;1,0000;  1;  0;111,5
Malawi;2020-04-03;   3;  0;  0; 0;   0;  0;   3;   0;2020;kwiecień; 3;piątek;0,0000;0,0000;1,0000;  2;  0;151,5
Malawi;2020-04-04;   4;  1;  0; 0;   0;  0;   4;   1;2020;kwiecień; 4;sobota;0,0000;0,0000;1,0000;  3;  0;127,5
Malawi;2020-04-05;   4;  0;  0; 0;   0;  0;   4;   0;2020;kwiecień; 5;niedziela;0,0000;0,0000;1,0000;  4;  0;151,5
Malawi;2020-04-06;   5;  1;  0; 0;   0;  0;   5;   1;2020;kwiecień; 6;poniedziałek;0,0000;0,0000;1,0000;  5;  0;127,5
Malawi;2020-04-07;   8;  3;  1; 1;   0;  0;   7;   2;2020;kwiecień; 7;wtorek;0,1250;0,0000;0,8750;  6;  0;111,5
Malawi;2020-04-08;   8;  0;  1; 0;   0;  0;   7;   0;2020;kwiecień; 8;środa;0,1250;0,0000;0,8750;  7;  0;151,5
Malawi;2020-04-09;   8;  0;  1; 0;   0;  0;   7;   0;2020;kwiecień; 9;czwartek;0,1250;0,0000;0,8750;  8;  0;151,5
Malawi;2020-04-10;   9;  1;  1; 0;   0;  0;   8;   1;2020;kwiecień;10;piątek;0,1111;0,0000;0,8889;  9;  0;127,5
Malawi;2020-04-11;  12;  3;  2; 1;   0;  0;  10;   2;2020;kwiecień;11;sobota;0,1667;0,0000;0,8333; 10;  0;111,5
Malawi;2020-04-12;  13;  1;  2; 0;   0;  0;  11;   1;2020;kwiecień;12;niedziela;0,1538;0,0000;0,8462; 11;  0;127,5
Malawi;2020-04-13;  16;  3;  2; 0;   0;  0;  14;   3;2020;kwiecień;13;poniedziałek;0,1250;0,0000;0,8750; 12;  0;111,5
Malawi;2020-04-14;  16;  0;  2; 0;   0;  0;  14;   0;2020;kwiecień;14;wtorek;0,1250;0,0000;0,8750; 13;  0;151,5
Malawi;2020-04-15;  16;  0;  2; 0;   0;  0;  14;   0;2020;kwiecień;15;środa;0,1250;0,0000;0,8750; 14;  0;151,5
Malawi;2020-04-16;  16;  0;  2; 0;   0;  0;  14;   0;2020;kwiecień;16;czwartek;0,1250;0,0000;0,8750; 15;  0;151,5
Malawi;2020-04-17;  17;  1;  2; 0;   3;  3;  12;  -2;2020;kwiecień;17;piątek;0,1176;0,1765;0,7059; 16;  0;127,5
Malawi;2020-04-18;  17;  0;  2; 0;   3;  0;  12;   0;2020;kwiecień;18;sobota;0,1176;0,1765;0,7059; 17;  0;151,5
Malawi;2020-04-19;  17;  0;  2; 0;   3;  0;  12;   0;2020;kwiecień;19;niedziela;0,1176;0,1765;0,7059; 18;  0;151,5
Malawi;2020-04-20;  17;  0;  2; 0;   3;  0;  12;   0;2020;kwiecień;20;poniedziałek;0,1176;0,1765;0,7059; 19;  0;151,5
Malawi;2020-04-21;  18;  1;  2; 0;   3;  0;  13;   1;2020;kwiecień;21;wtorek;0,1111;0,1667;0,7222; 20;  0;127,5
Malawi;2020-04-22;  23;  5;  3; 1;   3;  0;  17;   4;2020;kwiecień;22;środa;0,1304;0,1304;0,7391; 21;  0;102,0
Malawi;2020-04-23;  33; 10;  3; 0;   3;  0;  27;  10;2020;kwiecień;23;czwartek;0,0909;0,0909;0,8182; 22;  0; 86,0
Malawi;2020-04-24;  33;  0;  3; 0;   4;  1;  26;  -1;2020;kwiecień;24;piątek;0,0909;0,1212;0,7879; 23;  0;151,5
Malawi;2020-04-25;  33;  0;  3; 0;   4;  0;  26;   0;2020;kwiecień;25;sobota;0,0909;0,1212;0,7879; 24;  0;151,5
Malawi;2020-04-26;  34;  1;  3; 0;   4;  0;  27;   1;2020;kwiecień;26;niedziela;0,0882;0,1176;0,7941; 25;  0;127,5
Malawi;2020-04-27;  36;  2;  3; 0;   4;  0;  29;   2;2020;kwiecień;27;poniedziałek;0,0833;0,1111;0,8056; 26;  0;118,0
Malawi;2020-04-28;  36;  0;  3; 0;   5;  1;  28;  -1;2020;kwiecień;28;wtorek;0,0833;0,1389;0,7778; 27;  0;151,5
Malawi;2020-04-29;  36;  0;  3; 0;   7;  2;  26;  -2;2020;kwiecień;29;środa;0,0833;0,1944;0,7222; 28;  0;151,5
Malawi;2020-04-30;  37;  1;  3; 0;   7;  0;  27;   1;2020;kwiecień;30;czwartek;0,0811;0,1892;0,7297; 29;  0;127,5
Malawi;2020-05-01;  37;  0;  3; 0;   9;  2;  25;  -2;2020;maj; 1;piątek;0,0811;0,2432;0,6757; 30;  0;151,5
Malawi;2020-05-02;  38;  1;  3; 0;   9;  0;  26;   1;2020;maj; 2;sobota;0,0789;0,2368;0,6842; 31;  0;127,5
Malawi;2020-05-03;  39;  1;  3; 0;   9;  0;  27;   1;2020;maj; 3;niedziela;0,0769;0,2308;0,6923; 32;  0;127,5
Malawi;2020-05-04;  41;  2;  3; 0;   9;  0;  29;   2;2020;maj; 4;poniedziałek;0,0732;0,2195;0,7073; 33;  0;118,0
Malawi;2020-05-05;  41;  0;  3; 0;   9;  0;  29;   0;2020;maj; 5;wtorek;0,0732;0,2195;0,7073; 34;  0;151,5
Malawi;2020-05-06;  43;  2;  3; 0;   9;  0;  31;   2;2020;maj; 6;środa;0,0698;0,2093;0,7209; 35;  0;118,0
Malawi;2020-05-07;  43;  0;  3; 0;  14;  5;  26;  -5;2020;maj; 7;czwartek;0,0698;0,3256;0,6047; 36;  0;151,5
Malawi;2020-05-08;  43;  0;  3; 0;  14;  0;  26;   0;2020;maj; 8;piątek;0,0698;0,3256;0,6047; 37;  0;151,5
Malawi;2020-05-09;  56; 13;  3; 0;  14;  0;  39;  13;2020;maj; 9;sobota;0,0536;0,2500;0,6964; 38;  0; 81,0
Malawi;2020-05-10;  56;  0;  3; 0;  14;  0;  39;   0;2020;maj;10;niedziela;0,0536;0,2500;0,6964; 39;  0;151,5
Malawi;2020-05-11;  57;  1;  3; 0;  24; 10;  30;  -9;2020;maj;11;poniedziałek;0,0526;0,4211;0,5263; 40;  0;127,5
Malawi;2020-05-12;  57;  0;  3; 0;  24;  0;  30;   0;2020;maj;12;wtorek;0,0526;0,4211;0,5263; 41;  0;151,5
Malawi;2020-05-13;  63;  6;  3; 0;  24;  0;  36;   6;2020;maj;13;środa;0,0476;0,3810;0,5714; 42;  0; 97,0
Malawi;2020-05-14;  63;  0;  3; 0;  24;  0;  36;   0;2020;maj;14;czwartek;0,0476;0,3810;0,5714; 43;  0;151,5
Malawi;2020-05-15;  63;  0;  3; 0;  24;  0;  36;   0;2020;maj;15;piątek;0,0476;0,3810;0,5714; 44;  0;151,5
Malawi;2020-05-16;  65;  2;  3; 0;  24;  0;  38;   2;2020;maj;16;sobota;0,0462;0,3692;0,5846; 45;  0;118,0
Malawi;2020-05-17;  70;  5;  3; 0;  27;  3;  40;   2;2020;maj;17;niedziela;0,0429;0,3857;0,5714; 46;  0;102,0
Malawi;2020-05-18;  70;  0;  3; 0;  27;  0;  40;   0;2020;maj;18;poniedziałek;0,0429;0,3857;0,5714; 47;  0;151,5
Malawi;2020-05-19;  70;  0;  3; 0;  27;  0;  40;   0;2020;maj;19;wtorek;0,0429;0,3857;0,5714; 48;  0;151,5
Malawi;2020-05-20;  71;  1;  3; 0;  27;  0;  41;   1;2020;maj;20;środa;0,0423;0,3803;0,5775; 49;  0;127,5
Malawi;2020-05-21;  72;  1;  3; 0;  27;  0;  42;   1;2020;maj;21;czwartek;0,0417;0,3750;0,5833; 50;  0;127,5
Malawi;2020-05-22;  82; 10;  3; 0;  28;  1;  51;   9;2020;maj;22;piątek;0,0366;0,3415;0,6220; 51;  0; 86,0
Malawi;2020-05-23;  82;  0;  3; 0;  28;  0;  51;   0;2020;maj;23;sobota;0,0366;0,3415;0,6220; 52;  0;151,5
Malawi;2020-05-24;  83;  1;  4; 1;  33;  5;  46;  -5;2020;maj;24;niedziela;0,0482;0,3976;0,5542; 53;  0;127,5
Malawi;2020-05-25; 101; 18;  4; 0;  33;  0;  64;  18;2020;maj;25;poniedziałek;0,0396;0,3267;0,6337; 54;  1; 74,5
Malawi;2020-05-26; 101;  0;  4; 0;  37;  4;  60;  -4;2020;maj;26;wtorek;0,0396;0,3663;0,5941; 55;  2;151,5
Malawi;2020-05-27; 101;  0;  4; 0;  37;  0;  60;   0;2020;maj;27;środa;0,0396;0,3663;0,5941; 56;  3;151,5
Malawi;2020-05-28; 203;102;  4; 0;  37;  0; 162; 102;2020;maj;28;czwartek;0,0197;0,1823;0,7980; 57;  4; 18,0
Malawi;2020-05-29; 273; 70;  4; 0;  42;  5; 227;  65;2020;maj;29;piątek;0,0147;0,1538;0,8315; 58;  5; 30,0
Malawi;2020-05-30; 279;  6;  4; 0;  42;  0; 233;   6;2020;maj;30;sobota;0,0143;0,1505;0,8351; 59;  6; 97,0
Malawi;2020-05-31; 284;  5;  4; 0;  42;  0; 238;   5;2020;maj;31;niedziela;0,0141;0,1479;0,8380; 60;  7;102,0
Malawi;2020-06-01; 336; 52;  4; 0;  42;  0; 290;  52;2020;czerwiec; 1;poniedziałek;0,0119;0,1250;0,8631; 61;  8; 40,0
Malawi;2020-06-02; 358; 22;  4; 0;  42;  0; 312;  22;2020;czerwiec; 2;wtorek;0,0112;0,1173;0,8715; 62;  9; 69,5
Malawi;2020-06-03; 369; 11;  4; 0;  51;  9; 314;   2;2020;czerwiec; 3;środa;0,0108;0,1382;0,8509; 63; 10; 84,0
Malawi;2020-06-04; 393; 24;  4; 0;  51;  0; 338;  24;2020;czerwiec; 4;czwartek;0,0102;0,1298;0,8601; 64; 11; 66,5
Malawi;2020-06-05; 409; 16;  4; 0;  55;  4; 350;  12;2020;czerwiec; 5;piątek;0,0098;0,1345;0,8557; 65; 12; 76,5
Malawi;2020-06-06; 409;  0;  4; 0;  55;  0; 350;   0;2020;czerwiec; 6;sobota;0,0098;0,1345;0,8557; 66; 13;151,5
Malawi;2020-06-07; 438; 29;  4; 0;  55;  0; 379;  29;2020;czerwiec; 7;niedziela;0,0091;0,1256;0,8653; 67; 14; 61,5
Malawi;2020-06-08; 443;  5;  4; 0;  55;  0; 384;   5;2020;czerwiec; 8;poniedziałek;0,0090;0,1242;0,8668; 68; 15;102,0
Malawi;2020-06-09; 455; 12;  4; 0;  55;  0; 396;  12;2020;czerwiec; 9;wtorek;0,0088;0,1209;0,8703; 69; 16; 82,5
Malawi;2020-06-10; 455;  0;  4; 0;  55;  0; 396;   0;2020;czerwiec;10;środa;0,0088;0,1209;0,8703; 70; 17;151,5
Malawi;2020-06-11; 481; 26;  4; 0;  55;  0; 422;  26;2020;czerwiec;11;czwartek;0,0083;0,1143;0,8773; 71; 18; 65,0
Malawi;2020-06-12; 481;  0;  4; 0;  65; 10; 412; -10;2020;czerwiec;12;piątek;0,0083;0,1351;0,8565; 72; 19;151,5
Malawi;2020-06-13; 529; 48;  5; 1;  66;  1; 458;  46;2020;czerwiec;13;sobota;0,0095;0,1248;0,8658; 73; 20; 43,0
Malawi;2020-06-14; 547; 18;  6; 1;  69;  3; 472;  14;2020;czerwiec;14;niedziela;0,0110;0,1261;0,8629; 74; 21; 74,5
Malawi;2020-06-15; 555;  8;  6; 0;  69;  0; 480;   8;2020;czerwiec;15;poniedziałek;0,0108;0,1243;0,8649; 75; 22; 92,0
Malawi;2020-06-16; 564;  9;  6; 0;  73;  4; 485;   5;2020;czerwiec;16;wtorek;0,0106;0,1294;0,8599; 76; 23; 89,0
Malawi;2020-06-17; 572;  8;  6; 0;  73;  0; 493;   8;2020;czerwiec;17;środa;0,0105;0,1276;0,8619; 77; 24; 92,0
Malawi;2020-06-18; 592; 20;  8; 2;  74;  1; 510;  17;2020;czerwiec;18;czwartek;0,0135;0,1250;0,8615; 78; 25; 71,0
Malawi;2020-06-19; 620; 28;  8; 0;  91; 17; 521;  11;2020;czerwiec;19;piątek;0,0129;0,1468;0,8403; 79; 26; 63,0
Malawi;2020-06-20; 620;  0;  8; 0;  91;  0; 521;   0;2020;czerwiec;20;sobota;0,0129;0,1468;0,8403; 80; 27;151,5
