Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Netherlands;2020-02-27;      1;    1;    0;  0;    0;   0;      1;    1;2020;luty;27;czwartek;0,0000;0,0000;1,0000;  1;  0;481,0;463,0;423,0;481,0
Netherlands;2020-02-28;      1;    0;    0;  0;    0;   0;      1;    0;2020;luty;28;piątek;0,0000;0,0000;1,0000;  2;  0;482,5;463,0;423,0;482,5
Netherlands;2020-02-29;      6;    5;    0;  0;    0;   0;      6;    5;2020;luty;29;sobota;0,0000;0,0000;1,0000;  3;  0;479,0;463,0;423,0;479,0
Netherlands;2020-03-01;     10;    4;    0;  0;    0;   0;     10;    4;2020;marzec; 1;niedziela;0,0000;0,0000;1,0000;  4;  0;480,0;463,0;423,0;480,0
Netherlands;2020-03-02;     18;    8;    0;  0;    0;   0;     18;    8;2020;marzec; 2;poniedziałek;0,0000;0,0000;1,0000;  5;  0;477,0;463,0;423,0;477,0
Netherlands;2020-03-03;     24;    6;    0;  0;    0;   0;     24;    6;2020;marzec; 3;wtorek;0,0000;0,0000;1,0000;  6;  0;478,0;463,0;423,0;478,0
Netherlands;2020-03-04;     38;   14;    0;  0;    0;   0;     38;   14;2020;marzec; 4;środa;0,0000;0,0000;1,0000;  7;  0;476,0;463,0;423,0;476,0
Netherlands;2020-03-05;     82;   44;    0;  0;    0;   0;     82;   44;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000;  8;  0;472,0;463,0;423,0;471,5
Netherlands;2020-03-06;    128;   46;    1;  1;    0;   0;    127;   45;2020;marzec; 6;piątek;0,0078;0,0000;0,9922;  9;  1;471,0;436,0;423,0;470,0
Netherlands;2020-03-07;    188;   60;    1;  0;    0;   0;    187;   60;2020;marzec; 7;sobota;0,0053;0,0000;0,9947; 10;  2;465,0;463,0;423,0;462,0
Netherlands;2020-03-08;    265;   77;    3;  2;    0;   0;    262;   75;2020;marzec; 8;niedziela;0,0113;0,0000;0,9887; 11;  3;453,0;413,5;423,0;452,5
Netherlands;2020-03-09;    321;   56;    3;  0;    0;   0;    318;   56;2020;marzec; 9;poniedziałek;0,0093;0,0000;0,9907; 12;  4;466,0;463,0;423,0;466,0
Netherlands;2020-03-10;    382;   61;    4;  1;    0;   0;    378;   60;2020;marzec;10;wtorek;0,0105;0,0000;0,9895; 13;  5;464,0;436,0;423,0;462,0
Netherlands;2020-03-11;    503;  121;    5;  1;    0;   0;    498;  120;2020;marzec;11;środa;0,0099;0,0000;0,9901; 14;  6;434,0;436,0;423,0;431,0
Netherlands;2020-03-12;    503;    0;    5;  0;    0;   0;    498;    0;2020;marzec;12;czwartek;0,0099;0,0000;0,9901; 15;  7;482,5;463,0;423,0;482,5
Netherlands;2020-03-13;    806;  303;   10;  5;    0;   0;    796;  298;2020;marzec;13;piątek;0,0124;0,0000;0,9876; 16;  8;379,0;359,0;423,0;375,0
Netherlands;2020-03-14;    962;  156;   12;  2;    0;   0;    950;  154;2020;marzec;14;sobota;0,0125;0,0000;0,9875; 17;  9;423,0;413,5;423,0;416,0
Netherlands;2020-03-15;   1138;  176;   20;  8;    0;   0;   1118;  168;2020;marzec;15;niedziela;0,0176;0,0000;0,9824; 18; 10;411,5;333,5;423,0;404,0
Netherlands;2020-03-16;   1416;  278;   24;  4;    0;   0;   1392;  274;2020;marzec;16;poniedziałek;0,0169;0,0000;0,9831; 19; 11;383,0;373,5;423,0;378,0
Netherlands;2020-03-17;   1711;  295;   43; 19;    0;   0;   1668;  276;2020;marzec;17;wtorek;0,0251;0,0000;0,9749; 20; 12;380,0;263,5;423,0;376,0
Netherlands;2020-03-18;   2058;  347;   58; 15;    0;   0;   2000;  332;2020;marzec;18;środa;0,0282;0,0000;0,9718; 21; 13;373,0;288,5;423,0;374,0
Netherlands;2020-03-19;   2467;  409;   77; 19;    0;   0;   2390;  390;2020;marzec;19;czwartek;0,0312;0,0000;0,9688; 22; 14;367,0;263,5;423,0;363,0
Netherlands;2020-03-20;   3003;  536;  107; 30;    0;   0;   2896;  506;2020;marzec;20;piątek;0,0356;0,0000;0,9644; 23; 15;356,0;202,0;423,0;354,0
Netherlands;2020-03-21;   3640;  637;  137; 30;    0;   0;   3503;  607;2020;marzec;21;sobota;0,0376;0,0000;0,9624; 24; 16;340,0;202,0;423,0;333,0
Netherlands;2020-03-22;   4217;  577;  180; 43;    0;   0;   4037;  534;2020;marzec;22;niedziela;0,0427;0,0000;0,9573; 25; 17;348,0;158,0;423,0;349,0
Netherlands;2020-03-23;   4764;  547;  214; 34;    0;   0;   4550;  513;2020;marzec;23;poniedziałek;0,0449;0,0000;0,9551; 26; 18;355,0;178,5;423,0;351,0
Netherlands;2020-03-24;   5580;  816;  277; 63;    1;   1;   5302;  752;2020;marzec;24;wtorek;0,0496;0,0002;0,9502; 27; 19;315,0;111,5;355,5;310,0
Netherlands;2020-03-25;   6438;  858;  357; 80;    1;   0;   6080;  778;2020;marzec;25;środa;0,0555;0,0002;0,9444; 28; 20;310,5; 82,0;423,0;308,0
Netherlands;2020-03-26;   7468; 1030;  435; 78;    3;   2;   7030;  950;2020;marzec;26;czwartek;0,0582;0,0004;0,9413; 29; 21;297,0; 84,0;342,0;294,0
Netherlands;2020-03-27;   8647; 1179;  547;112;    3;   0;   8097; 1067;2020;marzec;27;piątek;0,0633;0,0003;0,9364; 30; 22;282,0; 33,0;423,0;284,5
Netherlands;2020-03-28;   9819; 1172;  640; 93;    3;   0;   9176; 1079;2020;marzec;28;sobota;0,0652;0,0003;0,9345; 31; 23;284,0; 49,5;423,0;282,0
Netherlands;2020-03-29;  10930; 1111;  772;132;    3;   0;  10155;  979;2020;marzec;29;niedziela;0,0706;0,0003;0,9291; 32; 24;287,0; 22,0;423,0;293,0
Netherlands;2020-03-30;  11817;  887;  865; 93;    3;   0;  10949;  794;2020;marzec;30;poniedziałek;0,0732;0,0003;0,9265; 33; 25;307,0; 49,5;423,0;306,0
Netherlands;2020-03-31;  12667;  850; 1040;175;    3;   0;  11624;  675;2020;marzec;31;wtorek;0,0821;0,0002;0,9177; 34; 26;312,0;  4,0;423,0;324,5
Netherlands;2020-04-01;  13696; 1029; 1175;135;   10;   7;  12511;  887;2020;kwiecień; 1;środa;0,0858;0,0007;0,9135; 35; 27;298,0; 20,0;314,0;297,5
Netherlands;2020-04-02;  14788; 1092; 1341;166;   10;   0;  13437;  926;2020;kwiecień; 2;czwartek;0,0907;0,0007;0,9086; 36; 28;288,0;  7,5;423,0;296,0
Netherlands;2020-04-03;  15821; 1033; 1490;149;   10;   0;  14321;  884;2020;kwiecień; 3;piątek;0,0942;0,0006;0,9052; 37; 29;296,0; 12,0;423,0;299,0
Netherlands;2020-04-04;  16727;  906; 1656;166;   12;   2;  15059;  738;2020;kwiecień; 4;sobota;0,0990;0,0007;0,9003; 38; 30;304,0;  7,5;342,0;312,0
Netherlands;2020-04-05;  17953; 1226; 1771;115;    7;  -5;  16175; 1116;2020;kwiecień; 5;niedziela;0,0986;0,0004;0,9010; 39; 31;279,0; 29,0;483,0;280,0
Netherlands;2020-04-06;  18926;  973; 1874;103;    8;   1;  17044;  869;2020;kwiecień; 6;poniedziałek;0,0990;0,0004;0,9006; 40; 32;299,5; 39,0;355,5;302,0
Netherlands;2020-04-07;  19709;  783; 2108;234;   22;  14;  17579;  535;2020;kwiecień; 7;wtorek;0,1070;0,0011;0,8919; 41; 33;317,0;  1,0;292,0;347,5
Netherlands;2020-04-08;  20682;  973; 2255;147;   22;   0;  18405;  826;2020;kwiecień; 8;środa;0,1090;0,0011;0,8899; 42; 34;299,5; 14,0;423,0;305,0
Netherlands;2020-04-09;  21903; 1221; 2403;148;   28;   6;  19472; 1067;2020;kwiecień; 9;czwartek;0,1097;0,0013;0,8890; 43; 35;280,0; 13,0;322,0;284,5
Netherlands;2020-04-10;  23249; 1346; 2520;117;   37;   9;  20692; 1220;2020;kwiecień;10;piątek;0,1084;0,0016;0,8900; 44; 36;272,0; 28,0;304,5;274,0
Netherlands;2020-04-11;  24571; 1322; 2653;133;   41;   4;  21877; 1185;2020;kwiecień;11;sobota;0,1080;0,0017;0,8904; 45; 37;275,0; 21,0;332,5;278,0
