Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
New Zealand;2020-02-28;   1; 1; 0;0;   0;  0;  1;  1;2020;luty;28;piątek;0,0000;0,0000;1,0000;  1;  0;121,0
New Zealand;2020-02-29;   1; 0; 0;0;   0;  0;  1;  0;2020;luty;29;sobota;0,0000;0,0000;1,0000;  2;  0;168,0
New Zealand;2020-03-01;   1; 0; 0;0;   0;  0;  1;  0;2020;marzec; 1;niedziela;0,0000;0,0000;1,0000;  3;  0;168,0
New Zealand;2020-03-02;   1; 0; 0;0;   0;  0;  1;  0;2020;marzec; 2;poniedziałek;0,0000;0,0000;1,0000;  4;  0;168,0
New Zealand;2020-03-03;   1; 0; 0;0;   0;  0;  1;  0;2020;marzec; 3;wtorek;0,0000;0,0000;1,0000;  5;  0;168,0
New Zealand;2020-03-04;   3; 2; 0;0;   0;  0;  3;  2;2020;marzec; 4;środa;0,0000;0,0000;1,0000;  6;  0; 93,0
New Zealand;2020-03-05;   3; 0; 0;0;   0;  0;  3;  0;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000;  7;  0;168,0
New Zealand;2020-03-06;   4; 1; 0;0;   0;  0;  4;  1;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  8;  0;121,0
New Zealand;2020-03-07;   5; 1; 0;0;   0;  0;  5;  1;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  9;  0;121,0
New Zealand;2020-03-08;   5; 0; 0;0;   0;  0;  5;  0;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000; 10;  0;168,0
New Zealand;2020-03-09;   5; 0; 0;0;   0;  0;  5;  0;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000; 11;  0;168,0
New Zealand;2020-03-10;   5; 0; 0;0;   0;  0;  5;  0;2020;marzec;10;wtorek;0,0000;0,0000;1,0000; 12;  0;168,0
New Zealand;2020-03-11;   5; 0; 0;0;   0;  0;  5;  0;2020;marzec;11;środa;0,0000;0,0000;1,0000; 13;  0;168,0
New Zealand;2020-03-12;   5; 0; 0;0;   0;  0;  5;  0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000; 14;  0;168,0
New Zealand;2020-03-13;   5; 0; 0;0;   0;  0;  5;  0;2020;marzec;13;piątek;0,0000;0,0000;1,0000; 15;  0;168,0
New Zealand;2020-03-14;   6; 1; 0;0;   0;  0;  6;  1;2020;marzec;14;sobota;0,0000;0,0000;1,0000; 16;  0;121,0
New Zealand;2020-03-15;   8; 2; 0;0;   0;  0;  8;  2;2020;marzec;15;niedziela;0,0000;0,0000;1,0000; 17;  0; 93,0
New Zealand;2020-03-16;   8; 0; 0;0;   0;  0;  8;  0;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000; 18;  0;168,0
New Zealand;2020-03-17;  12; 4; 0;0;   0;  0; 12;  4;2020;marzec;17;wtorek;0,0000;0,0000;1,0000; 19;  0; 66,0
New Zealand;2020-03-18;  20; 8; 0;0;   0;  0; 20;  8;2020;marzec;18;środa;0,0000;0,0000;1,0000; 20;  0; 44,0
New Zealand;2020-03-19;  28; 8; 0;0;   0;  0; 28;  8;2020;marzec;19;czwartek;0,0000;0,0000;1,0000; 21;  0; 44,0
New Zealand;2020-03-20;  39;11; 0;0;   0;  0; 39; 11;2020;marzec;20;piątek;0,0000;0,0000;1,0000; 22;  0; 35,5
New Zealand;2020-03-21;  52;13; 0;0;   0;  0; 52; 13;2020;marzec;21;sobota;0,0000;0,0000;1,0000; 23;  0; 30,0
New Zealand;2020-03-22; 102;50; 0;0;   0;  0;102; 50;2020;marzec;22;niedziela;0,0000;0,0000;1,0000; 24;  1; 16,0
New Zealand;2020-03-23; 102; 0; 0;0;   0;  0;102;  0;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 25;  2;168,0
New Zealand;2020-03-24; 155;53; 0;0;  12; 12;143; 41;2020;marzec;24;wtorek;0,0000;0,0774;0,9226; 26;  3; 14,0
New Zealand;2020-03-25; 205;50; 0;0;  22; 10;183; 40;2020;marzec;25;środa;0,0000;0,1073;0,8927; 27;  4; 16,0
New Zealand;2020-03-26; 283;78; 0;0;  27;  5;256; 73;2020;marzec;26;czwartek;0,0000;0,0954;0,9046; 28;  5;  6,0
New Zealand;2020-03-27; 368;85; 0;0;  37; 10;331; 75;2020;marzec;27;piątek;0,0000;0,1005;0,8995; 29;  6;  3,0
New Zealand;2020-03-28; 451;83; 0;0;  50; 13;401; 70;2020;marzec;28;sobota;0,0000;0,1109;0,8891; 30;  7;  4,0
New Zealand;2020-03-29; 514;63; 1;1;  56;  6;457; 56;2020;marzec;29;niedziela;0,0019;0,1089;0,8891; 31;  8; 10,0
New Zealand;2020-03-30; 589;75; 1;0;  63;  7;525; 68;2020;marzec;30;poniedziałek;0,0017;0,1070;0,8913; 32;  9;  7,0
New Zealand;2020-03-31; 647;58; 1;0;  74; 11;572; 47;2020;marzec;31;wtorek;0,0015;0,1144;0,8841; 33; 10; 12,0
New Zealand;2020-04-01; 708;61; 1;0;  83;  9;624; 52;2020;kwiecień; 1;środa;0,0014;0,1172;0,8814; 34; 11; 11,0
