Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Oman;2020-02-24;    2;   2;  0; 0;    0;   0;    2;    2;2020;luty;24;poniedziałek;0,0000;0,0000;1,0000;  1;  0;172,0
Oman;2020-02-25;    2;   0;  0; 0;    0;   0;    2;    0;2020;luty;25;wtorek;0,0000;0,0000;1,0000;  2;  0;191,5
Oman;2020-02-26;    4;   2;  0; 0;    0;   0;    4;    2;2020;luty;26;środa;0,0000;0,0000;1,0000;  3;  0;172,0
Oman;2020-02-27;    4;   0;  0; 0;    0;   0;    4;    0;2020;luty;27;czwartek;0,0000;0,0000;1,0000;  4;  0;191,5
Oman;2020-02-28;    4;   0;  0; 0;    0;   0;    4;    0;2020;luty;28;piątek;0,0000;0,0000;1,0000;  5;  0;191,5
Oman;2020-02-29;    6;   2;  0; 0;    1;   1;    5;    1;2020;luty;29;sobota;0,0000;0,1667;0,8333;  6;  0;172,0
Oman;2020-03-01;    6;   0;  0; 0;    1;   0;    5;    0;2020;marzec; 1;niedziela;0,0000;0,1667;0,8333;  7;  0;191,5
Oman;2020-03-02;    6;   0;  0; 0;    1;   0;    5;    0;2020;marzec; 2;poniedziałek;0,0000;0,1667;0,8333;  8;  0;191,5
Oman;2020-03-03;   12;   6;  0; 0;    2;   1;   10;    5;2020;marzec; 3;wtorek;0,0000;0,1667;0,8333;  9;  0;165,0
Oman;2020-03-04;   15;   3;  0; 0;    2;   0;   13;    3;2020;marzec; 4;środa;0,0000;0,1333;0,8667; 10;  0;168,0
Oman;2020-03-05;   16;   1;  0; 0;    2;   0;   14;    1;2020;marzec; 5;czwartek;0,0000;0,1250;0,8750; 11;  0;175,5
Oman;2020-03-06;   16;   0;  0; 0;    2;   0;   14;    0;2020;marzec; 6;piątek;0,0000;0,1250;0,8750; 12;  0;191,5
Oman;2020-03-07;   16;   0;  0; 0;    2;   0;   14;    0;2020;marzec; 7;sobota;0,0000;0,1250;0,8750; 13;  0;191,5
Oman;2020-03-08;   16;   0;  0; 0;    2;   0;   14;    0;2020;marzec; 8;niedziela;0,0000;0,1250;0,8750; 14;  0;191,5
Oman;2020-03-09;   16;   0;  0; 0;    2;   0;   14;    0;2020;marzec; 9;poniedziałek;0,0000;0,1250;0,8750; 15;  0;191,5
Oman;2020-03-10;   18;   2;  0; 0;    9;   7;    9;   -5;2020;marzec;10;wtorek;0,0000;0,5000;0,5000; 16;  0;172,0
Oman;2020-03-11;   18;   0;  0; 0;    9;   0;    9;    0;2020;marzec;11;środa;0,0000;0,5000;0,5000; 17;  0;191,5
Oman;2020-03-12;   18;   0;  0; 0;    9;   0;    9;    0;2020;marzec;12;czwartek;0,0000;0,5000;0,5000; 18;  0;191,5
Oman;2020-03-13;   19;   1;  0; 0;    9;   0;   10;    1;2020;marzec;13;piątek;0,0000;0,4737;0,5263; 19;  0;175,5
Oman;2020-03-14;   19;   0;  0; 0;    9;   0;   10;    0;2020;marzec;14;sobota;0,0000;0,4737;0,5263; 20;  0;191,5
Oman;2020-03-15;   22;   3;  0; 0;    9;   0;   13;    3;2020;marzec;15;niedziela;0,0000;0,4091;0,5909; 21;  0;168,0
Oman;2020-03-16;   22;   0;  0; 0;    9;   0;   13;    0;2020;marzec;16;poniedziałek;0,0000;0,4091;0,5909; 22;  0;191,5
Oman;2020-03-17;   24;   2;  0; 0;    9;   0;   15;    2;2020;marzec;17;wtorek;0,0000;0,3750;0,6250; 23;  0;172,0
Oman;2020-03-18;   39;  15;  0; 0;   12;   3;   27;   12;2020;marzec;18;środa;0,0000;0,3077;0,6923; 24;  0;158,0
Oman;2020-03-19;   48;   9;  0; 0;   12;   0;   36;    9;2020;marzec;19;czwartek;0,0000;0,2500;0,7500; 25;  0;164,0
Oman;2020-03-20;   48;   0;  0; 0;   12;   0;   36;    0;2020;marzec;20;piątek;0,0000;0,2500;0,7500; 26;  0;191,5
Oman;2020-03-21;   52;   4;  0; 0;   12;   0;   40;    4;2020;marzec;21;sobota;0,0000;0,2308;0,7692; 27;  0;166,0
Oman;2020-03-22;   55;   3;  0; 0;   17;   5;   38;   -2;2020;marzec;22;niedziela;0,0000;0,3091;0,6909; 28;  0;168,0
Oman;2020-03-23;   66;  11;  0; 0;   17;   0;   49;   11;2020;marzec;23;poniedziałek;0,0000;0,2576;0,7424; 29;  0;162,0
Oman;2020-03-24;   84;  18;  0; 0;   17;   0;   67;   18;2020;marzec;24;wtorek;0,0000;0,2024;0,7976; 30;  0;155,5
Oman;2020-03-25;   99;  15;  0; 0;   17;   0;   82;   15;2020;marzec;25;środa;0,0000;0,1717;0,8283; 31;  0;158,0
Oman;2020-03-26;  109;  10;  0; 0;   23;   6;   86;    4;2020;marzec;26;czwartek;0,0000;0,2110;0,7890; 32;  1;163,0
Oman;2020-03-27;  131;  22;  0; 0;   23;   0;  108;   22;2020;marzec;27;piątek;0,0000;0,1756;0,8244; 33;  2;150,0
Oman;2020-03-28;  152;  21;  0; 0;   23;   0;  129;   21;2020;marzec;28;sobota;0,0000;0,1513;0,8487; 34;  3;152,5
Oman;2020-03-29;  167;  15;  0; 0;   23;   0;  144;   15;2020;marzec;29;niedziela;0,0000;0,1377;0,8623; 35;  4;158,0
Oman;2020-03-30;  179;  12;  0; 0;   29;   6;  150;    6;2020;marzec;30;poniedziałek;0,0000;0,1620;0,8380; 36;  5;161,0
Oman;2020-03-31;  192;  13;  1; 1;   34;   5;  157;    7;2020;marzec;31;wtorek;0,0052;0,1771;0,8177; 37;  6;160,0
