Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Paraguay;2020-03-08;    1;   1;   0; 0;    0;  0;    1;   1;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  1;  0;256,5;215,5;254,0;189,5
Paraguay;2020-03-09;    1;   0;   0; 0;    0;  0;    1;   0;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000;  2;  0;265,5;215,5;254,0;198,0
Paraguay;2020-03-10;    1;   0;   0; 0;    0;  0;    1;   0;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  3;  0;265,5;215,5;254,0;198,0
Paraguay;2020-03-11;    5;   4;   0; 0;    0;  0;    5;   4;2020;marzec;11;środa;0,0000;0,0000;1,0000;  4;  0;234,5;215,5;254,0;173,0
Paraguay;2020-03-12;    5;   0;   0; 0;    0;  0;    5;   0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  5;  0;265,5;215,5;254,0;198,0
Paraguay;2020-03-13;    6;   1;   0; 0;    0;  0;    6;   1;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  6;  0;256,5;215,5;254,0;189,5
Paraguay;2020-03-14;    6;   0;   0; 0;    0;  0;    6;   0;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  7;  0;265,5;215,5;254,0;198,0
Paraguay;2020-03-15;    6;   0;   0; 0;    0;  0;    6;   0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  8;  0;265,5;215,5;254,0;198,0
Paraguay;2020-03-16;    8;   2;   0; 0;    0;  0;    8;   2;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  9;  0;249,5;215,5;254,0;184,0
Paraguay;2020-03-17;    9;   1;   0; 0;    0;  0;    9;   1;2020;marzec;17;wtorek;0,0000;0,0000;1,0000; 10;  0;256,5;215,5;254,0;189,5
