Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Poland;2020-03-04;    1;  1;   0; 0;    0;  0;    1;   1;2020;marzec; 4;środa;0,0000;0,0000;1,0000;  1; 0
Poland;2020-03-05;    1;  0;   0; 0;    0;  0;    1;   0;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000;  2; 0
Poland;2020-03-06;    5;  4;   0; 0;    0;  0;    5;   4;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  3; 0
Poland;2020-03-07;    5;  0;   0; 0;    0;  0;    5;   0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  4; 0
Poland;2020-03-08;   11;  6;   0; 0;    0;  0;   11;   6;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  5; 0
Poland;2020-03-09;   16;  5;   0; 0;    0;  0;   16;   5;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000;  6; 0
Poland;2020-03-10;   22;  6;   0; 0;    0;  0;   22;   6;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  7; 0
Poland;2020-03-11;   31;  9;   0; 0;    0;  0;   31;   9;2020;marzec;11;środa;0,0000;0,0000;1,0000;  8; 0
Poland;2020-03-12;   49; 18;   1; 1;    0;  0;   48;  17;2020;marzec;12;czwartek;0,0204;0,0000;0,9796;  9; 0
Poland;2020-03-13;   68; 19;   2; 1;    0;  0;   66;  18;2020;marzec;13;piątek;0,0294;0,0000;0,9706; 10; 0
Poland;2020-03-14;  103; 35;   3; 1;    0;  0;  100;  34;2020;marzec;14;sobota;0,0291;0,0000;0,9709; 11; 1
Poland;2020-03-15;  119; 16;   3; 0;    0;  0;  116;  16;2020;marzec;15;niedziela;0,0252;0,0000;0,9748; 12; 2
Poland;2020-03-16;  177; 58;   4; 1;   13; 13;  160;  44;2020;marzec;16;poniedziałek;0,0226;0,0734;0,9040; 13; 3
Poland;2020-03-17;  238; 61;   5; 1;   13;  0;  220;  60;2020;marzec;17;wtorek;0,0210;0,0546;0,9244; 14; 4
Poland;2020-03-18;  251; 13;   5; 0;   13;  0;  233;  13;2020;marzec;18;środa;0,0199;0,0518;0,9283; 15; 5
Poland;2020-03-19;  355;104;   5; 0;    1;-12;  349; 116;2020;marzec;19;czwartek;0,0141;0,0028;0,9831; 16; 6
Poland;2020-03-20;  425; 70;   5; 0;    1;  0;  419;  70;2020;marzec;20;piątek;0,0118;0,0024;0,9859; 17; 7
Poland;2020-03-21;  536;111;   5; 0;    1;  0;  530; 111;2020;marzec;21;sobota;0,0093;0,0019;0,9888; 18; 8
Poland;2020-03-22;  634; 98;   7; 2;    1;  0;  626;  96;2020;marzec;22;niedziela;0,0110;0,0016;0,9874; 19; 9
Poland;2020-03-23;  749;115;   8; 1;    1;  0;  740; 114;2020;marzec;23;poniedziałek;0,0107;0,0013;0,9880; 20;10
Poland;2020-03-24;  901;152;  10; 2;    1;  0;  890; 150;2020;marzec;24;wtorek;0,0111;0,0011;0,9878; 21;11
Poland;2020-03-25; 1051;150;  14; 4;    7;  6; 1030; 140;2020;marzec;25;środa;0,0133;0,0067;0,9800; 22;12
Poland;2020-03-26; 1221;170;  16; 2;    7;  0; 1198; 168;2020;marzec;26;czwartek;0,0131;0,0057;0,9812; 23;13
Poland;2020-03-27; 1389;168;  16; 0;    7;  0; 1366; 168;2020;marzec;27;piątek;0,0115;0,0050;0,9834; 24;14
Poland;2020-03-28; 1638;249;  18; 2;    7;  0; 1613; 247;2020;marzec;28;sobota;0,0110;0,0043;0,9847; 25;15
Poland;2020-03-29; 1862;224;  22; 4;    7;  0; 1833; 220;2020;marzec;29;niedziela;0,0118;0,0038;0,9844; 26;16
Poland;2020-03-30; 2055;193;  31; 9;    7;  0; 2017; 184;2020;marzec;30;poniedziałek;0,0151;0,0034;0,9815; 27;17
Poland;2020-03-31; 2311;256;  33; 2;    7;  0; 2271; 254;2020;marzec;31;wtorek;0,0143;0,0030;0,9827; 28;18
Poland;2020-04-01; 2554;243;  43;10;   47; 40; 2464; 193;2020;kwiecień; 1;środa;0,0168;0,0184;0,9648; 29;19
Poland;2020-04-02; 2946;392;  57;14;   56;  9; 2833; 369;2020;kwiecień; 2;czwartek;0,0193;0,0190;0,9616; 30;20
Poland;2020-04-03; 3383;437;  71;14;   56;  0; 3256; 423;2020;kwiecień; 3;piątek;0,0210;0,0166;0,9625; 31;21
Poland;2020-04-04; 3627;244;  79; 8;  116; 60; 3432; 176;2020;kwiecień; 4;sobota;0,0218;0,0320;0,9462; 32;22
Poland;2020-04-05; 4102;475;  94;15;  134; 18; 3874; 442;2020;kwiecień; 5;niedziela;0,0229;0,0327;0,9444; 33;23
Poland;2020-04-06; 4413;311; 107;13;  162; 28; 4144; 270;2020;kwiecień; 6;poniedziałek;0,0242;0,0367;0,9390; 34;24
Poland;2020-04-07; 4848;435; 129;22;  191; 29; 4528; 384;2020;kwiecień; 7;wtorek;0,0266;0,0394;0,9340; 35;25
Poland;2020-04-08; 5205;357; 159;30;  222; 31; 4824; 296;2020;kwiecień; 8;środa;0,0305;0,0427;0,9268; 36;26
Poland;2020-04-09; 5575;370; 174;15;  284; 62; 5117; 293;2020;kwiecień; 9;czwartek;0,0312;0,0509;0,9178; 37;27
Poland;2020-04-10; 5955;380; 181; 7;  318; 34; 5456; 339;2020;kwiecień;10;piątek;0,0304;0,0534;0,9162; 38;28
Poland;2020-04-11; 6356;401; 208;27;  375; 57; 5773; 317;2020;kwiecień;11;sobota;0,0327;0,0590;0,9083; 39;29
Poland;2020-04-12; 6674;318; 232;24;  439; 64; 6003; 230;2020;kwiecień;12;niedziela;0,0348;0,0658;0,8995; 40;30
Poland;2020-04-13; 6934;260; 245;13;  487; 48; 6202; 199;2020;kwiecień;13;poniedziałek;0,0353;0,0702;0,8944; 41;31
Poland;2020-04-14; 7202;268; 263;18;  618;131; 6321; 119;2020;kwiecień;14;wtorek;0,0365;0,0858;0,8777; 42;32
Poland;2020-04-15; 7582;380; 286;23;  668; 50; 6628; 307;2020;kwiecień;15;środa;0,0377;0,0881;0,8742; 43;33
Poland;2020-04-16; 7918;336; 314;28;  774;106; 6830; 202;2020;kwiecień;16;czwartek;0,0397;0,0978;0,8626; 44;34
Poland;2020-04-17; 8379;461; 332;18;  866; 92; 7181; 351;2020;kwiecień;17;piątek;0,0396;0,1034;0,8570; 45;35
