Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Qatar;2020-02-29;     1;   1;  0;0;     0;   0;    1;    1;2020;luty;29;sobota;0,0000;0,0000;1,0000;  1;  0;216,5
Qatar;2020-03-01;     3;   2;  0;0;     0;   0;    3;    2;2020;marzec; 1;niedziela;0,0000;0,0000;1,0000;  2;  0;215,0
Qatar;2020-03-02;     3;   0;  0;0;     0;   0;    3;    0;2020;marzec; 2;poniedziałek;0,0000;0,0000;1,0000;  3;  0;220,5
Qatar;2020-03-03;     7;   4;  0;0;     0;   0;    7;    4;2020;marzec; 3;wtorek;0,0000;0,0000;1,0000;  4;  0;213,0
Qatar;2020-03-04;     8;   1;  0;0;     0;   0;    8;    1;2020;marzec; 4;środa;0,0000;0,0000;1,0000;  5;  0;216,5
Qatar;2020-03-05;     8;   0;  0;0;     0;   0;    8;    0;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000;  6;  0;220,5
Qatar;2020-03-06;     8;   0;  0;0;     0;   0;    8;    0;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  7;  0;220,5
Qatar;2020-03-07;     8;   0;  0;0;     0;   0;    8;    0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  8;  0;220,5
Qatar;2020-03-08;    15;   7;  0;0;     0;   0;   15;    7;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  9;  0;210,5
Qatar;2020-03-09;    18;   3;  0;0;     0;   0;   18;    3;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000; 10;  0;214,0
Qatar;2020-03-10;    24;   6;  0;0;     0;   0;   24;    6;2020;marzec;10;wtorek;0,0000;0,0000;1,0000; 11;  0;212,0
Qatar;2020-03-11;   262; 238;  0;0;     0;   0;  262;  238;2020;marzec;11;środa;0,0000;0,0000;1,0000; 12;  1;142,5
Qatar;2020-03-12;   262;   0;  0;0;     0;   0;  262;    0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000; 13;  2;220,5
Qatar;2020-03-13;   320;  58;  0;0;     0;   0;  320;   58;2020;marzec;13;piątek;0,0000;0,0000;1,0000; 14;  3;195,0
Qatar;2020-03-14;   337;  17;  0;0;     4;   4;  333;   13;2020;marzec;14;sobota;0,0000;0,0119;0,9881; 15;  4;201,0
Qatar;2020-03-15;   401;  64;  0;0;     4;   0;  397;   64;2020;marzec;15;niedziela;0,0000;0,0100;0,9900; 16;  5;193,0
Qatar;2020-03-16;   439;  38;  0;0;     4;   0;  435;   38;2020;marzec;16;poniedziałek;0,0000;0,0091;0,9909; 17;  6;198,0
Qatar;2020-03-17;   439;   0;  0;0;     4;   0;  435;    0;2020;marzec;17;wtorek;0,0000;0,0091;0,9909; 18;  7;220,5
Qatar;2020-03-18;   452;  13;  0;0;     4;   0;  448;   13;2020;marzec;18;środa;0,0000;0,0088;0,9912; 19;  8;203,0
Qatar;2020-03-19;   460;   8;  0;0;     4;   0;  456;    8;2020;marzec;19;czwartek;0,0000;0,0087;0,9913; 20;  9;209,0
Qatar;2020-03-20;   470;  10;  0;0;    10;   6;  460;    4;2020;marzec;20;piątek;0,0000;0,0213;0,9787; 21; 10;208,0
Qatar;2020-03-21;   481;  11;  0;0;    27;  17;  454;   -6;2020;marzec;21;sobota;0,0000;0,0561;0,9439; 22; 11;206,5
Qatar;2020-03-22;   494;  13;  0;0;    33;   6;  461;    7;2020;marzec;22;niedziela;0,0000;0,0668;0,9332; 23; 12;203,0
