Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Russia;2020-01-31;     2;    2;   0;  0;    0;   0;     2;   2;2020;January;31;Friday;0,0000;0,0000;1,0000;  1; 0
Russia;2020-02-01;     2;    0;   0;  0;    0;   0;     2;   0;2020;February; 1;Saturday;0,0000;0,0000;1,0000;  2; 0
Russia;2020-02-02;     2;    0;   0;  0;    0;   0;     2;   0;2020;February; 2;Sunday;0,0000;0,0000;1,0000;  3; 0
Russia;2020-02-03;     2;    0;   0;  0;    0;   0;     2;   0;2020;February; 3;Monday;0,0000;0,0000;1,0000;  4; 0
Russia;2020-02-04;     2;    0;   0;  0;    0;   0;     2;   0;2020;February; 4;Tuesday;0,0000;0,0000;1,0000;  5; 0
Russia;2020-02-05;     2;    0;   0;  0;    0;   0;     2;   0;2020;February; 5;Wednesday;0,0000;0,0000;1,0000;  6; 0
Russia;2020-02-06;     2;    0;   0;  0;    0;   0;     2;   0;2020;February; 6;Thursday;0,0000;0,0000;1,0000;  7; 0
Russia;2020-02-07;     2;    0;   0;  0;    0;   0;     2;   0;2020;February; 7;Friday;0,0000;0,0000;1,0000;  8; 0
Russia;2020-02-08;     2;    0;   0;  0;    0;   0;     2;   0;2020;February; 8;Saturday;0,0000;0,0000;1,0000;  9; 0
Russia;2020-02-09;     2;    0;   0;  0;    0;   0;     2;   0;2020;February; 9;Sunday;0,0000;0,0000;1,0000; 10; 0
Russia;2020-02-10;     2;    0;   0;  0;    0;   0;     2;   0;2020;February;10;Monday;0,0000;0,0000;1,0000; 11; 0
Russia;2020-02-11;     2;    0;   0;  0;    0;   0;     2;   0;2020;February;11;Tuesday;0,0000;0,0000;1,0000; 12; 0
Russia;2020-02-12;     2;    0;   0;  0;    2;   2;     0;  -2;2020;February;12;Wednesday;0,0000;1,0000;0,0000; 13; 0
Russia;2020-02-13;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;13;Thursday;0,0000;1,0000;0,0000; 14; 0
Russia;2020-02-14;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;14;Friday;0,0000;1,0000;0,0000; 15; 0
Russia;2020-02-15;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;15;Saturday;0,0000;1,0000;0,0000; 16; 0
Russia;2020-02-16;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;16;Sunday;0,0000;1,0000;0,0000; 17; 0
Russia;2020-02-17;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;17;Monday;0,0000;1,0000;0,0000; 18; 0
Russia;2020-02-18;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;18;Tuesday;0,0000;1,0000;0,0000; 19; 0
Russia;2020-02-19;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;19;Wednesday;0,0000;1,0000;0,0000; 20; 0
Russia;2020-02-20;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;20;Thursday;0,0000;1,0000;0,0000; 21; 0
Russia;2020-02-21;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;21;Friday;0,0000;1,0000;0,0000; 22; 0
Russia;2020-02-22;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;22;Saturday;0,0000;1,0000;0,0000; 23; 0
Russia;2020-02-23;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;23;Sunday;0,0000;1,0000;0,0000; 24; 0
Russia;2020-02-24;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;24;Monday;0,0000;1,0000;0,0000; 25; 0
Russia;2020-02-25;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;25;Tuesday;0,0000;1,0000;0,0000; 26; 0
Russia;2020-02-26;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;26;Wednesday;0,0000;1,0000;0,0000; 27; 0
Russia;2020-02-27;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;27;Thursday;0,0000;1,0000;0,0000; 28; 0
Russia;2020-02-28;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;28;Friday;0,0000;1,0000;0,0000; 29; 0
Russia;2020-02-29;     2;    0;   0;  0;    2;   0;     0;   0;2020;February;29;Saturday;0,0000;1,0000;0,0000; 30; 0
Russia;2020-03-01;     2;    0;   0;  0;    2;   0;     0;   0;2020;March; 1;Sunday;0,0000;1,0000;0,0000; 31; 0
