Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Rwanda;2020-03-14;   1;  1; 0;0;   0;  0;   1;   1;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  1;  0;249,5;154,0;244,0;144,5
Rwanda;2020-03-15;   1;  0; 0;0;   0;  0;   1;   0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  2;  0;260,5;154,0;244,0;156,5
Rwanda;2020-03-16;   5;  4; 0;0;   0;  0;   5;   4;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  3;  0;210,5;154,0;244,0;119,0
Rwanda;2020-03-17;   7;  2; 0;0;   0;  0;   7;   2;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  4;  0;236,5;154,0;244,0;135,0
Rwanda;2020-03-18;   8;  1; 0;0;   0;  0;   8;   1;2020;marzec;18;środa;0,0000;0,0000;1,0000;  5;  0;249,5;154,0;244,0;144,5
Rwanda;2020-03-19;   8;  0; 0;0;   0;  0;   8;   0;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  6;  0;260,5;154,0;244,0;156,5
Rwanda;2020-03-20;  17;  9; 0;0;   0;  0;  17;   9;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  7;  0;157,0;154,0;244,0; 80,5
Rwanda;2020-03-21;  17;  0; 0;0;   0;  0;  17;   0;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  8;  0;260,5;154,0;244,0;156,5
Rwanda;2020-03-22;  19;  2; 0;0;   0;  0;  19;   2;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  9;  0;236,5;154,0;244,0;135,0
Rwanda;2020-03-23;  36; 17; 0;0;   0;  0;  36;  17;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 10;  0;109,5;154,0;244,0; 54,0
Rwanda;2020-03-24;  40;  4; 0;0;   0;  0;  40;   4;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 11;  0;210,5;154,0;244,0;119,0
Rwanda;2020-03-25;  41;  1; 0;0;   0;  0;  41;   1;2020;marzec;25;środa;0,0000;0,0000;1,0000; 12;  0;249,5;154,0;244,0;144,5
Rwanda;2020-03-26;  50;  9; 0;0;   0;  0;  50;   9;2020;marzec;26;czwartek;0,0000;0,0000;1,0000; 13;  0;157,0;154,0;244,0; 80,5
Rwanda;2020-03-27;  54;  4; 0;0;   0;  0;  54;   4;2020;marzec;27;piątek;0,0000;0,0000;1,0000; 14;  0;210,5;154,0;244,0;119,0
Rwanda;2020-03-28;  60;  6; 0;0;   0;  0;  60;   6;2020;marzec;28;sobota;0,0000;0,0000;1,0000; 15;  0;187,5;154,0;244,0;100,5
