Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Saint Vincent and the Grenadines;2020-03-14; 1;1;0;0; 0;0; 1; 1;2020;marzec;14;sobota;0;0,0000;1,0000;  1;0; 30,0;133;153; 21,0
Saint Vincent and the Grenadines;2020-03-15; 1;0;0;0; 0;0; 1; 0;2020;marzec;15;niedziela;0;0,0000;1,0000;  2;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-16; 1;0;0;0; 0;0; 1; 0;2020;marzec;16;poniedziałek;0;0,0000;1,0000;  3;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-17; 1;0;0;0; 0;0; 1; 0;2020;marzec;17;wtorek;0;0,0000;1,0000;  4;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-18; 1;0;0;0; 0;0; 1; 0;2020;marzec;18;środa;0;0,0000;1,0000;  5;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-19; 1;0;0;0; 0;0; 1; 0;2020;marzec;19;czwartek;0;0,0000;1,0000;  6;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-20; 1;0;0;0; 0;0; 1; 0;2020;marzec;20;piątek;0;0,0000;1,0000;  7;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-21; 1;0;0;0; 0;0; 1; 0;2020;marzec;21;sobota;0;0,0000;1,0000;  8;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-22; 1;0;0;0; 0;0; 1; 0;2020;marzec;22;niedziela;0;0,0000;1,0000;  9;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-23; 1;0;0;0; 0;0; 1; 0;2020;marzec;23;poniedziałek;0;0,0000;1,0000; 10;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-24; 1;0;0;0; 0;0; 1; 0;2020;marzec;24;wtorek;0;0,0000;1,0000; 11;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-25; 1;0;0;0; 0;0; 1; 0;2020;marzec;25;środa;0;0,0000;1,0000; 12;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-26; 1;0;0;0; 0;0; 1; 0;2020;marzec;26;czwartek;0;0,0000;1,0000; 13;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-27; 1;0;0;0; 0;0; 1; 0;2020;marzec;27;piątek;0;0,0000;1,0000; 14;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-28; 1;0;0;0; 1;1; 0;-1;2020;marzec;28;sobota;0;1,0000;0,0000; 15;0;154,5;133; 29;242,0
Saint Vincent and the Grenadines;2020-03-29; 1;0;0;0; 1;0; 0; 0;2020;marzec;29;niedziela;0;1,0000;0,0000; 16;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-30; 1;0;0;0; 1;0; 0; 0;2020;marzec;30;poniedziałek;0;1,0000;0,0000; 17;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-03-31; 1;0;0;0; 1;0; 0; 0;2020;marzec;31;wtorek;0;1,0000;0,0000; 18;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-01; 1;0;0;0; 1;0; 0; 0;2020;kwiecień; 1;środa;0;1,0000;0,0000; 19;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-02; 2;1;0;0; 1;0; 1; 1;2020;kwiecień; 2;czwartek;0;0,5000;0,5000; 20;0; 30,0;133;153; 21,0
Saint Vincent and the Grenadines;2020-04-03; 3;1;0;0; 1;0; 2; 1;2020;kwiecień; 3;piątek;0;0,3333;0,6667; 21;0; 30,0;133;153; 21,0
Saint Vincent and the Grenadines;2020-04-04; 7;4;0;0; 1;0; 6; 4;2020;kwiecień; 4;sobota;0;0,1429;0,8571; 22;0;  7,5;133;153;  7,5
Saint Vincent and the Grenadines;2020-04-05; 7;0;0;0; 1;0; 6; 0;2020;kwiecień; 5;niedziela;0;0,1429;0,8571; 23;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-06; 7;0;0;0; 1;0; 6; 0;2020;kwiecień; 6;poniedziałek;0;0,1429;0,8571; 24;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-07; 8;1;0;0; 1;0; 7; 1;2020;kwiecień; 7;wtorek;0;0,1250;0,8750; 25;0; 30,0;133;153; 21,0
Saint Vincent and the Grenadines;2020-04-08; 8;0;0;0; 1;0; 7; 0;2020;kwiecień; 8;środa;0;0,1250;0,8750; 26;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-09;12;4;0;0; 1;0;11; 4;2020;kwiecień; 9;czwartek;0;0,0833;0,9167; 27;0;  7,5;133;153;  7,5
Saint Vincent and the Grenadines;2020-04-10;12;0;0;0; 1;0;11; 0;2020;kwiecień;10;piątek;0;0,0833;0,9167; 28;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-11;12;0;0;0; 1;0;11; 0;2020;kwiecień;11;sobota;0;0,0833;0,9167; 29;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-12;12;0;0;0; 1;0;11; 0;2020;kwiecień;12;niedziela;0;0,0833;0,9167; 30;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-13;12;0;0;0; 1;0;11; 0;2020;kwiecień;13;poniedziałek;0;0,0833;0,9167; 31;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-14;12;0;0;0; 1;0;11; 0;2020;kwiecień;14;wtorek;0;0,0833;0,9167; 32;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-15;12;0;0;0; 1;0;11; 0;2020;kwiecień;15;środa;0;0,0833;0,9167; 33;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-16;12;0;0;0; 1;0;11; 0;2020;kwiecień;16;czwartek;0;0,0833;0,9167; 34;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-17;12;0;0;0; 1;0;11; 0;2020;kwiecień;17;piątek;0;0,0833;0,9167; 35;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-18;12;0;0;0; 1;0;11; 0;2020;kwiecień;18;sobota;0;0,0833;0,9167; 36;0;154,5;133;153;130,0
Saint Vincent and the Grenadines;2020-04-19;12;0;0;0; 1;0;11; 0;2020;kwiecień;19;niedziela;0;0,0833;0,9167; 37;0;154,5;133;153;130,0
