Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Seychelles;2020-03-14;  2; 2;0;0;  0; 0; 2;  2;2020;marzec;14;sobota;0;0,0000;1,0000;  1;  0; 21,5;133;144,5; 17,0
Seychelles;2020-03-15;  2; 0;0;0;  0; 0; 2;  0;2020;marzec;15;niedziela;0;0,0000;1,0000;  2;  0;153,5;133;144,5;143,0
Seychelles;2020-03-16;  3; 1;0;0;  0; 0; 3;  1;2020;marzec;16;poniedziałek;0;0,0000;1,0000;  3;  0; 33,5;133;144,5; 28,0
Seychelles;2020-03-17;  4; 1;0;0;  0; 0; 4;  1;2020;marzec;17;wtorek;0;0,0000;1,0000;  4;  0; 33,5;133;144,5; 28,0
Seychelles;2020-03-18;  4; 0;0;0;  0; 0; 4;  0;2020;marzec;18;środa;0;0,0000;1,0000;  5;  0;153,5;133;144,5;143,0
Seychelles;2020-03-19;  6; 2;0;0;  0; 0; 6;  2;2020;marzec;19;czwartek;0;0,0000;1,0000;  6;  0; 21,5;133;144,5; 17,0
Seychelles;2020-03-20;  7; 1;0;0;  0; 0; 7;  1;2020;marzec;20;piątek;0;0,0000;1,0000;  7;  0; 33,5;133;144,5; 28,0
Seychelles;2020-03-21;  7; 0;0;0;  0; 0; 7;  0;2020;marzec;21;sobota;0;0,0000;1,0000;  8;  0;153,5;133;144,5;143,0
Seychelles;2020-03-22;  7; 0;0;0;  0; 0; 7;  0;2020;marzec;22;niedziela;0;0,0000;1,0000;  9;  0;153,5;133;144,5;143,0
Seychelles;2020-03-23;  7; 0;0;0;  0; 0; 7;  0;2020;marzec;23;poniedziałek;0;0,0000;1,0000; 10;  0;153,5;133;144,5;143,0
Seychelles;2020-03-24;  7; 0;0;0;  0; 0; 7;  0;2020;marzec;24;wtorek;0;0,0000;1,0000; 11;  0;153,5;133;144,5;143,0
Seychelles;2020-03-25;  7; 0;0;0;  0; 0; 7;  0;2020;marzec;25;środa;0;0,0000;1,0000; 12;  0;153,5;133;144,5;143,0
Seychelles;2020-03-26;  7; 0;0;0;  0; 0; 7;  0;2020;marzec;26;czwartek;0;0,0000;1,0000; 13;  0;153,5;133;144,5;143,0
Seychelles;2020-03-27;  7; 0;0;0;  0; 0; 7;  0;2020;marzec;27;piątek;0;0,0000;1,0000; 14;  0;153,5;133;144,5;143,0
Seychelles;2020-03-28;  8; 1;0;0;  0; 0; 8;  1;2020;marzec;28;sobota;0;0,0000;1,0000; 15;  0; 33,5;133;144,5; 28,0
Seychelles;2020-03-29;  8; 0;0;0;  0; 0; 8;  0;2020;marzec;29;niedziela;0;0,0000;1,0000; 16;  0;153,5;133;144,5;143,0
Seychelles;2020-03-30;  8; 0;0;0;  0; 0; 8;  0;2020;marzec;30;poniedziałek;0;0,0000;1,0000; 17;  0;153,5;133;144,5;143,0
Seychelles;2020-03-31; 10; 2;0;0;  0; 0;10;  2;2020;marzec;31;wtorek;0;0,0000;1,0000; 18;  0; 21,5;133;144,5; 17,0
Seychelles;2020-04-01; 10; 0;0;0;  0; 0;10;  0;2020;kwiecień; 1;środa;0;0,0000;1,0000; 19;  0;153,5;133;144,5;143,0
Seychelles;2020-04-02; 10; 0;0;0;  0; 0;10;  0;2020;kwiecień; 2;czwartek;0;0,0000;1,0000; 20;  0;153,5;133;144,5;143,0
Seychelles;2020-04-03; 10; 0;0;0;  0; 0;10;  0;2020;kwiecień; 3;piątek;0;0,0000;1,0000; 21;  0;153,5;133;144,5;143,0
Seychelles;2020-04-04; 10; 0;0;0;  0; 0;10;  0;2020;kwiecień; 4;sobota;0;0,0000;1,0000; 22;  0;153,5;133;144,5;143,0
Seychelles;2020-04-05; 10; 0;0;0;  0; 0;10;  0;2020;kwiecień; 5;niedziela;0;0,0000;1,0000; 23;  0;153,5;133;144,5;143,0
Seychelles;2020-04-06; 11; 1;0;0;  0; 0;11;  1;2020;kwiecień; 6;poniedziałek;0;0,0000;1,0000; 24;  0; 33,5;133;144,5; 28,0
Seychelles;2020-04-07; 11; 0;0;0;  0; 0;11;  0;2020;kwiecień; 7;wtorek;0;0,0000;1,0000; 25;  0;153,5;133;144,5;143,0
Seychelles;2020-04-08; 11; 0;0;0;  0; 0;11;  0;2020;kwiecień; 8;środa;0;0,0000;1,0000; 26;  0;153,5;133;144,5;143,0
Seychelles;2020-04-09; 11; 0;0;0;  0; 0;11;  0;2020;kwiecień; 9;czwartek;0;0,0000;1,0000; 27;  0;153,5;133;144,5;143,0
Seychelles;2020-04-10; 11; 0;0;0;  0; 0;11;  0;2020;kwiecień;10;piątek;0;0,0000;1,0000; 28;  0;153,5;133;144,5;143,0
Seychelles;2020-04-11; 11; 0;0;0;  0; 0;11;  0;2020;kwiecień;11;sobota;0;0,0000;1,0000; 29;  0;153,5;133;144,5;143,0
Seychelles;2020-04-12; 11; 0;0;0;  0; 0;11;  0;2020;kwiecień;12;niedziela;0;0,0000;1,0000; 30;  0;153,5;133;144,5;143,0
Seychelles;2020-04-13; 11; 0;0;0;  0; 0;11;  0;2020;kwiecień;13;poniedziałek;0;0,0000;1,0000; 31;  0;153,5;133;144,5;143,0
Seychelles;2020-04-14; 11; 0;0;0;  0; 0;11;  0;2020;kwiecień;14;wtorek;0;0,0000;1,0000; 32;  0;153,5;133;144,5;143,0
Seychelles;2020-04-15; 11; 0;0;0;  0; 0;11;  0;2020;kwiecień;15;środa;0;0,0000;1,0000; 33;  0;153,5;133;144,5;143,0
Seychelles;2020-04-16; 11; 0;0;0;  0; 0;11;  0;2020;kwiecień;16;czwartek;0;0,0000;1,0000; 34;  0;153,5;133;144,5;143,0
Seychelles;2020-04-17; 11; 0;0;0;  5; 5; 6; -5;2020;kwiecień;17;piątek;0;0,4545;0,5455; 35;  0;153,5;133;  6,0;261,0
Seychelles;2020-04-18; 11; 0;0;0;  5; 0; 6;  0;2020;kwiecień;18;sobota;0;0,4545;0,5455; 36;  0;153,5;133;144,5;143,0
Seychelles;2020-04-19; 11; 0;0;0;  5; 0; 6;  0;2020;kwiecień;19;niedziela;0;0,4545;0,5455; 37;  0;153,5;133;144,5;143,0
Seychelles;2020-04-20; 11; 0;0;0;  5; 0; 6;  0;2020;kwiecień;20;poniedziałek;0;0,4545;0,5455; 38;  0;153,5;133;144,5;143,0
Seychelles;2020-04-21; 11; 0;0;0;  5; 0; 6;  0;2020;kwiecień;21;wtorek;0;0,4545;0,5455; 39;  0;153,5;133;144,5;143,0
Seychelles;2020-04-22; 11; 0;0;0;  5; 0; 6;  0;2020;kwiecień;22;środa;0;0,4545;0,5455; 40;  0;153,5;133;144,5;143,0
Seychelles;2020-04-23; 11; 0;0;0;  6; 1; 5; -1;2020;kwiecień;23;czwartek;0;0,5455;0,4545; 41;  0;153,5;133; 20,0;252,5
Seychelles;2020-04-24; 11; 0;0;0;  6; 0; 5;  0;2020;kwiecień;24;piątek;0;0,5455;0,4545; 42;  0;153,5;133;144,5;143,0
Seychelles;2020-04-25; 11; 0;0;0;  6; 0; 5;  0;2020;kwiecień;25;sobota;0;0,5455;0,4545; 43;  0;153,5;133;144,5;143,0
Seychelles;2020-04-26; 11; 0;0;0;  6; 0; 5;  0;2020;kwiecień;26;niedziela;0;0,5455;0,4545; 44;  0;153,5;133;144,5;143,0
Seychelles;2020-04-27; 11; 0;0;0;  6; 0; 5;  0;2020;kwiecień;27;poniedziałek;0;0,5455;0,4545; 45;  0;153,5;133;144,5;143,0
Seychelles;2020-04-28; 11; 0;0;0;  6; 0; 5;  0;2020;kwiecień;28;wtorek;0;0,5455;0,4545; 46;  0;153,5;133;144,5;143,0
Seychelles;2020-04-29; 11; 0;0;0;  6; 0; 5;  0;2020;kwiecień;29;środa;0;0,5455;0,4545; 47;  0;153,5;133;144,5;143,0
Seychelles;2020-04-30; 11; 0;0;0;  6; 0; 5;  0;2020;kwiecień;30;czwartek;0;0,5455;0,4545; 48;  0;153,5;133;144,5;143,0
Seychelles;2020-05-01; 11; 0;0;0;  6; 0; 5;  0;2020;maj; 1;piątek;0;0,5455;0,4545; 49;  0;153,5;133;144,5;143,0
Seychelles;2020-05-02; 11; 0;0;0;  6; 0; 5;  0;2020;maj; 2;sobota;0;0,5455;0,4545; 50;  0;153,5;133;144,5;143,0
Seychelles;2020-05-03; 11; 0;0;0;  6; 0; 5;  0;2020;maj; 3;niedziela;0;0,5455;0,4545; 51;  0;153,5;133;144,5;143,0
Seychelles;2020-05-04; 11; 0;0;0;  6; 0; 5;  0;2020;maj; 4;poniedziałek;0;0,5455;0,4545; 52;  0;153,5;133;144,5;143,0
Seychelles;2020-05-05; 11; 0;0;0;  8; 2; 3; -2;2020;maj; 5;wtorek;0;0,7273;0,2727; 53;  0;153,5;133; 14,0;255,5
Seychelles;2020-05-06; 11; 0;0;0;  8; 0; 3;  0;2020;maj; 6;środa;0;0,7273;0,2727; 54;  0;153,5;133;144,5;143,0
Seychelles;2020-05-07; 11; 0;0;0;  8; 0; 3;  0;2020;maj; 7;czwartek;0;0,7273;0,2727; 55;  0;153,5;133;144,5;143,0
