Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Sierra Leone;2020-03-31;   1; 1; 0;0;   0; 0;  1;  1;2020;marzec;31;wtorek;0,0000;0,0000;1,0000;  1;  0;201,5;149,0;210,0;124,0
Sierra Leone;2020-04-01;   2; 1; 0;0;   0; 0;  2;  1;2020;kwiecień; 1;środa;0,0000;0,0000;1,0000;  2;  0;201,5;149,0;210,0;124,0
Sierra Leone;2020-04-02;   2; 0; 0;0;   0; 0;  2;  0;2020;kwiecień; 2;czwartek;0,0000;0,0000;1,0000;  3;  0;230,5;149,0;210,0;153,5
Sierra Leone;2020-04-03;   2; 0; 0;0;   0; 0;  2;  0;2020;kwiecień; 3;piątek;0,0000;0,0000;1,0000;  4;  0;230,5;149,0;210,0;153,5
Sierra Leone;2020-04-04;   4; 2; 0;0;   0; 0;  4;  2;2020;kwiecień; 4;sobota;0,0000;0,0000;1,0000;  5;  0;180,0;149,0;210,0;107,0
Sierra Leone;2020-04-05;   6; 2; 0;0;   0; 0;  6;  2;2020;kwiecień; 5;niedziela;0,0000;0,0000;1,0000;  6;  0;180,0;149,0;210,0;107,0
Sierra Leone;2020-04-06;   6; 0; 0;0;   0; 0;  6;  0;2020;kwiecień; 6;poniedziałek;0,0000;0,0000;1,0000;  7;  0;230,5;149,0;210,0;153,5
Sierra Leone;2020-04-07;   6; 0; 0;0;   0; 0;  6;  0;2020;kwiecień; 7;wtorek;0,0000;0,0000;1,0000;  8;  0;230,5;149,0;210,0;153,5
Sierra Leone;2020-04-08;   7; 1; 0;0;   0; 0;  7;  1;2020;kwiecień; 8;środa;0,0000;0,0000;1,0000;  9;  0;201,5;149,0;210,0;124,0
Sierra Leone;2020-04-09;   7; 0; 0;0;   0; 0;  7;  0;2020;kwiecień; 9;czwartek;0,0000;0,0000;1,0000; 10;  0;230,5;149,0;210,0;153,5
Sierra Leone;2020-04-10;   8; 1; 0;0;   0; 0;  8;  1;2020;kwiecień;10;piątek;0,0000;0,0000;1,0000; 11;  0;201,5;149,0;210,0;124,0
Sierra Leone;2020-04-11;   8; 0; 0;0;   0; 0;  8;  0;2020;kwiecień;11;sobota;0,0000;0,0000;1,0000; 12;  0;230,5;149,0;210,0;153,5
Sierra Leone;2020-04-12;  10; 2; 0;0;   0; 0; 10;  2;2020;kwiecień;12;niedziela;0,0000;0,0000;1,0000; 13;  0;180,0;149,0;210,0;107,0
Sierra Leone;2020-04-13;  10; 0; 0;0;   0; 0; 10;  0;2020;kwiecień;13;poniedziałek;0,0000;0,0000;1,0000; 14;  0;230,5;149,0;210,0;153,5
Sierra Leone;2020-04-14;  11; 1; 0;0;   0; 0; 11;  1;2020;kwiecień;14;wtorek;0,0000;0,0000;1,0000; 15;  0;201,5;149,0;210,0;124,0
Sierra Leone;2020-04-15;  13; 2; 0;0;   0; 0; 13;  2;2020;kwiecień;15;środa;0,0000;0,0000;1,0000; 16;  0;180,0;149,0;210,0;107,0
Sierra Leone;2020-04-16;  15; 2; 0;0;   0; 0; 15;  2;2020;kwiecień;16;czwartek;0,0000;0,0000;1,0000; 17;  0;180,0;149,0;210,0;107,0
Sierra Leone;2020-04-17;  26;11; 0;0;   0; 0; 26; 11;2020;kwiecień;17;piątek;0,0000;0,0000;1,0000; 18;  0; 82,0;149,0;210,0; 36,5
Sierra Leone;2020-04-18;  30; 4; 0;0;   0; 0; 30;  4;2020;kwiecień;18;sobota;0,0000;0,0000;1,0000; 19;  0;152,0;149,0;210,0; 82,0
Sierra Leone;2020-04-19;  35; 5; 0;0;   6; 6; 29; -1;2020;kwiecień;19;niedziela;0,0000;0,1714;0,8286; 20;  0;142,0;149,0; 86,5;180,5
Sierra Leone;2020-04-20;  43; 8; 0;0;   6; 0; 37;  8;2020;kwiecień;20;poniedziałek;0,0000;0,1395;0,8605; 21;  0;106,5;149,0;210,0; 47,5
Sierra Leone;2020-04-21;  50; 7; 0;0;   6; 0; 44;  7;2020;kwiecień;21;wtorek;0,0000;0,1200;0,8800; 22;  0;117,0;149,0;210,0; 54,0
Sierra Leone;2020-04-22;  61;11; 0;0;   6; 0; 55; 11;2020;kwiecień;22;środa;0,0000;0,0984;0,9016; 23;  0; 82,0;149,0;210,0; 36,5
Sierra Leone;2020-04-23;  64; 3; 1;1;  10; 4; 53; -2;2020;kwiecień;23;czwartek;0,0156;0,1562;0,8281; 24;  0;162,5; 32,5;111,0;194,0
Sierra Leone;2020-04-24;  82;18; 2;1;  10; 0; 70; 17;2020;kwiecień;24;piątek;0,0244;0,1220;0,8537; 25;  0; 42,5; 32,5;210,0; 20,5
Sierra Leone;2020-04-25;  82; 0; 2;0;  10; 0; 70;  0;2020;kwiecień;25;sobota;0,0244;0,1220;0,8537; 26;  0;230,5;149,0;210,0;153,5
Sierra Leone;2020-04-26;  93;11; 4;2;  10; 0; 79;  9;2020;kwiecień;26;niedziela;0,0430;0,1075;0,8495; 27;  0; 82,0; 11,0;210,0; 43,0
Sierra Leone;2020-04-27;  93; 0; 4;0;  10; 0; 79;  0;2020;kwiecień;27;poniedziałek;0,0430;0,1075;0,8495; 28;  0;230,5;149,0;210,0;153,5
Sierra Leone;2020-04-28; 104;11; 4;0;  12; 2; 88;  9;2020;kwiecień;28;wtorek;0,0385;0,1154;0,8462; 29;  1; 82,0;149,0;147,0; 43,0
Sierra Leone;2020-04-29; 104; 0; 4;0;  12; 0; 88;  0;2020;kwiecień;29;środa;0,0385;0,1154;0,8462; 30;  2;230,5;149,0;210,0;153,5
Sierra Leone;2020-04-30; 124;20; 7;3;  21; 9; 96;  8;2020;kwiecień;30;czwartek;0,0565;0,1694;0,7742; 31;  3; 36,5;  4,0; 63,5; 47,5
Sierra Leone;2020-05-01; 136;12; 7;0;  21; 0;108; 12;2020;maj; 1;piątek;0,0515;0,1544;0,7941; 32;  4; 76,0;149,0;210,0; 31,5
Sierra Leone;2020-05-02; 155;19; 8;1;  21; 0;126; 18;2020;maj; 2;sobota;0,0516;0,1355;0,8129; 33;  5; 39,5; 32,5;210,0; 16,5
Sierra Leone;2020-05-03; 166;11; 8;0;  29; 8;129;  3;2020;maj; 3;niedziela;0,0482;0,1747;0,7771; 34;  6; 82,0;149,0; 70,5; 94,5
Sierra Leone;2020-05-04; 178;12; 9;1;  37; 8;132;  3;2020;maj; 4;poniedziałek;0,0506;0,2079;0,7416; 35;  7; 76,0; 32,5; 70,5; 94,5
Sierra Leone;2020-05-05; 199;21;11;2;  43; 6;145; 13;2020;maj; 5;wtorek;0,0553;0,2161;0,7286; 36;  8; 32,0; 11,0; 86,5; 27,0
