Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Slovakia;2020-03-06;    1;   1; 0; 0;   0;  0;    1;  1;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  1;  0;196,0
Slovakia;2020-03-07;    1;   0; 0; 0;   0;  0;    1;  0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  2;  0;212,0
Slovakia;2020-03-08;    3;   2; 0; 0;   0;  0;    3;  2;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  3;  0;179,5
Slovakia;2020-03-09;    3;   0; 0; 0;   0;  0;    3;  0;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000;  4;  0;212,0
Slovakia;2020-03-10;    7;   4; 0; 0;   0;  0;    7;  4;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  5;  0;163,5
Slovakia;2020-03-11;   10;   3; 0; 0;   0;  0;   10;  3;2020;marzec;11;środa;0,0000;0,0000;1,0000;  6;  0;169,5
Slovakia;2020-03-12;   16;   6; 0; 0;   0;  0;   16;  6;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  7;  0;154,5
Slovakia;2020-03-13;   32;  16; 0; 0;   0;  0;   32; 16;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  8;  0;113,0
Slovakia;2020-03-14;   44;  12; 0; 0;   0;  0;   44; 12;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  9;  0;131,0
Slovakia;2020-03-15;   54;  10; 0; 0;   0;  0;   54; 10;2020;marzec;15;niedziela;0,0000;0,0000;1,0000; 10;  0;136,0
Slovakia;2020-03-16;   63;   9; 0; 0;   0;  0;   63;  9;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000; 11;  0;140,0
Slovakia;2020-03-17;   72;   9; 0; 0;   0;  0;   72;  9;2020;marzec;17;wtorek;0,0000;0,0000;1,0000; 12;  0;140,0
Slovakia;2020-03-18;  105;  33; 1; 1;   0;  0;  104; 32;2020;marzec;18;środa;0,0095;0,0000;0,9905; 13;  1; 79,0
Slovakia;2020-03-19;  123;  18; 1; 0;   0;  0;  122; 18;2020;marzec;19;czwartek;0,0081;0,0000;0,9919; 14;  2;110,0
Slovakia;2020-03-20;  137;  14; 1; 0;   0;  0;  136; 14;2020;marzec;20;piątek;0,0073;0,0000;0,9927; 15;  3;120,5
Slovakia;2020-03-21;  178;  41; 1; 0;   0;  0;  177; 41;2020;marzec;21;sobota;0,0056;0,0000;0,9944; 16;  4; 69,5
Slovakia;2020-03-22;  185;   7; 0;-1;   7;  7;  178;  1;2020;marzec;22;niedziela;0,0000;0,0378;0,9622; 17;  5;150,0
Slovakia;2020-03-23;  186;   1; 0; 0;   7;  0;  179;  1;2020;marzec;23;poniedziałek;0,0000;0,0376;0,9624; 18;  6;196,0
Slovakia;2020-03-24;  204;  18; 0; 0;   7;  0;  197; 18;2020;marzec;24;wtorek;0,0000;0,0343;0,9657; 19;  7;110,0
Slovakia;2020-03-25;  216;  12; 0; 0;   7;  0;  209; 12;2020;marzec;25;środa;0,0000;0,0324;0,9676; 20;  8;131,0
Slovakia;2020-03-26;  226;  10; 0; 0;   2; -5;  224; 15;2020;marzec;26;czwartek;0,0000;0,0088;0,9912; 21;  9;136,0
Slovakia;2020-03-27;  269;  43; 0; 0;   2;  0;  267; 43;2020;marzec;27;piątek;0,0000;0,0074;0,9926; 22; 10; 66,0
Slovakia;2020-03-28;  292;  23; 0; 0;   2;  0;  290; 23;2020;marzec;28;sobota;0,0000;0,0068;0,9932; 23; 11; 96,0
Slovakia;2020-03-29;  314;  22; 0; 0;   2;  0;  312; 22;2020;marzec;29;niedziela;0,0000;0,0064;0,9936; 24; 12;100,0
Slovakia;2020-03-30;  336;  22; 0; 0;   7;  5;  329; 17;2020;marzec;30;poniedziałek;0,0000;0,0208;0,9792; 25; 13;100,0
Slovakia;2020-03-31;  363;  27; 0; 0;   3; -4;  360; 31;2020;marzec;31;wtorek;0,0000;0,0083;0,9917; 26; 14; 88,0
Slovakia;2020-04-01;  400;  37; 1; 1;   3;  0;  396; 36;2020;kwiecień; 1;środa;0,0025;0,0075;0,9900; 27; 15; 75,5
Slovakia;2020-04-02;  426;  26; 1; 0;   5;  2;  420; 24;2020;kwiecień; 2;czwartek;0,0023;0,0117;0,9859; 28; 16; 90,5
Slovakia;2020-04-03;  450;  24; 1; 0;  10;  5;  439; 19;2020;kwiecień; 3;piątek;0,0022;0,0222;0,9756; 29; 17; 92,5
Slovakia;2020-04-04;  471;  21; 1; 0;  10;  0;  460; 21;2020;kwiecień; 4;sobota;0,0021;0,0212;0,9766; 30; 18;102,0
Slovakia;2020-04-05;  485;  14; 1; 0;  10;  0;  474; 14;2020;kwiecień; 5;niedziela;0,0021;0,0206;0,9773; 31; 19;120,5
Slovakia;2020-04-06;  534;  49; 2; 1;   8; -2;  524; 50;2020;kwiecień; 6;poniedziałek;0,0037;0,0150;0,9813; 32; 20; 58,0
Slovakia;2020-04-07;  581;  47; 2; 0;  13;  5;  566; 42;2020;kwiecień; 7;wtorek;0,0034;0,0224;0,9742; 33; 21; 61,5
Slovakia;2020-04-08;  682; 101; 2; 0;  16;  3;  664; 98;2020;kwiecień; 8;środa;0,0029;0,0235;0,9736; 34; 22; 34,0
Slovakia;2020-04-09;  701;  19; 2; 0;  23;  7;  676; 12;2020;kwiecień; 9;czwartek;0,0029;0,0328;0,9643; 35; 23;107,0
Slovakia;2020-04-10;  715;  14; 2; 0;  23;  0;  690; 14;2020;kwiecień;10;piątek;0,0028;0,0322;0,9650; 36; 24;120,5
Slovakia;2020-04-11;  728;  13; 2; 0;  23;  0;  703; 13;2020;kwiecień;11;sobota;0,0027;0,0316;0,9657; 37; 25;127,0
