Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Tajikistan;2020-04-30;   15; 15; 0; 0;    0;   0;  15;  15;2020;kwiecień;30;czwartek;0,0000;0,0000;1,0000;  1;  0;239,0;240,0;324,5; 30,0
Tajikistan;2020-05-01;   15;  0; 0; 0;    0;   0;  15;   0;2020;maj; 1;piątek;0,0000;0,0000;1,0000;  2;  0;331,5;240,0;324,5;160,5
Tajikistan;2020-05-02;   76; 61; 2; 2;    0;   0;  74;  59;2020;maj; 2;sobota;0,0263;0,0000;0,9737;  3;  0; 50,0; 11,0;324,5; 19,0
Tajikistan;2020-05-03;  128; 52; 2; 0;    0;   0; 126;  52;2020;maj; 3;niedziela;0,0156;0,0000;0,9844;  4;  1; 63,0;240,0;324,5; 21,0
Tajikistan;2020-05-04;  230;102; 3; 1;    0;   0; 227; 101;2020;maj; 4;poniedziałek;0,0130;0,0000;0,9870;  5;  2; 20,0; 37,0;324,5;  9,0
Tajikistan;2020-05-05;  293; 63; 5; 2;    0;   0; 288;  61;2020;maj; 5;wtorek;0,0171;0,0000;0,9829;  6;  3; 45,0; 11,0;324,5; 17,5
Tajikistan;2020-05-06;  379; 86; 8; 3;    0;   0; 371;  83;2020;maj; 6;środa;0,0211;0,0000;0,9789;  7;  4; 26,0;  6,5;324,5; 11,0
Tajikistan;2020-05-07;  461; 82;12; 4;    0;   0; 449;  78;2020;maj; 7;czwartek;0,0260;0,0000;0,9740;  8;  5; 29,5;  3,5;324,5; 13,0
Tajikistan;2020-05-08;  522; 61;12; 0;    0;   0; 510;  61;2020;maj; 8;piątek;0,0230;0,0000;0,9770;  9;  6; 50,0;240,0;324,5; 17,5
Tajikistan;2020-05-09;  612; 90;20; 8;    0;   0; 592;  82;2020;maj; 9;sobota;0,0327;0,0000;0,9673; 10;  7; 24,0;  1,0;324,5; 12,0
Tajikistan;2020-05-10;  612;  0;20; 0;    0;   0; 592;   0;2020;maj;10;niedziela;0,0327;0,0000;0,9673; 11;  8;331,5;240,0;324,5;160,5
Tajikistan;2020-05-11;  661; 49;21; 1;    0;   0; 640;  48;2020;maj;11;poniedziałek;0,0318;0,0000;0,9682; 12;  9; 69,5; 37,0;324,5; 23,0
Tajikistan;2020-05-12;  729; 68;21; 0;    0;   0; 708;  68;2020;maj;12;wtorek;0,0288;0,0000;0,9712; 13; 10; 40,5;240,0;324,5; 16,0
Tajikistan;2020-05-13;  801; 72;23; 2;    0;   0; 778;  70;2020;maj;13;środa;0,0287;0,0000;0,9713; 14; 11; 37,0; 11,0;324,5; 15,0
Tajikistan;2020-05-14;  907;106;29; 6;    0;   0; 878; 100;2020;maj;14;czwartek;0,0320;0,0000;0,9680; 15; 12; 18,0;  2,0;324,5; 10,0
Tajikistan;2020-05-15; 1118;211;33; 4;    0;   0;1085; 207;2020;maj;15;piątek;0,0295;0,0000;0,9705; 16; 13;  1,0;  3,5;324,5;  2,5
Tajikistan;2020-05-16; 1322;204;36; 3;    0;   0;1286; 201;2020;maj;16;sobota;0,0272;0,0000;0,9728; 17; 14;  5,5;  6,5;324,5;  5,0
Tajikistan;2020-05-17; 1524;202;39; 3;    0;   0;1485; 199;2020;maj;17;niedziela;0,0256;0,0000;0,9744; 18; 15;  7,0;  6,5;324,5;  6,0
Tajikistan;2020-05-18; 1729;205;41; 2;    0;   0;1688; 203;2020;maj;18;poniedziałek;0,0237;0,0000;0,9763; 19; 16;  4,0; 11,0;324,5;  4,0
Tajikistan;2020-05-19; 1936;207;41; 0;  641; 641;1254;-434;2020;maj;19;wtorek;0,0212;0,3311;0,6477; 20; 17;  3,0;240,0;  1,0;420,0
Tajikistan;2020-05-20; 2140;204;41; 0;  470;-171;1629; 375;2020;maj;20;środa;0,0192;0,2196;0,7612; 21; 18;  5,5;240,0;420,0;  1,0
Tajikistan;2020-05-21; 2350;210;44; 3;  470;   0;1836; 207;2020;maj;21;czwartek;0,0187;0,2000;0,7813; 22; 19;  2,0;  6,5;324,5;  2,5
Tajikistan;2020-05-22; 2551;201;44; 0; 1089; 619;1418;-418;2020;maj;22;piątek;0,0172;0,4269;0,5559; 23; 20;  8,0;240,0;  2,0;419,0
Tajikistan;2020-05-23; 2738;187;44; 0; 1223; 134;1471;  53;2020;maj;23;sobota;0,0161;0,4467;0,5373; 24; 21; 10,0;240,0;  5,0; 20,0
Tajikistan;2020-05-24; 2929;191;46; 2; 1301;  78;1582; 111;2020;maj;24;niedziela;0,0157;0,4442;0,5401; 25; 22;  9,0; 11,0; 30,0;  8,0
Tajikistan;2020-05-25; 3100;171;46; 0; 1395;  94;1659;  77;2020;maj;25;poniedziałek;0,0148;0,4500;0,5352; 26; 23; 11,0;240,0; 21,5; 14,0
Tajikistan;2020-05-26; 3266;166;47; 1; 1417;  22;1802; 143;2020;maj;26;wtorek;0,0144;0,4339;0,5517; 27; 24; 12,0; 37,0;228,0;  7,0
Tajikistan;2020-05-27; 3424;158;47; 0; 1575; 158;1802;   0;2020;maj;27;środa;0,0137;0,4600;0,5263; 28; 25; 13,0;240,0;  3,0;160,5
Tajikistan;2020-05-28; 3563;139;47; 0; 1674;  99;1842;  40;2020;maj;28;czwartek;0,0132;0,4698;0,5170; 29; 26; 14,0;240,0; 17,0; 25,0
