Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Tanzania;2020-03-16;  1;  1; 0;0;  0;  0;  1;  1;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  1;  0; 21,0
Tanzania;2020-03-17;  1;  0; 0;0;  0;  0;  1;  0;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  2;  0;115,5
Tanzania;2020-03-18;  3;  2; 0;0;  0;  0;  3;  2;2020;marzec;18;środa;0,0000;0,0000;1,0000;  3;  0; 17,0
Tanzania;2020-03-19;  6;  3; 0;0;  0;  0;  6;  3;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  4;  0; 15,0
Tanzania;2020-03-20;  6;  0; 0;0;  0;  0;  6;  0;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  5;  0;115,5
Tanzania;2020-03-21;  6;  0; 0;0;  0;  0;  6;  0;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  6;  0;115,5
Tanzania;2020-03-22; 12;  6; 0;0;  0;  0; 12;  6;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  7;  0; 11,5
Tanzania;2020-03-23; 12;  0; 0;0;  0;  0; 12;  0;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000;  8;  0;115,5
Tanzania;2020-03-24; 12;  0; 0;0;  0;  0; 12;  0;2020;marzec;24;wtorek;0,0000;0,0000;1,0000;  9;  0;115,5
Tanzania;2020-03-25; 12;  0; 0;0;  0;  0; 12;  0;2020;marzec;25;środa;0,0000;0,0000;1,0000; 10;  0;115,5
Tanzania;2020-03-26; 13;  1; 0;0;  0;  0; 13;  1;2020;marzec;26;czwartek;0,0000;0,0000;1,0000; 11;  0; 21,0
Tanzania;2020-03-27; 13;  0; 0;0;  1;  1; 12; -1;2020;marzec;27;piątek;0,0000;0,0769;0,9231; 12;  0;115,5
Tanzania;2020-03-28; 14;  1; 0;0;  1;  0; 13;  1;2020;marzec;28;sobota;0,0000;0,0714;0,9286; 13;  0; 21,0
Tanzania;2020-03-29; 14;  0; 0;0;  1;  0; 13;  0;2020;marzec;29;niedziela;0,0000;0,0714;0,9286; 14;  0;115,5
Tanzania;2020-03-30; 19;  5; 0;0;  1;  0; 18;  5;2020;marzec;30;poniedziałek;0,0000;0,0526;0,9474; 15;  0; 13,0
Tanzania;2020-03-31; 19;  0; 1;1;  1;  0; 17; -1;2020;marzec;31;wtorek;0,0526;0,0526;0,8947; 16;  0;115,5
Tanzania;2020-04-01; 20;  1; 1;0;  1;  0; 18;  1;2020;kwiecień; 1;środa;0,0500;0,0500;0,9000; 17;  0; 21,0
Tanzania;2020-04-02; 20;  0; 1;0;  2;  1; 17; -1;2020;kwiecień; 2;czwartek;0,0500;0,1000;0,8500; 18;  0;115,5
Tanzania;2020-04-03; 20;  0; 1;0;  3;  1; 16; -1;2020;kwiecień; 3;piątek;0,0500;0,1500;0,8000; 19;  0;115,5
Tanzania;2020-04-04; 20;  0; 1;0;  3;  0; 16;  0;2020;kwiecień; 4;sobota;0,0500;0,1500;0,8000; 20;  0;115,5
Tanzania;2020-04-05; 22;  2; 1;0;  3;  0; 18;  2;2020;kwiecień; 5;niedziela;0,0455;0,1364;0,8182; 21;  0; 17,0
Tanzania;2020-04-06; 24;  2; 1;0;  3;  0; 20;  2;2020;kwiecień; 6;poniedziałek;0,0417;0,1250;0,8333; 22;  0; 17,0
Tanzania;2020-04-07; 24;  0; 1;0;  5;  2; 18; -2;2020;kwiecień; 7;wtorek;0,0417;0,2083;0,7500; 23;  0;115,5
Tanzania;2020-04-08; 25;  1; 1;0;  5;  0; 19;  1;2020;kwiecień; 8;środa;0,0400;0,2000;0,7600; 24;  0; 21,0
Tanzania;2020-04-09; 25;  0; 1;0;  5;  0; 19;  0;2020;kwiecień; 9;czwartek;0,0400;0,2000;0,7600; 25;  0;115,5
Tanzania;2020-04-10; 32;  7; 3;2;  5;  0; 24;  5;2020;kwiecień;10;piątek;0,0938;0,1562;0,7500; 26;  0; 10,0
Tanzania;2020-04-11; 32;  0; 3;0;  5;  0; 24;  0;2020;kwiecień;11;sobota;0,0938;0,1562;0,7500; 27;  0;115,5
Tanzania;2020-04-12; 32;  0; 3;0;  5;  0; 24;  0;2020;kwiecień;12;niedziela;0,0938;0,1562;0,7500; 28;  0;115,5
Tanzania;2020-04-13; 49; 17; 3;0;  7;  2; 39; 15;2020;kwiecień;13;poniedziałek;0,0612;0,1429;0,7959; 29;  0;  8,0
Tanzania;2020-04-14; 53;  4; 3;0;  7;  0; 43;  4;2020;kwiecień;14;wtorek;0,0566;0,1321;0,8113; 30;  0; 14,0
Tanzania;2020-04-15; 88; 35; 4;1; 11;  4; 73; 30;2020;kwiecień;15;środa;0,0455;0,1250;0,8295; 31;  0;  4,0
Tanzania;2020-04-16; 94;  6; 4;0; 11;  0; 79;  6;2020;kwiecień;16;czwartek;0,0426;0,1170;0,8404; 32;  0; 11,5
Tanzania;2020-04-17;147; 53; 5;1; 11;  0;131; 52;2020;kwiecień;17;piątek;0,0340;0,0748;0,8912; 33;  1;  3,0
Tanzania;2020-04-18;147;  0; 5;0; 11;  0;131;  0;2020;kwiecień;18;sobota;0,0340;0,0748;0,8912; 34;  2;115,5
Tanzania;2020-04-19;170; 23; 7;2; 11;  0;152; 21;2020;kwiecień;19;niedziela;0,0412;0,0647;0,8941; 35;  3;  7,0
Tanzania;2020-04-20;254; 84;10;3; 11;  0;233; 81;2020;kwiecień;20;poniedziałek;0,0394;0,0433;0,9173; 36;  4;  2,0
Tanzania;2020-04-21;254;  0;10;0; 11;  0;233;  0;2020;kwiecień;21;wtorek;0,0394;0,0433;0,9173; 37;  5;115,5
Tanzania;2020-04-22;284; 30;10;0; 11;  0;263; 30;2020;kwiecień;22;środa;0,0352;0,0387;0,9261; 38;  6;  5,0
Tanzania;2020-04-23;284;  0;10;0; 11;  0;263;  0;2020;kwiecień;23;czwartek;0,0352;0,0387;0,9261; 39;  7;115,5
Tanzania;2020-04-24;299; 15;10;0; 48; 37;241;-22;2020;kwiecień;24;piątek;0,0334;0,1605;0,8060; 40;  8;  9,0
Tanzania;2020-04-25;299;  0;10;0; 48;  0;241;  0;2020;kwiecień;25;sobota;0,0334;0,1605;0,8060; 41;  9;115,5
Tanzania;2020-04-26;299;  0;10;0; 48;  0;241;  0;2020;kwiecień;26;niedziela;0,0334;0,1605;0,8060; 42; 10;115,5
Tanzania;2020-04-27;299;  0;10;0; 48;  0;241;  0;2020;kwiecień;27;poniedziałek;0,0334;0,1605;0,8060; 43; 11;115,5
Tanzania;2020-04-28;299;  0;10;0; 48;  0;241;  0;2020;kwiecień;28;wtorek;0,0334;0,1605;0,8060; 44; 12;115,5
Tanzania;2020-04-29;480;181;16;6;167;119;297; 56;2020;kwiecień;29;środa;0,0333;0,3479;0,6188; 45; 13;  1,0
Tanzania;2020-04-30;480;  0;16;0;167;  0;297;  0;2020;kwiecień;30;czwartek;0,0333;0,3479;0,6188; 46; 14;115,5
Tanzania;2020-05-01;480;  0;16;0;167;  0;297;  0;2020;maj; 1;piątek;0,0333;0,3479;0,6188; 47; 15;115,5
Tanzania;2020-05-02;480;  0;16;0;167;  0;297;  0;2020;maj; 2;sobota;0,0333;0,3479;0,6188; 48; 16;115,5
Tanzania;2020-05-03;480;  0;16;0;167;  0;297;  0;2020;maj; 3;niedziela;0,0333;0,3479;0,6188; 49; 17;115,5
Tanzania;2020-05-04;480;  0;16;0;167;  0;297;  0;2020;maj; 4;poniedziałek;0,0333;0,3479;0,6188; 50; 18;115,5
