Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Thailand;2020-01-22;   2;  0; 0;0;   0;  0;   2;   0;2020;styczeń;22;środa;0,0000;0,0000;1,0000;  1;  0;285,0;177;266,5;167,0
Thailand;2020-01-23;   3;  1; 0;0;   0;  0;   3;   1;2020;styczeń;23;czwartek;0,0000;0,0000;1,0000;  2;  0;236,5;177;266,5;125,5
Thailand;2020-01-24;   5;  2; 0;0;   0;  0;   5;   2;2020;styczeń;24;piątek;0,0000;0,0000;1,0000;  3;  0;208,0;177;266,5;103,5
Thailand;2020-01-25;   7;  2; 0;0;   0;  0;   7;   2;2020;styczeń;25;sobota;0,0000;0,0000;1,0000;  4;  0;208,0;177;266,5;103,5
Thailand;2020-01-26;   8;  1; 0;0;   2;  2;   6;  -1;2020;styczeń;26;niedziela;0,0000;0,2500;0,7500;  5;  0;236,5;177;172,5;207,0
Thailand;2020-01-27;   8;  0; 0;0;   2;  0;   6;   0;2020;styczeń;27;poniedziałek;0,0000;0,2500;0,7500;  6;  0;285,0;177;266,5;167,0
Thailand;2020-01-28;  14;  6; 0;0;   5;  3;   9;   3;2020;styczeń;28;wtorek;0,0000;0,3571;0,6429;  7;  0;120,5;177;145,5; 89,0
Thailand;2020-01-29;  14;  0; 0;0;   5;  0;   9;   0;2020;styczeń;29;środa;0,0000;0,3571;0,6429;  8;  0;285,0;177;266,5;167,0
Thailand;2020-01-30;  14;  0; 0;0;   5;  0;   9;   0;2020;styczeń;30;czwartek;0,0000;0,3571;0,6429;  9;  0;285,0;177;266,5;167,0
Thailand;2020-01-31;  19;  5; 0;0;   5;  0;  14;   5;2020;styczeń;31;piątek;0,0000;0,2632;0,7368; 10;  0;142,5;177;266,5; 65,0
Thailand;2020-02-01;  19;  0; 0;0;   5;  0;  14;   0;2020;luty; 1;sobota;0,0000;0,2632;0,7368; 11;  0;285,0;177;266,5;167,0
Thailand;2020-02-02;  19;  0; 0;0;   5;  0;  14;   0;2020;luty; 2;niedziela;0,0000;0,2632;0,7368; 12;  0;285,0;177;266,5;167,0
Thailand;2020-02-03;  19;  0; 0;0;   5;  0;  14;   0;2020;luty; 3;poniedziałek;0,0000;0,2632;0,7368; 13;  0;285,0;177;266,5;167,0
Thailand;2020-02-04;  25;  6; 0;0;   5;  0;  20;   6;2020;luty; 4;wtorek;0,0000;0,2000;0,8000; 14;  0;120,5;177;266,5; 55,5
Thailand;2020-02-05;  25;  0; 0;0;   5;  0;  20;   0;2020;luty; 5;środa;0,0000;0,2000;0,8000; 15;  0;285,0;177;266,5;167,0
Thailand;2020-02-06;  25;  0; 0;0;   5;  0;  20;   0;2020;luty; 6;czwartek;0,0000;0,2000;0,8000; 16;  0;285,0;177;266,5;167,0
Thailand;2020-02-07;  25;  0; 0;0;   5;  0;  20;   0;2020;luty; 7;piątek;0,0000;0,2000;0,8000; 17;  0;285,0;177;266,5;167,0
Thailand;2020-02-08;  32;  7; 0;0;  10;  5;  22;   2;2020;luty; 8;sobota;0,0000;0,3125;0,6875; 18;  0;101,5;177;116,0;103,5
Thailand;2020-02-09;  32;  0; 0;0;  10;  0;  22;   0;2020;luty; 9;niedziela;0,0000;0,3125;0,6875; 19;  0;285,0;177;266,5;167,0
Thailand;2020-02-10;  32;  0; 0;0;  10;  0;  22;   0;2020;luty;10;poniedziałek;0,0000;0,3125;0,6875; 20;  0;285,0;177;266,5;167,0
Thailand;2020-02-11;  33;  1; 0;0;  10;  0;  23;   1;2020;luty;11;wtorek;0,0000;0,3030;0,6970; 21;  0;236,5;177;266,5;125,5
Thailand;2020-02-12;  33;  0; 0;0;  10;  0;  23;   0;2020;luty;12;środa;0,0000;0,3030;0,6970; 22;  0;285,0;177;266,5;167,0
