Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Tunisia;2020-03-04;   1; 1; 0;0;   0;  0;  1;   1;2020;marzec; 4;środa;0,0000;0,0000;1,0000;  1;  0
Tunisia;2020-03-05;   1; 0; 0;0;   0;  0;  1;   0;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000;  2;  0
Tunisia;2020-03-06;   1; 0; 0;0;   0;  0;  1;   0;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  3;  0
Tunisia;2020-03-07;   1; 0; 0;0;   0;  0;  1;   0;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  4;  0
Tunisia;2020-03-08;   2; 1; 0;0;   0;  0;  2;   1;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  5;  0
Tunisia;2020-03-09;   2; 0; 0;0;   0;  0;  2;   0;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000;  6;  0
Tunisia;2020-03-10;   5; 3; 0;0;   0;  0;  5;   3;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  7;  0
Tunisia;2020-03-11;   7; 2; 0;0;   0;  0;  7;   2;2020;marzec;11;środa;0,0000;0,0000;1,0000;  8;  0
Tunisia;2020-03-12;   7; 0; 0;0;   0;  0;  7;   0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  9;  0
Tunisia;2020-03-13;  16; 9; 0;0;   0;  0; 16;   9;2020;marzec;13;piątek;0,0000;0,0000;1,0000; 10;  0
Tunisia;2020-03-14;  18; 2; 0;0;   0;  0; 18;   2;2020;marzec;14;sobota;0,0000;0,0000;1,0000; 11;  0
Tunisia;2020-03-15;  18; 0; 0;0;   0;  0; 18;   0;2020;marzec;15;niedziela;0,0000;0,0000;1,0000; 12;  0
Tunisia;2020-03-16;  20; 2; 0;0;   0;  0; 20;   2;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000; 13;  0
Tunisia;2020-03-17;  24; 4; 0;0;   0;  0; 24;   4;2020;marzec;17;wtorek;0,0000;0,0000;1,0000; 14;  0
Tunisia;2020-03-18;  29; 5; 0;0;   0;  0; 29;   5;2020;marzec;18;środa;0,0000;0,0000;1,0000; 15;  0
Tunisia;2020-03-19;  39;10; 1;1;   0;  0; 38;   9;2020;marzec;19;czwartek;0,0256;0,0000;0,9744; 16;  0
