Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
US;2020-01-22;      1;    0;     0;   0;      0;     0;      1;     0;2020;styczeń;22;środa;0,0000;0,0000;1,0000;  1;  0;247,5
US;2020-01-23;      1;    0;     0;   0;      0;     0;      1;     0;2020;styczeń;23;czwartek;0,0000;0,0000;1,0000;  2;  0;247,5
US;2020-01-24;      2;    1;     0;   0;      0;     0;      2;     1;2020;styczeń;24;piątek;0,0000;0,0000;1,0000;  3;  0;230,5
US;2020-01-25;      2;    0;     0;   0;      0;     0;      2;     0;2020;styczeń;25;sobota;0,0000;0,0000;1,0000;  4;  0;247,5
US;2020-01-26;      5;    3;     0;   0;      0;     0;      5;     3;2020;styczeń;26;niedziela;0,0000;0,0000;1,0000;  5;  0;224,5
US;2020-01-27;      5;    0;     0;   0;      0;     0;      5;     0;2020;styczeń;27;poniedziałek;0,0000;0,0000;1,0000;  6;  0;247,5
US;2020-01-28;      5;    0;     0;   0;      0;     0;      5;     0;2020;styczeń;28;wtorek;0,0000;0,0000;1,0000;  7;  0;247,5
US;2020-01-29;      6;    1;     0;   0;      0;     0;      6;     1;2020;styczeń;29;środa;0,0000;0,0000;1,0000;  8;  0;230,5
US;2020-01-30;      6;    0;     0;   0;      0;     0;      6;     0;2020;styczeń;30;czwartek;0,0000;0,0000;1,0000;  9;  0;247,5
US;2020-01-31;      8;    2;     0;   0;      0;     0;      8;     2;2020;styczeń;31;piątek;0,0000;0,0000;1,0000; 10;  0;226,5
US;2020-02-01;      8;    0;     0;   0;      0;     0;      8;     0;2020;luty; 1;sobota;0,0000;0,0000;1,0000; 11;  0;247,5
US;2020-02-02;      8;    0;     0;   0;      0;     0;      8;     0;2020;luty; 2;niedziela;0,0000;0,0000;1,0000; 12;  0;247,5
US;2020-02-03;     11;    3;     0;   0;      0;     0;     11;     3;2020;luty; 3;poniedziałek;0,0000;0,0000;1,0000; 13;  0;224,5
US;2020-02-04;     11;    0;     0;   0;      0;     0;     11;     0;2020;luty; 4;wtorek;0,0000;0,0000;1,0000; 14;  0;247,5
US;2020-02-05;     11;    0;     0;   0;      0;     0;     11;     0;2020;luty; 5;środa;0,0000;0,0000;1,0000; 15;  0;247,5
US;2020-02-06;     12;    1;     0;   0;      0;     0;     12;     1;2020;luty; 6;czwartek;0,0000;0,0000;1,0000; 16;  0;230,5
US;2020-02-07;     12;    0;     0;   0;      0;     0;     12;     0;2020;luty; 7;piątek;0,0000;0,0000;1,0000; 17;  0;247,5
US;2020-02-08;     12;    0;     0;   0;      0;     0;     12;     0;2020;luty; 8;sobota;0,0000;0,0000;1,0000; 18;  0;247,5
US;2020-02-09;     12;    0;     0;   0;      3;     3;      9;    -3;2020;luty; 9;niedziela;0,0000;0,2500;0,7500; 19;  0;247,5
US;2020-02-10;     12;    0;     0;   0;      3;     0;      9;     0;2020;luty;10;poniedziałek;0,0000;0,2500;0,7500; 20;  0;247,5
US;2020-02-11;     13;    1;     0;   0;      3;     0;     10;     1;2020;luty;11;wtorek;0,0000;0,2308;0,7692; 21;  0;230,5
US;2020-02-12;     13;    0;     0;   0;      3;     0;     10;     0;2020;luty;12;środa;0,0000;0,2308;0,7692; 22;  0;247,5
US;2020-02-13;     14;    1;     0;   0;      3;     0;     11;     1;2020;luty;13;czwartek;0,0000;0,2143;0,7857; 23;  0;230,5
US;2020-02-14;     14;    0;     0;   0;      3;     0;     11;     0;2020;luty;14;piątek;0,0000;0,2143;0,7857; 24;  0;247,5
US;2020-02-15;     14;    0;     0;   0;      3;     0;     11;     0;2020;luty;15;sobota;0,0000;0,2143;0,7857; 25;  0;247,5
US;2020-02-16;     14;    0;     0;   0;      3;     0;     11;     0;2020;luty;16;niedziela;0,0000;0,2143;0,7857; 26;  0;247,5
