Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Uganda;2020-03-21;    1;   1;  0; 0;    0;    0;    1;     1;2020;marzec;21;sobota;0,0000;0,0000; 1,0000;  1;  0;416,0;309,5;357,5;331,5
Uganda;2020-03-22;    1;   0;  0; 0;    0;    0;    1;     0;2020;marzec;22;niedziela;0,0000;0,0000; 1,0000;  2;  0;440,0;309,5;357,5;352,5
Uganda;2020-03-23;    9;   8;  0; 0;    0;    0;    9;     8;2020;marzec;23;poniedziałek;0,0000;0,0000; 1,0000;  3;  0;364,5;309,5;357,5;284,0
Uganda;2020-03-24;    9;   0;  0; 0;    0;    0;    9;     0;2020;marzec;24;wtorek;0,0000;0,0000; 1,0000;  4;  0;440,0;309,5;357,5;352,5
Uganda;2020-03-25;   14;   5;  0; 0;    0;    0;   14;     5;2020;marzec;25;środa;0,0000;0,0000; 1,0000;  5;  0;385,0;309,5;357,5;303,5
Uganda;2020-03-26;   14;   0;  0; 0;    0;    0;   14;     0;2020;marzec;26;czwartek;0,0000;0,0000; 1,0000;  6;  0;440,0;309,5;357,5;352,5
Uganda;2020-03-27;   23;   9;  0; 0;    0;    0;   23;     9;2020;marzec;27;piątek;0,0000;0,0000; 1,0000;  7;  0;355,5;309,5;357,5;278,5
Uganda;2020-03-28;   30;   7;  0; 0;    0;    0;   30;     7;2020;marzec;28;sobota;0,0000;0,0000; 1,0000;  8;  0;374,5;309,5;357,5;291,0
Uganda;2020-03-29;   33;   3;  0; 0;    0;    0;   33;     3;2020;marzec;29;niedziela;0,0000;0,0000; 1,0000;  9;  0;400,0;309,5;357,5;316,5
Uganda;2020-03-30;   33;   0;  0; 0;    0;    0;   33;     0;2020;marzec;30;poniedziałek;0,0000;0,0000; 1,0000; 10;  0;440,0;309,5;357,5;352,5
Uganda;2020-03-31;   44;  11;  0; 0;    0;    0;   44;    11;2020;marzec;31;wtorek;0,0000;0,0000; 1,0000; 11;  0;343,0;309,5;357,5;270,0
