Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Ukraine;2020-03-03;    1;  1;  0; 0;    0;  0;    1;   1;2020;March; 3;Tuesday;0,0000;0,0000;1,0000; 1; 0
Ukraine;2020-03-04;    1;  0;  0; 0;    0;  0;    1;   0;2020;March; 4;Wednesday;0,0000;0,0000;1,0000; 2; 0
Ukraine;2020-03-05;    1;  0;  0; 0;    0;  0;    1;   0;2020;March; 5;Thursday;0,0000;0,0000;1,0000; 3; 0
Ukraine;2020-03-06;    1;  0;  0; 0;    0;  0;    1;   0;2020;March; 6;Friday;0,0000;0,0000;1,0000; 4; 0
Ukraine;2020-03-07;    1;  0;  0; 0;    0;  0;    1;   0;2020;March; 7;Saturday;0,0000;0,0000;1,0000; 5; 0
Ukraine;2020-03-08;    1;  0;  0; 0;    0;  0;    1;   0;2020;March; 8;Sunday;0,0000;0,0000;1,0000; 6; 0
Ukraine;2020-03-09;    1;  0;  0; 0;    0;  0;    1;   0;2020;March; 9;Monday;0,0000;0,0000;1,0000; 7; 0
Ukraine;2020-03-10;    1;  0;  0; 0;    0;  0;    1;   0;2020;March;10;Tuesday;0,0000;0,0000;1,0000; 8; 0
Ukraine;2020-03-11;    1;  0;  0; 0;    0;  0;    1;   0;2020;March;11;Wednesday;0,0000;0,0000;1,0000; 9; 0
Ukraine;2020-03-12;    1;  0;  0; 0;    0;  0;    1;   0;2020;March;12;Thursday;0,0000;0,0000;1,0000;10; 0
Ukraine;2020-03-13;    3;  2;  1; 1;    0;  0;    2;   1;2020;March;13;Friday;0,3333;0,0000;0,6667;11; 0
Ukraine;2020-03-14;    3;  0;  1; 0;    0;  0;    2;   0;2020;March;14;Saturday;0,3333;0,0000;0,6667;12; 0
Ukraine;2020-03-15;    3;  0;  1; 0;    0;  0;    2;   0;2020;March;15;Sunday;0,3333;0,0000;0,6667;13; 0
Ukraine;2020-03-16;    7;  4;  1; 0;    0;  0;    6;   4;2020;March;16;Monday;0,1429;0,0000;0,8571;14; 0
Ukraine;2020-03-17;   14;  7;  2; 1;    0;  0;   12;   6;2020;March;17;Tuesday;0,1429;0,0000;0,8571;15; 0
Ukraine;2020-03-18;   14;  0;  2; 0;    0;  0;   12;   0;2020;March;18;Wednesday;0,1429;0,0000;0,8571;16; 0
Ukraine;2020-03-19;   16;  2;  2; 0;    0;  0;   14;   2;2020;March;19;Thursday;0,1250;0,0000;0,8750;17; 0
Ukraine;2020-03-20;   29; 13;  3; 1;    0;  0;   26;  12;2020;March;20;Friday;0,1034;0,0000;0,8966;18; 0
Ukraine;2020-03-21;   47; 18;  3; 0;    1;  1;   43;  17;2020;March;21;Saturday;0,0638;0,0213;0,9149;19; 0
Ukraine;2020-03-22;   73; 26;  3; 0;    1;  0;   69;  26;2020;March;22;Sunday;0,0411;0,0137;0,9452;20; 0
Ukraine;2020-03-23;   73;  0;  3; 0;    1;  0;   69;   0;2020;March;23;Monday;0,0411;0,0137;0,9452;21; 0
Ukraine;2020-03-24;   97; 24;  3; 0;    1;  0;   93;  24;2020;March;24;Tuesday;0,0309;0,0103;0,9588;22; 0
Ukraine;2020-03-25;  145; 48;  5; 2;    1;  0;  139;  46;2020;March;25;Wednesday;0,0345;0,0069;0,9586;23; 1
Ukraine;2020-03-26;  196; 51;  5; 0;    1;  0;  190;  51;2020;March;26;Thursday;0,0255;0,0051;0,9694;24; 2
Ukraine;2020-03-27;  310;114;  5; 0;    5;  4;  300; 110;2020;March;27;Friday;0,0161;0,0161;0,9677;25; 3
Ukraine;2020-03-28;  356; 46;  9; 4;    5;  0;  342;  42;2020;March;28;Saturday;0,0253;0,0140;0,9607;26; 4
Ukraine;2020-03-29;  475;119; 10; 1;    6;  1;  459; 117;2020;March;29;Sunday;0,0211;0,0126;0,9663;27; 5
Ukraine;2020-03-30;  548; 73; 13; 3;    8;  2;  527;  68;2020;March;30;Monday;0,0237;0,0146;0,9617;28; 6
Ukraine;2020-03-31;  645; 97; 17; 4;   10;  2;  618;  91;2020;March;31;Tuesday;0,0264;0,0155;0,9581;29; 7
Ukraine;2020-04-01;  794;149; 20; 3;   13;  3;  761; 143;2020;April; 1;Wednesday;0,0252;0,0164;0,9584;30; 8
Ukraine;2020-04-02;  897;103; 22; 2;   19;  6;  856;  95;2020;April; 2;Thursday;0,0245;0,0212;0,9543;31; 9
Ukraine;2020-04-03; 1072;175; 27; 5;   22;  3; 1023; 167;2020;April; 3;Friday;0,0252;0,0205;0,9543;32;10
Ukraine;2020-04-04; 1225;153; 32; 5;   25;  3; 1168; 145;2020;April; 4;Saturday;0,0261;0,0204;0,9535;33;11
Ukraine;2020-04-05; 1308; 83; 37; 5;   28;  3; 1243;  75;2020;April; 5;Sunday;0,0283;0,0214;0,9503;34;12
Ukraine;2020-04-06; 1319; 11; 38; 1;   28;  0; 1253;  10;2020;April; 6;Monday;0,0288;0,0212;0,9500;35;13
Ukraine;2020-04-07; 1462;143; 45; 7;   28;  0; 1389; 136;2020;April; 7;Tuesday;0,0308;0,0192;0,9501;36;14
Ukraine;2020-04-08; 1668;206; 52; 7;   35;  7; 1581; 192;2020;April; 8;Wednesday;0,0312;0,0210;0,9478;37;15
Ukraine;2020-04-09; 1892;224; 57; 5;   45; 10; 1790; 209;2020;April; 9;Thursday;0,0301;0,0238;0,9461;38;16
Ukraine;2020-04-10; 2203;311; 69;12;   61; 16; 2073; 283;2020;April;10;Friday;0,0313;0,0277;0,9410;39;17
Ukraine;2020-04-11; 2511;308; 73; 4;   79; 18; 2359; 286;2020;April;11;Saturday;0,0291;0,0315;0,9395;40;18
Ukraine;2020-04-12; 2777;266; 83;10;   89; 10; 2605; 246;2020;April;12;Sunday;0,0299;0,0320;0,9381;41;19
Ukraine;2020-04-13; 3102;325; 93;10;   97;  8; 2912; 307;2020;April;13;Monday;0,0300;0,0313;0,9387;42;20
Ukraine;2020-04-14; 3372;270; 98; 5;  119; 22; 3155; 243;2020;April;14;Tuesday;0,0291;0,0353;0,9356;43;21
Ukraine;2020-04-15; 3764;392;108;10;  143; 24; 3513; 358;2020;April;15;Wednesday;0,0287;0,0380;0,9333;44;22
Ukraine;2020-04-16; 4161;397;116; 8;  186; 43; 3859; 346;2020;April;16;Thursday;0,0279;0,0447;0,9274;45;23
Ukraine;2020-04-17; 4662;501;125; 9;  246; 60; 4291; 432;2020;April;17;Friday;0,0268;0,0528;0,9204;46;24
