Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Vietnam;2020-01-23;   2; 2; 0; 0;   0;  0;  2;  2;2020;styczeń;23;czwartek;0,0000;0,0000;1,0000;  1;  0; 94,5
Vietnam;2020-01-24;   2; 0; 0; 0;   0;  0;  2;  0;2020;styczeń;24;piątek;0,0000;0,0000;1,0000;  2;  0;199,5
Vietnam;2020-01-25;   2; 0; 0; 0;   0;  0;  2;  0;2020;styczeń;25;sobota;0,0000;0,0000;1,0000;  3;  0;199,5
Vietnam;2020-01-26;   2; 0; 0; 0;   0;  0;  2;  0;2020;styczeń;26;niedziela;0,0000;0,0000;1,0000;  4;  0;199,5
Vietnam;2020-01-27;   2; 0; 0; 0;   0;  0;  2;  0;2020;styczeń;27;poniedziałek;0,0000;0,0000;1,0000;  5;  0;199,5
Vietnam;2020-01-28;   2; 0; 0; 0;   0;  0;  2;  0;2020;styczeń;28;wtorek;0,0000;0,0000;1,0000;  6;  0;199,5
Vietnam;2020-01-29;   2; 0; 0; 0;   0;  0;  2;  0;2020;styczeń;29;środa;0,0000;0,0000;1,0000;  7;  0;199,5
Vietnam;2020-01-30;   2; 0; 0; 0;   0;  0;  2;  0;2020;styczeń;30;czwartek;0,0000;0,0000;1,0000;  8;  0;199,5
Vietnam;2020-01-31;   2; 0; 0; 0;   0;  0;  2;  0;2020;styczeń;31;piątek;0,0000;0,0000;1,0000;  9;  0;199,5
Vietnam;2020-02-01;   6; 4; 0; 0;   1;  1;  5;  3;2020;luty; 1;sobota;0,0000;0,1667;0,8333; 10;  0; 67,5
Vietnam;2020-02-02;   6; 0; 0; 0;   1;  0;  5;  0;2020;luty; 2;niedziela;0,0000;0,1667;0,8333; 11;  0;199,5
Vietnam;2020-02-03;   8; 2; 0; 0;   1;  0;  7;  2;2020;luty; 3;poniedziałek;0,0000;0,1250;0,8750; 12;  0; 94,5
Vietnam;2020-02-04;   8; 0; 0; 0;   1;  0;  7;  0;2020;luty; 4;wtorek;0,0000;0,1250;0,8750; 13;  0;199,5
Vietnam;2020-02-05;   8; 0; 0; 0;   1;  0;  7;  0;2020;luty; 5;środa;0,0000;0,1250;0,8750; 14;  0;199,5
Vietnam;2020-02-06;  10; 2; 0; 0;   1;  0;  9;  2;2020;luty; 6;czwartek;0,0000;0,1000;0,9000; 15;  0; 94,5
Vietnam;2020-02-07;  10; 0; 0; 0;   1;  0;  9;  0;2020;luty; 7;piątek;0,0000;0,1000;0,9000; 16;  0;199,5
Vietnam;2020-02-08;  13; 3; 0; 0;   1;  0; 12;  3;2020;luty; 8;sobota;0,0000;0,0769;0,9231; 17;  0; 78,5
Vietnam;2020-02-09;  13; 0; 0; 0;   1;  0; 12;  0;2020;luty; 9;niedziela;0,0000;0,0769;0,9231; 18;  0;199,5
Vietnam;2020-02-10;  14; 1; 0; 0;   1;  0; 13;  1;2020;luty;10;poniedziałek;0,0000;0,0714;0,9286; 19;  0;121,5
Vietnam;2020-02-11;  15; 1; 0; 0;   6;  5;  9; -4;2020;luty;11;wtorek;0,0000;0,4000;0,6000; 20;  0;121,5
Vietnam;2020-02-12;  15; 0; 0; 0;   6;  0;  9;  0;2020;luty;12;środa;0,0000;0,4000;0,6000; 21;  0;199,5
Vietnam;2020-02-13;  16; 1; 0; 0;   7;  1;  9;  0;2020;luty;13;czwartek;0,0000;0,4375;0,5625; 22;  0;121,5
Vietnam;2020-02-14;  16; 0; 0; 0;   7;  0;  9;  0;2020;luty;14;piątek;0,0000;0,4375;0,5625; 23;  0;199,5
Vietnam;2020-02-15;  16; 0; 0; 0;   7;  0;  9;  0;2020;luty;15;sobota;0,0000;0,4375;0,5625; 24;  0;199,5
Vietnam;2020-02-16;  16; 0; 0; 0;   7;  0;  9;  0;2020;luty;16;niedziela;0,0000;0,4375;0,5625; 25;  0;199,5
