Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
West Bank and Gaza;2020-03-05;   4;  4;0;0;  0;  0;  4;  4;2020;marzec; 5;czwartek;0,0000;0,0000;1,0000;  1; 0
West Bank and Gaza;2020-03-06;   7;  3;0;0;  0;  0;  7;  3;2020;marzec; 6;piątek;0,0000;0,0000;1,0000;  2; 0
West Bank and Gaza;2020-03-07;  16;  9;0;0;  0;  0; 16;  9;2020;marzec; 7;sobota;0,0000;0,0000;1,0000;  3; 0
West Bank and Gaza;2020-03-08;  16;  0;0;0;  0;  0; 16;  0;2020;marzec; 8;niedziela;0,0000;0,0000;1,0000;  4; 0
West Bank and Gaza;2020-03-09;  19;  3;0;0;  0;  0; 19;  3;2020;marzec; 9;poniedziałek;0,0000;0,0000;1,0000;  5; 0
West Bank and Gaza;2020-03-10;  26;  7;0;0;  0;  0; 26;  7;2020;marzec;10;wtorek;0,0000;0,0000;1,0000;  6; 0
West Bank and Gaza;2020-03-11;  30;  4;0;0;  0;  0; 30;  4;2020;marzec;11;środa;0,0000;0,0000;1,0000;  7; 0
West Bank and Gaza;2020-03-12;  30;  0;0;0;  0;  0; 30;  0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  8; 0
West Bank and Gaza;2020-03-13;  31;  1;0;0;  0;  0; 31;  1;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  9; 0
West Bank and Gaza;2020-03-14;  35;  4;0;0;  0;  0; 35;  4;2020;marzec;14;sobota;0,0000;0,0000;1,0000; 10; 0
West Bank and Gaza;2020-03-15;  38;  3;0;0;  0;  0; 38;  3;2020;marzec;15;niedziela;0,0000;0,0000;1,0000; 11; 0
West Bank and Gaza;2020-03-16;  38;  0;0;0;  0;  0; 38;  0;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000; 12; 0
West Bank and Gaza;2020-03-17;  39;  1;0;0;  0;  0; 39;  1;2020;marzec;17;wtorek;0,0000;0,0000;1,0000; 13; 0
West Bank and Gaza;2020-03-18;  41;  2;0;0;  0;  0; 41;  2;2020;marzec;18;środa;0,0000;0,0000;1,0000; 14; 0
West Bank and Gaza;2020-03-19;  44;  3;0;0;  0;  0; 44;  3;2020;marzec;19;czwartek;0,0000;0,0000;1,0000; 15; 0
West Bank and Gaza;2020-03-20;  47;  3;0;0; 17; 17; 30;-14;2020;marzec;20;piątek;0,0000;0,3617;0,6383; 16; 0
West Bank and Gaza;2020-03-21;  48;  1;0;0; 17;  0; 31;  1;2020;marzec;21;sobota;0,0000;0,3542;0,6458; 17; 0
West Bank and Gaza;2020-03-22;  52;  4;0;0; 17;  0; 35;  4;2020;marzec;22;niedziela;0,0000;0,3269;0,6731; 18; 0
West Bank and Gaza;2020-03-23;  59;  7;0;0; 17;  0; 42;  7;2020;marzec;23;poniedziałek;0,0000;0,2881;0,7119; 19; 0
West Bank and Gaza;2020-03-24;  59;  0;0;0; 17;  0; 42;  0;2020;marzec;24;wtorek;0,0000;0,2881;0,7119; 20; 0
West Bank and Gaza;2020-03-25;  59;  0;0;0; 17;  0; 42;  0;2020;marzec;25;środa;0,0000;0,2881;0,7119; 21; 0
West Bank and Gaza;2020-03-26;  84; 25;1;1; 17;  0; 66; 24;2020;marzec;26;czwartek;0,0119;0,2024;0,7857; 22; 0
West Bank and Gaza;2020-03-27;  91;  7;1;0; 17;  0; 73;  7;2020;marzec;27;piątek;0,0110;0,1868;0,8022; 23; 0
West Bank and Gaza;2020-03-28;  98;  7;1;0; 18;  1; 79;  6;2020;marzec;28;sobota;0,0102;0,1837;0,8061; 24; 0
West Bank and Gaza;2020-03-29; 109; 11;1;0; 18;  0; 90; 11;2020;marzec;29;niedziela;0,0092;0,1651;0,8257; 25; 1
West Bank and Gaza;2020-03-30; 116;  7;1;0; 18;  0; 97;  7;2020;marzec;30;poniedziałek;0,0086;0,1552;0,8362; 26; 2
West Bank and Gaza;2020-03-31; 119;  3;1;0; 18;  0;100;  3;2020;marzec;31;wtorek;0,0084;0,1513;0,8403; 27; 3
West Bank and Gaza;2020-04-01; 134; 15;1;0; 18;  0;115; 15;2020;kwiecień; 1;środa;0,0075;0,1343;0,8582; 28; 4
West Bank and Gaza;2020-04-02; 161; 27;1;0; 18;  0;142; 27;2020;kwiecień; 2;czwartek;0,0062;0,1118;0,8820; 29; 5
West Bank and Gaza;2020-04-03; 194; 33;1;0; 21;  3;172; 30;2020;kwiecień; 3;piątek;0,0052;0,1082;0,8866; 30; 6
West Bank and Gaza;2020-04-04; 217; 23;1;0; 21;  0;195; 23;2020;kwiecień; 4;sobota;0,0046;0,0968;0,8986; 31; 7
West Bank and Gaza;2020-04-05; 237; 20;1;0; 25;  4;211; 16;2020;kwiecień; 5;niedziela;0,0042;0,1055;0,8903; 32; 8
West Bank and Gaza;2020-04-06; 254; 17;1;0; 24; -1;229; 18;2020;kwiecień; 6;poniedziałek;0,0039;0,0945;0,9016; 33; 9
West Bank and Gaza;2020-04-07; 261;  7;1;0; 42; 18;218;-11;2020;kwiecień; 7;wtorek;0,0038;0,1609;0,8352; 34;10
West Bank and Gaza;2020-04-08; 263;  2;1;0; 44;  2;218;  0;2020;kwiecień; 8;środa;0,0038;0,1673;0,8289; 35;11
West Bank and Gaza;2020-04-09; 263;  0;1;0; 44;  0;218;  0;2020;kwiecień; 9;czwartek;0,0038;0,1673;0,8289; 36;12
West Bank and Gaza;2020-04-10; 267;  4;2;1; 45;  1;220;  2;2020;kwiecień;10;piątek;0,0075;0,1685;0,8240; 37;13
West Bank and Gaza;2020-04-11; 268;  1;2;0; 57; 12;209;-11;2020;kwiecień;11;sobota;0,0075;0,2127;0,7799; 38;14
West Bank and Gaza;2020-04-12; 271;  3;2;0; 58;  1;211;  2;2020;kwiecień;12;niedziela;0,0074;0,2140;0,7786; 39;15
West Bank and Gaza;2020-04-13; 273;  2;2;0; 58;  0;213;  2;2020;kwiecień;13;poniedziałek;0,0073;0,2125;0,7802; 40;16
West Bank and Gaza;2020-04-14; 284; 11;2;0; 62;  4;220;  7;2020;kwiecień;14;wtorek;0,0070;0,2183;0,7746; 41;17
