Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed;New_Confirmed_Rank
Western Sahara;2020-04-05; 4;4;0;0;0;0;4; 4;2020;kwiecień; 5;niedziela;0,0000;0,0000;1,0000;  1;0; 1
Western Sahara;2020-04-06; 4;0;0;0;0;0;4; 0;2020;kwiecień; 6;poniedziałek;0,0000;0,0000;1,0000;  2;0;96
Western Sahara;2020-04-07; 4;0;0;0;0;0;4; 0;2020;kwiecień; 7;wtorek;0,0000;0,0000;1,0000;  3;0;96
Western Sahara;2020-04-08; 4;0;0;0;0;0;4; 0;2020;kwiecień; 8;środa;0,0000;0,0000;1,0000;  4;0;96
Western Sahara;2020-04-09; 4;0;0;0;0;0;4; 0;2020;kwiecień; 9;czwartek;0,0000;0,0000;1,0000;  5;0;96
Western Sahara;2020-04-10; 4;0;0;0;0;0;4; 0;2020;kwiecień;10;piątek;0,0000;0,0000;1,0000;  6;0;96
Western Sahara;2020-04-11; 4;0;0;0;0;0;4; 0;2020;kwiecień;11;sobota;0,0000;0,0000;1,0000;  7;0;96
Western Sahara;2020-04-12; 6;2;0;0;0;0;6; 2;2020;kwiecień;12;niedziela;0,0000;0,0000;1,0000;  8;0; 3
Western Sahara;2020-04-13; 6;0;0;0;0;0;6; 0;2020;kwiecień;13;poniedziałek;0,0000;0,0000;1,0000;  9;0;96
Western Sahara;2020-04-14; 6;0;0;0;0;0;6; 0;2020;kwiecień;14;wtorek;0,0000;0,0000;1,0000; 10;0;96
Western Sahara;2020-04-15; 6;0;0;0;0;0;6; 0;2020;kwiecień;15;środa;0,0000;0,0000;1,0000; 11;0;96
Western Sahara;2020-04-16; 6;0;0;0;0;0;6; 0;2020;kwiecień;16;czwartek;0,0000;0,0000;1,0000; 12;0;96
Western Sahara;2020-04-17; 6;0;0;0;0;0;6; 0;2020;kwiecień;17;piątek;0,0000;0,0000;1,0000; 13;0;96
Western Sahara;2020-04-18; 6;0;0;0;0;0;6; 0;2020;kwiecień;18;sobota;0,0000;0,0000;1,0000; 14;0;96
Western Sahara;2020-04-19; 6;0;0;0;0;0;6; 0;2020;kwiecień;19;niedziela;0,0000;0,0000;1,0000; 15;0;96
Western Sahara;2020-04-20; 6;0;0;0;0;0;6; 0;2020;kwiecień;20;poniedziałek;0,0000;0,0000;1,0000; 16;0;96
