Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;1_Confirmed;100_Confirmed;New_Confirmed_Rank;New_Deaths_Rank;New_Recovered_Rank;New_Active_Rank
Zimbabwe;2020-03-20;    1;   1;   0; 0;    0;   0;    1;    1;2020;marzec;20;piątek;0,0000;0,0000;1,0000;  1;  0;402,0;354,0;414,0;249,0
Zimbabwe;2020-03-21;    3;   2;   0; 0;    0;   0;    3;    2;2020;marzec;21;sobota;0,0000;0,0000;1,0000;  2;  0;390,5;354,0;414,0;236,0
Zimbabwe;2020-03-22;    3;   0;   0; 0;    0;   0;    3;    0;2020;marzec;22;niedziela;0,0000;0,0000;1,0000;  3;  0;435,0;354,0;414,0;281,5
Zimbabwe;2020-03-23;    3;   0;   1; 1;    0;   0;    2;   -1;2020;marzec;23;poniedziałek;0,3333;0,0000;0,6667;  4;  0;435,0;208,0;414,0;310,5
Zimbabwe;2020-03-24;    3;   0;   1; 0;    0;   0;    2;    0;2020;marzec;24;wtorek;0,3333;0,0000;0,6667;  5;  0;435,0;354,0;414,0;281,5
Zimbabwe;2020-03-25;    3;   0;   1; 0;    0;   0;    2;    0;2020;marzec;25;środa;0,3333;0,0000;0,6667;  6;  0;435,0;354,0;414,0;281,5
Zimbabwe;2020-03-26;    3;   0;   1; 0;    0;   0;    2;    0;2020;marzec;26;czwartek;0,3333;0,0000;0,6667;  7;  0;435,0;354,0;414,0;281,5
Zimbabwe;2020-03-27;    5;   2;   1; 0;    0;   0;    4;    2;2020;marzec;27;piątek;0,2000;0,0000;0,8000;  8;  0;390,5;354,0;414,0;236,0
Zimbabwe;2020-03-28;    7;   2;   1; 0;    0;   0;    6;    2;2020;marzec;28;sobota;0,1429;0,0000;0,8571;  9;  0;390,5;354,0;414,0;236,0
Zimbabwe;2020-03-29;    7;   0;   1; 0;    0;   0;    6;    0;2020;marzec;29;niedziela;0,1429;0,0000;0,8571; 10;  0;435,0;354,0;414,0;281,5
Zimbabwe;2020-03-30;    7;   0;   1; 0;    0;   0;    6;    0;2020;marzec;30;poniedziałek;0,1429;0,0000;0,8571; 11;  0;435,0;354,0;414,0;281,5
Zimbabwe;2020-03-31;    8;   1;   1; 0;    0;   0;    7;    1;2020;marzec;31;wtorek;0,1250;0,0000;0,8750; 12;  0;402,0;354,0;414,0;249,0
Zimbabwe;2020-04-01;    8;   0;   1; 0;    0;   0;    7;    0;2020;kwiecień; 1;środa;0,1250;0,0000;0,8750; 13;  0;435,0;354,0;414,0;281,5
Zimbabwe;2020-04-02;    9;   1;   1; 0;    0;   0;    8;    1;2020;kwiecień; 2;czwartek;0,1111;0,0000;0,8889; 14;  0;402,0;354,0;414,0;249,0
Zimbabwe;2020-04-03;    9;   0;   1; 0;    0;   0;    8;    0;2020;kwiecień; 3;piątek;0,1111;0,0000;0,8889; 15;  0;435,0;354,0;414,0;281,5
Zimbabwe;2020-04-04;    9;   0;   1; 0;    0;   0;    8;    0;2020;kwiecień; 4;sobota;0,1111;0,0000;0,8889; 16;  0;435,0;354,0;414,0;281,5
Zimbabwe;2020-04-05;    9;   0;   1; 0;    0;   0;    8;    0;2020;kwiecień; 5;niedziela;0,1111;0,0000;0,8889; 17;  0;435,0;354,0;414,0;281,5
Zimbabwe;2020-04-06;   10;   1;   1; 0;    0;   0;    9;    1;2020;kwiecień; 6;poniedziałek;0,1000;0,0000;0,9000; 18;  0;402,0;354,0;414,0;249,0
Zimbabwe;2020-04-07;   11;   1;   2; 1;    0;   0;    9;    0;2020;kwiecień; 7;wtorek;0,1818;0,0000;0,8182; 19;  0;402,0;208,0;414,0;281,5
Zimbabwe;2020-04-08;   11;   0;   3; 1;    0;   0;    8;   -1;2020;kwiecień; 8;środa;0,2727;0,0000;0,7273; 20;  0;435,0;208,0;414,0;310,5
Zimbabwe;2020-04-09;   11;   0;   3; 0;    0;   0;    8;    0;2020;kwiecień; 9;czwartek;0,2727;0,0000;0,7273; 21;  0;435,0;354,0;414,0;281,5
Zimbabwe;2020-04-10;   13;   2;   3; 0;    0;   0;   10;    2;2020;kwiecień;10;piątek;0,2308;0,0000;0,7692; 22;  0;390,5;354,0;414,0;236,0
