Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Honduras;2020-03-11;    2;   2;  0; 0;   0; 0;    2;  2;2020;marzec;11;środa;0,0000;0,0000;1,0000;  1; 0
Honduras;2020-03-12;    2;   0;  0; 0;   0; 0;    2;  0;2020;marzec;12;czwartek;0,0000;0,0000;1,0000;  2; 0
Honduras;2020-03-13;    2;   0;  0; 0;   0; 0;    2;  0;2020;marzec;13;piątek;0,0000;0,0000;1,0000;  3; 0
Honduras;2020-03-14;    2;   0;  0; 0;   0; 0;    2;  0;2020;marzec;14;sobota;0,0000;0,0000;1,0000;  4; 0
Honduras;2020-03-15;    3;   1;  0; 0;   0; 0;    3;  1;2020;marzec;15;niedziela;0,0000;0,0000;1,0000;  5; 0
Honduras;2020-03-16;    6;   3;  0; 0;   0; 0;    6;  3;2020;marzec;16;poniedziałek;0,0000;0,0000;1,0000;  6; 0
Honduras;2020-03-17;    8;   2;  0; 0;   0; 0;    8;  2;2020;marzec;17;wtorek;0,0000;0,0000;1,0000;  7; 0
Honduras;2020-03-18;    9;   1;  0; 0;   0; 0;    9;  1;2020;marzec;18;środa;0,0000;0,0000;1,0000;  8; 0
Honduras;2020-03-19;   12;   3;  0; 0;   0; 0;   12;  3;2020;marzec;19;czwartek;0,0000;0,0000;1,0000;  9; 0
Honduras;2020-03-20;   24;  12;  0; 0;   0; 0;   24; 12;2020;marzec;20;piątek;0,0000;0,0000;1,0000; 10; 0
Honduras;2020-03-21;   24;   0;  0; 0;   0; 0;   24;  0;2020;marzec;21;sobota;0,0000;0,0000;1,0000; 11; 0
Honduras;2020-03-22;   26;   2;  0; 0;   0; 0;   26;  2;2020;marzec;22;niedziela;0,0000;0,0000;1,0000; 12; 0
Honduras;2020-03-23;   30;   4;  0; 0;   0; 0;   30;  4;2020;marzec;23;poniedziałek;0,0000;0,0000;1,0000; 13; 0
Honduras;2020-03-24;   30;   0;  0; 0;   0; 0;   30;  0;2020;marzec;24;wtorek;0,0000;0,0000;1,0000; 14; 0
Honduras;2020-03-25;   36;   6;  0; 0;   0; 0;   36;  6;2020;marzec;25;środa;0,0000;0,0000;1,0000; 15; 0
